Player,: SPI-ProX2 6,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080409,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,08:53:52.000,,,,,,,,,,,,,,,,,,,,,
End,08:55:12.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
53:52.0,00:00:00.000,0,1,0,1,0,284.84,0.166,34.691002,135.5172453, T 9,,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:00.070,0,1,0,2,0,284.84,0.166,34.69100183,135.517244, T 9,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:00.130,0,1,0,2,0,284.84,0.166,34.69100183,135.517244, T 9,0,0,0,0,0,0,0,0,0,0,
53:52.2,00:00:00.200,0,1,0,2,0,284.718,0.148,34.69100183,135.517244, T 9,0,0,0,0,0,0,0,0,0,0,
53:52.3,00:00:00.270,0,1,0.75,3,0.049,284.642,0.136,34.6910015,135.5172415, T 10,3.797,0,0,0,0,0,0,0,3.797,0.759,
53:52.3,00:00:00.330,0,1,0.769,3,0.1,284.566,0.123,34.6910015,135.5172415, T 10,3.797,0,0,0,0,0,0,0,3.797,0.759,
53:52.4,00:00:00.400,0,1,0.789,3,0.152,284.49,0.111,34.6910015,135.5172415, T 10,3.797,0,0,0,0,0,0,0,3.797,0.759,
53:52.5,00:00:00.470,0,1,0.763,2,0.204,284.414,0.105,34.69100133,135.517239, T 10,-0.042,0,0,0,0,0,0,0,-0.042,0.751,
53:52.5,00:00:00.530,0,1,0.738,2,0.254,284.338,0.099,34.69100133,135.517239, T 10,-0.042,0,0,0,0,0,0,0,-0.042,0.751,
53:52.6,00:00:00.600,0,1,0.713,2,0.302,284.261,0.092,34.69100133,135.517239, T 10,-0.042,0,0,0,0,0,0,0,-0.042,0.751,
53:52.7,00:00:00.670,0,1,0.623,1,0.347,284.2,0.08,34.691001,135.517237, T 9,-0.862,0,0,0,0,0,0,0,-0.862,0.578,
53:52.7,00:00:00.730,0,1,0.534,1,0.385,284.139,0.068,34.691001,135.517237, T 9,-0.862,0,0,0,0,0,0,0,-0.862,0.578,
53:52.8,00:00:00.800,0,1,0.444,1,0.418,284.079,0.055,34.691001,135.517237, T 9,-0.862,0,0,0,0,0,0,0,-0.862,0.578,
53:52.9,00:00:00.870,0,1,0.477,2,0.448,284.028,0.055,34.691001,135.5172353, T 9,-0.423,0,0,0,0,0,0,0,-0.423,0.494,
53:52.9,00:00:00.930,0,1,0.511,2,0.481,283.977,0.055,34.691001,135.5172353, T 9,-0.423,0,0,0,0,0,0,0,-0.423,0.494,
53:53.0,00:00:01.000,0,1,0.544,2,0.517,283.926,0.055,34.691001,135.5172353, T 9,-0.423,0,0,0,0,0,0,0,-0.423,0.494,
53:53.1,00:00:01.070,0,1,0.765,3,0.56,283.855,0.049,34.69100083,135.517233, T 8,1.909,0,0,0,0,0,0,0,1.909,0.876,
53:53.1,00:00:01.130,0,1,0.986,3,0.618,283.784,0.043,34.69100083,135.517233, T 8,1.909,0,0,0,0,0,0,0,1.909,0.876,
53:53.2,00:00:01.200,0,1,1.207,3,0.692,283.713,0.037,34.69100083,135.517233, T 8,1.909,0,0,0,0,0,0,0,1.909,0.876,
53:53.3,00:00:01.270,0,1,1.238,4,0.773,283.611,0.031,34.69100067,135.5172297, T 8,1.885,0,0,0,0,0,0,0,1.885,1.253,
