Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,08:53:50.800,,,,,,,,,,,,,,,,,,,,,
End,08:55:16.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
53:50.8,00:00:00.000,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,,0,0,0,0,0,0,0,0,0,
53:50.9,00:00:00.070,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:50.9,00:00:00.130,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.0,00:00:00.200,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.1,00:00:00.270,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.1,00:00:00.330,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.2,00:00:00.400,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.3,00:00:00.470,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.3,00:00:00.530,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.4,00:00:00.600,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.5,00:00:00.670,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.5,00:00:00.730,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.6,00:00:00.800,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.7,00:00:00.870,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.7,00:00:00.930,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.8,00:00:01.000,0,1,0,1,0,294.972,0.351,34.69115917,135.5172305, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:01.070,0,1,0,2,0,294.972,0.351,34.6911595,135.517229, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:01.130,0,1,0,2,0,294.972,0.351,34.6911595,135.517229, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.0,00:00:01.200,0,1,0,2,0,294.835,0.388,34.6911595,135.517229, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:01.270,0,1,0,3,0,294.835,0.388,34.69115967,135.5172268, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:01.330,0,1,0,3,0,294.835,0.388,34.69115967,135.5172268, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.2,00:00:01.400,0,1,0,3,0,294.637,0.407,34.69115967,135.5172268, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.3,00:00:01.470,0,1,0.731,2,0.05,294.561,0.407,34.69115967,135.5172243, T 8,3.542,0,0,0,0,0,0,0,3.542,0.708,
53:52.3,00:00:01.530,0,1,0.686,2,0.097,294.485,0.407,34.69115967,135.5172243, T 8,3.542,0,0,0,0,0,0,0,3.542,0.708,
53:52.4,00:00:01.600,0,1,0.64,2,0.142,294.409,0.407,34.69115967,135.5172243, T 8,3.542,0,0,0,0,0,0,0,3.542,0.708,
53:52.5,00:00:01.670,0,1,0,1,0.142,294.409,0.407,34.69115967,135.5172235, T 8,0,0,0,0,0,0,0,0,0,0.354,
53:52.5,00:00:01.730,0,1,0,1,0.142,294.409,0.407,34.69115967,135.5172235, T 8,0,0,0,0,0,0,0,0,0,0.354,
53:52.6,00:00:01.800,0,1,0,1,0.142,294.332,0.407,34.69115967,135.5172235, T 8,0,0,0,0,0,0,0,0,0,0.354,
53:52.7,00:00:01.870,0,1,0.478,2,0.172,294.302,0.407,34.69115967,135.5172225, T 8,0.718,0,0,0,0,0,0,0,0.718,0.498,
53:52.7,00:00:01.930,0,1,0.518,2,0.205,294.272,0.407,34.69115967,135.5172225, T 8,0.718,0,0,0,0,0,0,0,0.718,0.498,
53:52.8,00:00:02.000,0,1,0.558,2,0.241,294.241,0.407,34.69115967,135.5172225, T 8,0.718,0,0,0,0,0,0,0,0.718,0.498,
53:52.9,00:00:02.070,0,1,0.729,3,0.284,294.18,0.413,34.69115983,135.5172205, T 8,1.584,0,0,0,0,0,0,0,1.584,0.815,
