Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,08:53:51.200,,,,,,,,,,,,,,,,,,,,,
End,08:55:06.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
53:51.2,00:00:00.000,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 7,,0,0,0,0,0,0,0,0,0,
53:51.3,00:00:00.070,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.3,00:00:00.130,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.4,00:00:00.200,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.5,00:00:00.270,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.5,00:00:00.330,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.6,00:00:00.400,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.7,00:00:00.470,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.7,00:00:00.530,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.8,00:00:00.600,0,1,0,1,0,285.617,0,34.691229,135.5172473, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:00.670,0,1,0,2,0,285.617,0,34.691229,135.5172488, T 9,0,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:00.730,0,1,0,2,0,285.617,0,34.691229,135.5172488, T 9,0,0,0,0,0,0,0,0,0,0,
53:52.0,00:00:00.800,0,1,0,2,0,285.754,0,34.691229,135.5172488, T 9,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:00.870,0,1,0.848,3,0.054,285.688,0.025,34.69122967,135.5172467, T 8,4.468,0,0,0,0,0,0,0,4.468,0.894,
53:52.1,00:00:00.930,0,1,0.939,3,0.113,285.622,0.049,34.69122967,135.5172467, T 8,4.468,0,0,0,0,0,0,0,4.468,0.894,
53:52.2,00:00:01.000,0,1,1.029,3,0.179,285.556,0.074,34.69122967,135.5172467, T 8,4.468,0,0,0,0,0,0,0,4.468,0.894,
53:52.3,00:00:01.070,0,1,0.994,3,0.246,285.49,0.074,34.69122967,135.5172445, T 7,0.413,0,0,0,0,0,0,0,0.413,0.976,
53:52.3,00:00:01.130,0,1,0.959,3,0.311,285.424,0.074,34.69122967,135.5172445, T 7,0.413,0,0,0,0,0,0,0,0.413,0.976,
53:52.4,00:00:01.200,0,1,0.923,3,0.374,285.358,0.074,34.69122967,135.5172445, T 7,0.413,0,0,0,0,0,0,0,0.413,0.976,
53:52.5,00:00:01.270,0,1,0.836,2,0.433,285.317,0.062,34.69122933,135.5172432, T 8,-0.918,0,0,0,0,0,0,0,-0.918,0.793,
53:52.5,00:00:01.330,0,1,0.749,2,0.485,285.276,0.049,34.69122933,135.5172432, T 8,-0.918,0,0,0,0,0,0,0,-0.918,0.793,
53:52.6,00:00:01.400,0,1,0.662,2,0.532,285.236,0.037,34.69122933,135.5172432, T 8,-0.918,0,0,0,0,0,0,0,-0.918,0.793,
53:52.7,00:00:01.470,0,1,0.737,3,0.579,285.175,0.037,34.69122933,135.5172412, T 7,-0.087,0,0,0,0,0,0,0,-0.087,0.775,
53:52.7,00:00:01.530,0,1,0.813,3,0.631,285.114,0.037,34.69122933,135.5172412, T 7,-0.087,0,0,0,0,0,0,0,-0.087,0.775,
53:52.8,00:00:01.600,0,1,0.888,3,0.687,285.053,0.037,34.69122933,135.5172412, T 7,-0.087,0,0,0,0,0,0,0,-0.087,0.775,
53:52.9,00:00:01.670,0,1,1.06,4,0.752,284.972,0.037,34.69122933,135.5172385, T 8,1.853,0,0,0,0,0,0,0,1.853,1.146,
53:52.9,00:00:01.730,0,1,1.231,4,0.829,284.89,0.037,34.69122933,135.5172385, T 8,1.853,0,0,0,0,0,0,0,1.853,1.146,
53:53.0,00:00:01.800,0,1,1.403,4,0.917,284.809,0.037,34.69122933,135.5172385, T 8,1.853,0,0,0,0,0,0,0,1.853,1.146,
53:53.1,00:00:01.870,0,1,1.475,4,1.013,284.702,0.031,34.69122917,135.517235, T 7,1.825,0,0,0,0,0,0,0,1.825,1.511,
53:53.1,00:00:01.930,0,1,1.547,4,1.113,284.596,0.025,34.69122917,135.517235, T 7,1.825,0,0,0,0,0,0,0,1.825,1.511,
53:53.2,00:00:02.000,0,1,1.618,4,1.219,284.489,0.018,34.69122917,135.517235, T 7,1.825,0,0,0,0,0,0,0,1.825,1.511,
53:53.3,00:00:02.070,0,1,1.542,4,1.324,284.383,0.025,34.69122933,135.5172315, T 7,-0.032,0,0,0,0,0,0,0,-0.032,1.504,
53:53.3,00:00:02.130,0,1,1.466,4,1.424,284.276,0.031,34.69122933,135.5172315, T 7,-0.032,0,0,0,0,0,0,0,-0.032,1.504,
53:53.4,00:00:02.200,0,1,1.39,4,1.52,284.169,0.037,34.69122933,135.5172315, T 7,-0.032,0,0,0,0,0,0,0,-0.032,1.504,
53:53.5,00:00:02.270,0,1,1.347,4,1.611,284.063,0.049,34.69122967,135.517228, T 8,-0.896,0,0,0,0,0,0,0,-0.896,1.325,
