Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,08:53:51.800,,,,,,,,,,,,,,,,,,,,,
End,08:55:25.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
53:51.8,00:00:00.000,0,1,0,1,0,286.927,0,34.69130283,135.517237, T 8,,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:00.070,0,1,0,1,0,286.927,0,34.69130283,135.517237, T 8,0,0,0,0,0,0,0,0,0,0,
53:51.9,00:00:00.130,0,1,0,1,0,286.927,0,34.69130283,135.517237, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.0,00:00:00.200,0,1,0,1,0,286.927,0,34.69130283,135.517237, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:00.270,0,1,0,2,0,286.927,0,34.69130333,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.1,00:00:00.330,0,1,0,2,0,286.927,0,34.69130333,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.2,00:00:00.400,0,1,0,2,0,287.018,0.055,34.69130333,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.3,00:00:00.470,0,1,0,2,0,287.018,0.055,34.6913035,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.3,00:00:00.530,0,1,0,2,0,287.018,0.055,34.6913035,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.4,00:00:00.600,0,1,0,2,0,287.018,0.074,34.6913035,135.517238, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.5,00:00:00.670,0,1,0,2,0,287.018,0.074,34.69130383,135.5172373, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.5,00:00:00.730,0,1,0,2,0,287.018,0.074,34.69130383,135.5172373, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.6,00:00:00.800,0,1,0,2,0,286.957,0.111,34.69130383,135.5172373, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.7,00:00:00.870,0,1,0,2,0,286.957,0.111,34.69130433,135.5172367, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.7,00:00:00.930,0,1,0,2,0,286.957,0.111,34.69130433,135.5172367, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.8,00:00:01.000,0,1,0,2,0,286.896,0.166,34.69130433,135.5172367, T 8,0,0,0,0,0,0,0,0,0,0,
53:52.9,00:00:01.070,0,1,0.583,2,0.038,286.871,0.166,34.69130433,135.5172358, T 8,2.964,0,0,0,0,0,0,0,2.964,0.593,
53:52.9,00:00:01.130,0,1,0.603,2,0.078,286.846,0.166,34.69130433,135.5172358, T 8,2.964,0,0,0,0,0,0,0,2.964,0.593,
53:53.0,00:00:01.200,0,1,0.624,2,0.119,286.82,0.166,34.69130433,135.5172358, T 8,2.964,0,0,0,0,0,0,0,2.964,0.593,
53:53.1,00:00:01.270,0,1,0.707,3,0.163,286.774,0.154,34.691304,135.5172343, T 8,0.781,0,0,0,0,0,0,0,0.781,0.749,
53:53.1,00:00:01.330,0,1,0.791,3,0.213,286.729,0.142,34.691304,135.5172343, T 8,0.781,0,0,0,0,0,0,0,0.781,0.749,
53:53.2,00:00:01.400,0,1,0.874,3,0.268,286.683,0.129,34.691304,135.5172343, T 8,0.781,0,0,0,0,0,0,0,0.781,0.749,
53:53.3,00:00:01.470,0,1,0.935,3,0.329,286.607,0.142,34.69130433,135.5172318, T 8,1.082,0,0,0,0,0,0,0,1.082,0.965,
53:53.3,00:00:01.530,0,1,0.996,3,0.393,286.531,0.154,34.69130433,135.5172318, T 8,1.082,0,0,0,0,0,0,0,1.082,0.965,
53:53.4,00:00:01.600,0,1,1.057,3,0.461,286.454,0.166,34.69130433,135.5172318, T 8,1.082,0,0,0,0,0,0,0,1.082,0.965,
53:53.5,00:00:01.670,0,1,1.062,3,0.532,286.394,0.173,34.6913045,135.5172298, T 8,0.499,0,0,0,0,0,0,0,0.499,1.065,
53:53.5,00:00:01.730,0,1,1.068,3,0.603,286.333,0.179,34.6913045,135.5172298, T 8,0.499,0,0,0,0,0,0,0,0.499,1.065,
53:53.6,00:00:01.800,0,1,1.074,3,0.674,286.272,0.185,34.6913045,135.5172298, T 8,0.499,0,0,0,0,0,0,0,0.499,1.065,
53:53.7,00:00:01.870,0,1,1.047,3,0.745,286.231,0.179,34.69130433,135.5172285, T 8,-0.156,0,0,0,0,0,0,0,-0.156,1.034,
53:53.7,00:00:01.930,0,1,1.021,3,0.814,286.19,0.173,34.69130433,135.5172285, T 8,-0.156,0,0,0,0,0,0,0,-0.156,1.034,
53:53.8,00:00:02.000,0,1,0.994,3,0.881,286.15,0.166,34.69130433,135.5172285, T 8,-0.156,0,0,0,0,0,0,0,-0.156,1.034,
53:53.9,00:00:02.070,0,1,0.972,3,0.947,286.104,0.154,34.691304,135.517227, T 8,-0.364,0,0,0,0,0,0,0,-0.364,0.961,
53:53.9,00:00:02.130,0,1,0.95,3,1.011,286.058,0.142,34.691304,135.517227, T 8,-0.364,0,0,0,0,0,0,0,-0.364,0.961,
53:54.0,00:00:02.200,0,1,0.928,3,1.074,286.013,0.129,34.691304,135.517227, T 8,-0.364,0,0,0,0,0,0,0,-0.364,0.961,
53:54.1,00:00:02.270,0,1,1.023,3,1.139,285.926,0.129,34.691304,135.5172242, T 8,0.543,0,0,0,0,0,0,0,0.543,1.07,
53:54.1,00:00:02.330,0,1,1.117,3,1.21,285.84,0.129,34.691304,135.5172242, T 8,0.543,0,0,0,0,0,0,0,0.543,1.07,
53:54.2,00:00:02.400,0,1,1.212,3,1.288,285.754,0.129,34.691304,135.5172242, T 8,0.543,0,0,0,0,0,0,0,0.543,1.07,
53:54.3,00:00:02.470,0,1,1.307,4,1.371,285.637,0.154,34.69130467,135.5172203, T 8,1.424,0,0,0,0,0,0,0,1.424,1.355,
53:54.3,00:00:02.530,0,1,1.402,4,1.462,285.52,0.179,34.69130467,135.5172203, T 8,1.424,0,0,0,0,0,0,0,1.424,1.355,
53:54.4,00:00:02.600,0,1,1.498,4,1.558,285.403,0.203,34.69130467,135.5172203, T 8,1.424,0,0,0,0,0,0,0,1.424,1.355,
53:54.5,00:00:02.670,0,1,1.531,4,1.659,285.261,0.259,34.69130617,135.5172157, T 8,0.966,0,0,0,0,0,0,0,0.966,1.548,
53:54.5,00:00:02.730,0,1,1.564,4,1.763,285.119,0.314,34.69130617,135.5172157, T 8,0.966,0,0,0,0,0,0,0,0.966,1.548,
53:54.6,00:00:02.800,0,1,1.598,4,1.868,284.976,0.37,34.69130617,135.5172157, T 8,0.966,0,0,0,0,0,0,0,0.966,1.548,
53:54.7,00:00:02.870,0,1,1.515,4,1.972,284.921,0.333,34.69130517,135.5172138, T 8,-0.372,0,0,0,0,0,0,0,-0.372,1.473,
53:54.7,00:00:02.930,0,1,1.432,4,2.07,284.865,0.296,34.69130517,135.5172138, T 8,-0.372,0,0,0,0,0,0,0,-0.372,1.473,
53:54.8,00:00:03.000,0,1,1.349,4,2.163,284.809,0.259,34.69130517,135.5172138, T 8,-0.372,0,0,0,0,0,0,0,-0.372,1.473,
53:54.9,00:00:03.070,0,1,1.345,4,2.252,284.692,0.284,34.69130583,135.51721, T 8,-0.648,0,0,0,0,0,0,0,-0.648,1.344,
