Player,: SPI ProX2  2,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075839,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:02:12.000,,,,,,,,,,,,,,,,,,,,,
End,09:03:26.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
02:12.0,00:00:00.000,0,1,0.06,1,0,285.45,0.24,34.69109233,135.5172193, T 8,,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.070,0,1,0,1,0,285.45,0.24,34.69109233,135.517219, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.130,0,1,0,1,0,285.45,0.24,34.69109233,135.517219, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.2,00:00:00.200,0,1,0,1,0,285.419,0.24,34.69109233,135.517219, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.270,0,1,0,2,0,285.419,0.24,34.69109233,135.5172177, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.330,0,1,0,2,0,285.419,0.24,34.69109233,135.5172177, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.4,00:00:00.400,0,1,0,2,0,285.297,0.24,34.69109233,135.5172177, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:00.470,0,1,0.713,3,0.045,285.236,0.24,34.69109233,135.5172157, T 8,3.752,0,0,0,0,0,0,0,3.752,0.75,
02:12.5,00:00:00.530,0,1,0.787,3,0.095,285.175,0.24,34.69109233,135.5172157, T 8,3.752,0,0,0,0,0,0,0,3.752,0.75,
02:12.6,00:00:00.600,0,1,0.861,3,0.15,285.114,0.24,34.69109233,135.5172157, T 8,3.752,0,0,0,0,0,0,0,3.752,0.75,
02:12.7,00:00:00.670,0,1,0.872,3,0.208,285.058,0.24,34.69109233,135.5172138, T 8,0.633,0,0,0,0,0,0,0,0.633,0.877,
02:12.7,00:00:00.730,0,1,0.882,3,0.266,285.003,0.24,34.69109233,135.5172138, T 8,0.633,0,0,0,0,0,0,0,0.633,0.877,
02:12.8,00:00:00.800,0,1,0.893,3,0.325,284.947,0.24,34.69109233,135.5172138, T 8,0.633,0,0,0,0,0,0,0,0.633,0.877,
02:12.9,00:00:00.870,0,1,0.793,2,0.382,284.911,0.253,34.69109267,135.5172127, T 8,-0.671,0,0,0,0,0,0,0,-0.671,0.743,
02:12.9,00:00:00.930,0,1,0.693,2,0.431,284.876,0.265,34.69109267,135.5172127, T 8,-0.671,0,0,0,0,0,0,0,-0.671,0.743,
02:13.0,00:00:01.000,0,1,0.593,2,0.474,284.84,0.277,34.69109267,135.5172127, T 8,-0.671,0,0,0,0,0,0,0,-0.671,0.743,
02:13.1,00:00:01.070,0,1,0.688,3,0.517,284.799,0.271,34.6910925,135.5172113, T 8,-0.031,0,0,0,0,0,0,0,-0.031,0.736,
02:13.1,00:00:01.130,0,1,0.784,3,0.566,284.759,0.265,34.6910925,135.5172113, T 8,-0.031,0,0,0,0,0,0,0,-0.031,0.736,
02:13.2,00:00:01.200,0,1,0.88,3,0.621,284.718,0.259,34.6910925,135.5172113, T 8,-0.031,0,0,0,0,0,0,0,-0.031,0.736,
02:13.3,00:00:01.270,0,1,0.966,3,0.683,284.652,0.24,34.691092,135.5172092, T 8,1.359,0,0,0,0,0,0,0,1.359,1.008,
02:13.3,00:00:01.330,0,1,1.051,3,0.75,284.586,0.222,34.691092,135.5172092, T 8,1.359,0,0,0,0,0,0,0,1.359,1.008,
02:13.4,00:00:01.400,0,1,1.136,3,0.823,284.52,0.203,34.691092,135.5172092, T 8,1.359,0,0,0,0,0,0,0,1.359,1.008,
02:13.5,00:00:01.470,0,1,1.16,3,0.899,284.439,0.185,34.6910915,135.5172065, T 8,0.819,0,0,0,0,0,0,0,0.819,1.172,
02:13.5,00:00:01.530,0,1,1.184,3,0.978,284.358,0.166,34.6910915,135.5172065, T 8,0.819,0,0,0,0,0,0,0,0.819,1.172,
02:13.6,00:00:01.600,0,1,1.208,3,1.057,284.276,0.148,34.6910915,135.5172065, T 8,0.819,0,0,0,0,0,0,0,0.819,1.172,
02:13.7,00:00:01.670,0,1,1.195,3,1.137,284.195,0.142,34.69109133,135.5172038, T 8,0.084,0,0,0,0,0,0,0,0.084,1.189,
02:13.7,00:00:01.730,0,1,1.183,3,1.217,284.114,0.136,34.69109133,135.5172038, T 8,0.084,0,0,0,0,0,0,0,0.084,1.189,
02:13.8,00:00:01.800,0,1,1.17,3,1.295,284.033,0.129,34.69109133,135.5172038, T 8,0.084,0,0,0,0,0,0,0,0.084,1.189,
02:13.9,00:00:01.870,0,1,1.138,3,1.372,283.961,0.123,34.69109117,135.5172015, T 8,-0.336,0,0,0,0,0,0,0,-0.336,1.122,
02:13.9,00:00:01.930,0,1,1.106,3,1.447,283.89,0.117,34.69109117,135.5172015, T 8,-0.336,0,0,0,0,0,0,0,-0.336,1.122,
02:14.0,00:00:02.000,0,1,1.074,3,1.519,283.819,0.111,34.69109117,135.5172015, T 8,-0.336,0,0,0,0,0,0,0,-0.336,1.122,
02:14.1,00:00:02.070,0,1,1.128,4,1.593,283.753,0.092,34.69109067,135.5171993, T 8,0.168,0,0,0,0,0,0,0,0.168,1.155,
02:14.1,00:00:02.130,0,1,1.183,4,1.67,283.687,0.074,34.69109067,135.5171993, T 8,0.168,0,0,0,0,0,0,0,0.168,1.155,
02:14.2,00:00:02.200,0,1,1.237,4,1.751,283.621,0.055,34.69109067,135.5171993, T 8,0.168,0,0,0,0,0,0,0,0.168,1.155,
02:14.3,00:00:02.270,0,1,1.449,5,1.84,283.52,0.043,34.69109033,135.517196, T 8,2,0,0,0,0,0,0,0,2,1.555,
02:14.3,00:00:02.330,0,1,1.661,5,1.944,283.418,0.031,34.69109033,135.517196, T 8,2,0,0,0,0,0,0,0,2,1.555,
02:14.4,00:00:02.400,0,1,1.874,5,2.062,283.316,0.018,34.69109033,135.517196, T 8,2,0,0,0,0,0,0,0,2,1.555,
02:14.5,00:00:02.470,0,1,1.871,5,2.186,283.194,0.037,34.69109083,135.517192, T 8,1.574,0,0,0,0,0,0,0,1.574,1.87,
02:14.5,00:00:02.530,0,1,1.869,5,2.311,283.073,0.055,34.69109083,135.517192, T 8,1.574,0,0,0,0,0,0,0,1.574,1.87,
02:14.6,00:00:02.600,0,1,1.867,5,2.436,282.951,0.074,34.69109083,135.517192, T 8,1.574,0,0,0,0,0,0,0,1.574,1.87,
02:14.7,00:00:02.670,0,1,1.864,5,2.56,282.829,0.074,34.69109083,135.517188, T 8,-0.037,0,0,0,0,0,0,0,-0.037,1.863,
02:14.7,00:00:02.730,0,1,1.861,5,2.684,282.707,0.074,34.69109083,135.517188, T 8,-0.037,0,0,0,0,0,0,0,-0.037,1.863,
02:14.8,00:00:02.800,0,1,1.859,5,2.808,282.585,0.074,34.69109083,135.517188, T 8,-0.037,0,0,0,0,0,0,0,-0.037,1.863,
02:14.9,00:00:02.870,0,1,1.756,4,2.929,282.504,0.055,34.69109033,135.5171853, T 8,-0.788,0,0,0,0,0,0,0,-0.788,1.705,
02:14.9,00:00:02.930,0,1,1.654,4,3.042,282.422,0.037,34.69109033,135.5171853, T 8,-0.788,0,0,0,0,0,0,0,-0.788,1.705,
02:15.0,00:00:03.000,0,1,1.552,4,3.149,282.341,0.018,34.69109033,135.5171853, T 8,-0.788,0,0,0,0,0,0,0,-0.788,1.705,
02:15.1,00:00:03.070,0,1,1.74,5,3.259,282.214,0.012,34.69109017,135.5171812, T 8,0.647,0,0,0,0,0,0,0,0.647,1.835,
02:15.1,00:00:03.130,0,1,1.929,5,3.381,282.087,0.006,34.69109017,135.5171812, T 8,0.647,0,0,0,0,0,0,0,0.647,1.835,
02:15.2,00:00:03.200,0,1,2.117,5,3.516,281.96,0,34.69109017,135.5171812, T 8,0.647,0,0,0,0,0,0,0,0.647,1.835,
02:15.3,00:00:03.270,0,1,2.239,6,3.661,281.808,0.006,34.69109033,135.5171762, T 8,2.328,0,0,0,0,0,0,0,2.328,2.3,
02:15.3,00:00:03.330,0,1,2.361,6,3.815,281.656,0.012,34.69109033,135.5171762, T 8,2.328,0,0,0,0,0,0,0,2.328,2.3,
02:15.4,00:00:03.400,0,1,2.483,6,3.976,281.503,0.018,34.69109033,135.5171762, T 8,2.328,0,0,0,0,0,0,0,2.328,2.3,
02:15.5,00:00:03.470,0,1,2.332,5,4.137,281.371,0.025,34.6910905,135.5171718, T 8,-0.213,0,0,0,0,0,0,0,-0.213,2.257,
02:15.5,00:00:03.530,0,1,2.182,5,4.287,281.239,0.031,34.6910905,135.5171718, T 8,-0.213,0,0,0,0,0,0,0,-0.213,2.257,
02:15.6,00:00:03.600,0,1,2.032,5,4.428,281.107,0.037,34.6910905,135.5171718, T 8,-0.213,0,0,0,0,0,0,0,-0.213,2.257,
02:15.7,00:00:03.670,0,1,1.961,5,4.561,280.98,0.049,34.69109083,135.5171677, T 8,-1.658,0,0,0,0,0,0,0,-1.658,1.926,
02:15.7,00:00:03.730,0,1,1.89,5,4.689,280.853,0.062,34.69109083,135.5171677, T 8,-1.658,0,0,0,0,0,0,0,-1.658,1.926,
02:15.8,00:00:03.800,0,1,1.82,5,4.813,280.726,0.074,34.69109083,135.5171677, T 8,-1.658,0,0,0,0,0,0,0,-1.658,1.926,
02:15.9,00:00:03.870,0,1,2.021,6,4.941,280.599,0.074,34.69109083,135.5171635, T 8,0.979,0,0,0,0,0,0,0,0.979,2.122,
02:15.9,00:00:03.930,0,1,2.222,6,5.082,280.472,0.074,34.69109083,135.5171635, T 8,0.979,0,0,0,0,0,0,0,0.979,2.122,
02:16.0,00:00:04.000,0,1,2.424,6,5.237,280.345,0.074,34.69109083,135.5171635, T 8,0.979,0,0,0,0,0,0,0,0.979,2.122,
02:16.1,00:00:04.070,0,1,2.555,6,5.403,280.188,0.074,34.69109083,135.5171583, T 8,2.494,0,0,0,0,0,0,0,2.494,2.62,
02:16.1,00:00:04.130,0,1,2.686,6,5.578,280.03,0.074,34.69109083,135.5171583, T 8,2.494,0,0,0,0,0,0,0,2.494,2.62,
02:16.2,00:00:04.200,0,1,2.817,6,5.761,279.873,0.074,34.69109083,135.5171583, T 8,2.494,0,0,0,0,0,0,0,2.494,2.62,
02:16.3,00:00:04.270,0,1,2.67,6,5.944,279.726,0.062,34.6910905,135.5171535, T 8,-0.116,0,0,0,0,0,0,0,-0.116,2.597,
02:16.3,00:00:04.330,0,1,2.524,6,6.117,279.578,0.049,34.6910905,135.5171535, T 8,-0.116,0,0,0,0,0,0,0,-0.116,2.597,
02:16.4,00:00:04.400,0,1,2.377,6,6.281,279.431,0.037,34.6910905,135.5171535, T 8,-0.116,0,0,0,0,0,0,0,-0.116,2.597,
02:16.5,00:00:04.470,0,1,2.302,5,6.437,279.299,0.043,34.69109067,135.5171492, T 8,-1.666,0,0,0,0,0,0,0,-1.666,2.264,
02:16.5,00:00:04.530,0,1,2.226,5,6.588,279.167,0.049,34.69109067,135.5171492, T 8,-1.666,0,0,0,0,0,0,0,-1.666,2.264,
02:16.6,00:00:04.600,0,1,2.151,5,6.733,279.035,0.055,34.69109067,135.5171492, T 8,-1.666,0,0,0,0,0,0,0,-1.666,2.264,
02:16.7,00:00:04.670,0,1,2.369,6,6.884,278.882,0.055,34.69109067,135.5171442, T 8,1.071,0,0,0,0,0,0,0,1.071,2.478,
02:16.7,00:00:04.730,0,1,2.587,6,7.049,278.73,0.055,34.69109067,135.5171442, T 8,1.071,0,0,0,0,0,0,0,1.071,2.478,
02:16.8,00:00:04.800,0,1,2.806,6,7.229,278.578,0.055,34.69109067,135.5171442, T 8,1.071,0,0,0,0,0,0,0,1.071,2.478,
02:16.9,00:00:04.870,0,1,2.866,6,7.418,278.39,0.062,34.69109083,135.517138, T 8,2.086,0,0,0,0,0,0,0,2.086,2.896,
02:16.9,00:00:04.930,0,1,2.925,6,7.611,278.202,0.068,34.69109083,135.517138, T 8,2.086,0,0,0,0,0,0,0,2.086,2.896,
02:17.0,00:00:05.000,0,1,2.985,6,7.808,278.014,0.074,34.69109083,135.517138, T 8,2.086,0,0,0,0,0,0,0,2.086,2.896,
02:17.1,00:00:05.070,0,1,2.846,6,8.003,277.841,0.086,34.69109117,135.5171323, T 8,-0.593,0,0,0,0,0,0,0,-0.593,2.777,
02:17.1,00:00:05.130,0,1,2.708,6,8.188,277.669,0.099,34.69109117,135.5171323, T 8,-0.593,0,0,0,0,0,0,0,-0.593,2.777,
02:17.2,00:00:05.200,0,1,2.569,6,8.364,277.496,0.111,34.69109117,135.5171323, T 8,-0.593,0,0,0,0,0,0,0,-0.593,2.777,
02:17.3,00:00:05.270,0,1,2.579,6,8.535,277.333,0.123,34.6910915,135.517127, T 8,-0.965,0,0,0,0,0,0,0,-0.965,2.584,
02:17.3,00:00:05.330,0,1,2.589,6,8.707,277.171,0.136,34.6910915,135.517127, T 8,-0.965,0,0,0,0,0,0,0,-0.965,2.584,
02:17.4,00:00:05.400,0,1,2.599,6,8.88,277.008,0.148,34.6910915,135.517127, T 8,-0.965,0,0,0,0,0,0,0,-0.965,2.584,
02:17.5,00:00:05.470,0,1,2.786,0,9.06,276.82,0.16,34.69109183,135.5171208, T 8,1.476,0,0,0,0,0,0,0,1.476,2.879,
02:17.5,00:00:05.530,0,1,2.973,0,9.252,276.632,0.173,34.69109183,135.5171208, T 8,1.476,0,0,0,0,0,0,0,1.476,2.879,
02:17.6,00:00:05.600,0,1,3.159,0,9.456,276.445,0.185,34.69109183,135.5171208, T 8,1.476,0,0,0,0,0,0,0,1.476,2.879,
02:17.7,00:00:05.670,0,1,3.165,0,9.667,276.236,0.197,34.69109217,135.517114, T 8,1.44,0,0,0,0,0,0,0,1.44,3.167,
