Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075137,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:02:12.000,,,,,,,,,,,,,,,,,,,,,
End,09:03:35.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
02:12.1,00:00:00.070,0,1,0,1,0,286.15,1.424,34.69116583,135.5171997, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.130,0,1,0,1,0,286.15,1.424,34.69116583,135.5171997, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.2,00:00:00.200,0,1,0,1,0,286.12,1.405,34.69116583,135.5171997, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.270,0,1,0,2,0,286.12,1.405,34.69116583,135.5171982, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.330,0,1,0,2,0,286.12,1.405,34.69116583,135.5171982, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.4,00:00:00.400,0,1,0,2,0,285.983,1.405,34.69116583,135.5171982, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:00.470,0,1,0,2,0,285.983,1.405,34.69116583,135.517197, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:00.530,0,1,0,2,0,285.983,1.405,34.69116583,135.517197, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.6,00:00:00.600,0,1,0,2,0,285.876,1.405,34.69116583,135.517197, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.7,00:00:00.670,0,1,0,2,0,285.876,1.405,34.6911655,135.5171967, T 8,0,0,0,0,0,0,0,0,0,0,
