Player,: SPI-ProX2  4,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075737,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:02:11.400,,,,,,,,,,,,,,,,,,,,,
End,09:03:35.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
02:12.0,00:00:00.600,0,1,0,1,0,280.634,0.61,34.69122983,135.5172277, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.670,0,1,0,1,0,280.634,0.61,34.6912295,135.5172278, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.730,0,1,0,1,0,280.634,0.61,34.6912295,135.5172278, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.2,00:00:00.800,0,1,0,1,0,280.649,0.573,34.6912295,135.5172278, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.870,0,1,0,2,0,280.649,0.573,34.69122883,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.930,0,1,0,2,0,280.649,0.573,34.69122883,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.4,00:00:01.000,0,1,0,2,0,280.497,0.499,34.69122883,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:01.070,0,1,0,2,0,280.497,0.499,34.69122867,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:01.130,0,1,0,2,0,280.497,0.499,34.69122867,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.6,00:00:01.200,0,1,0,2,0,280.497,0.481,34.69122867,135.5172262, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.7,00:00:01.270,0,1,0,2,0,280.497,0.481,34.69122833,135.5172252, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.7,00:00:01.330,0,1,0,2,0,280.497,0.481,34.69122833,135.5172252, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.8,00:00:01.400,0,1,0,2,0,280.406,0.444,34.69122833,135.5172252, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.9,00:00:01.470,0,1,0.68,2,0.046,280.39,0.438,34.69122817,135.5172247, T 8,3.359,0,0,0,0,0,0,0,3.359,0.672,
02:12.9,00:00:01.530,0,1,0.664,2,0.091,280.375,0.431,34.69122817,135.5172247, T 8,3.359,0,0,0,0,0,0,0,3.359,0.672,
02:13.0,00:00:01.600,0,1,0.648,2,0.134,280.36,0.425,34.69122817,135.5172247, T 8,3.359,0,0,0,0,0,0,0,3.359,0.672,
02:13.1,00:00:01.670,0,1,0.664,2,0.178,280.335,0.419,34.691228,135.5172238, T 8,-0.001,0,0,0,0,0,0,0,-0.001,0.672,
02:13.1,00:00:01.730,0,1,0.68,2,0.223,280.309,0.413,34.691228,135.5172238, T 8,-0.001,0,0,0,0,0,0,0,-0.001,0.672,
02:13.2,00:00:01.800,0,1,0.696,2,0.269,280.284,0.407,34.691228,135.5172238, T 8,-0.001,0,0,0,0,0,0,0,-0.001,0.672,
02:13.3,00:00:01.870,0,1,0.717,2,0.316,280.248,0.413,34.69122817,135.5172227, T 8,0.284,0,0,0,0,0,0,0,0.284,0.728,
