Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075612,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:02:11.600,,,,,,,,,,,,,,,,,,,,,
End,09:03:35.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
02:11.6,00:00:00.000,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,,0,0,0,0,0,0,0,0,0,
02:11.7,00:00:00.070,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:11.7,00:00:00.130,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:11.8,00:00:00.200,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:11.9,00:00:00.270,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:11.9,00:00:00.330,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.0,00:00:00.400,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.470,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.1,00:00:00.530,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.2,00:00:00.600,0,1,0,1,0,290.843,1.165,34.69131667,135.5172493, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.670,0,1,0,1,0,290.843,1.165,34.69131467,135.5172475, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.3,00:00:00.730,0,1,0,1,0,290.843,1.165,34.69131467,135.5172475, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.4,00:00:00.800,0,1,0,1,0,290.675,0.943,34.69131467,135.5172475, T 8,0,0,0,0,0,0,0,0,0,0,
02:12.5,00:00:00.870,0,1,0,2,0,290.675,0.943,34.6913135,135.5172442, T 8,0,0,0,0,0,0,0,0,0,0,
