Player,: SPI-ProX2 6,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080409,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:14:16.000,,,,,,,,,,,,,,,,,,,,,
End,09:15:40.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
14:16.4,00:00:00.400,0,1,0,1,0,299.193,4.123,34.691048,135.5171733, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.470,0,1,0,1,0,299.193,4.123,34.6910485,135.5171745, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.530,0,1,0,1,0,299.193,4.123,34.6910485,135.5171745, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.6,00:00:00.600,0,1,0,1,0,299.3,4.179,34.6910485,135.5171745, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.670,0,1,0,2,0,299.3,4.179,34.6910475,135.5171717, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.730,0,1,0,2,0,299.3,4.179,34.6910475,135.5171717, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.8,00:00:00.800,0,1,0,2,0,299.041,4.068,34.6910475,135.5171717, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.9,00:00:00.870,0,1,0.701,2,0.046,299.051,4.037,34.69104667,135.517172, T 7,3.525,0,0,0,0,0,0,0,3.525,0.705,
14:16.9,00:00:00.930,0,1,0.71,2,0.093,299.061,4.006,34.69104667,135.517172, T 7,3.525,0,0,0,0,0,0,0,3.525,0.705,
14:17.0,00:00:01.000,0,1,0.719,2,0.141,299.072,3.975,34.69104667,135.517172, T 7,3.525,0,0,0,0,0,0,0,3.525,0.705,
14:17.1,00:00:01.070,0,1,0.733,2,0.189,299.061,3.963,34.69104633,135.5171717, T 7,0.174,0,0,0,0,0,0,0,0.174,0.74,
14:17.1,00:00:01.130,0,1,0.747,2,0.239,299.051,3.951,34.69104633,135.5171717, T 7,0.174,0,0,0,0,0,0,0,0.174,0.74,
14:17.2,00:00:01.200,0,1,0.761,2,0.289,299.041,3.938,34.69104633,135.5171717, T 7,0.174,0,0,0,0,0,0,0,0.174,0.74,
14:17.3,00:00:01.270,0,1,0.769,3,0.34,299.006,3.932,34.69104617,135.5171705, T 7,0.166,0,0,0,0,0,0,0,0.166,0.773,
14:17.3,00:00:01.330,0,1,0.777,3,0.391,298.97,3.926,34.69104617,135.5171705, T 7,0.166,0,0,0,0,0,0,0,0.166,0.773,
14:17.4,00:00:01.400,0,1,0.785,3,0.444,298.934,3.92,34.69104617,135.5171705, T 7,0.166,0,0,0,0,0,0,0,0.166,0.773,
14:17.5,00:00:01.470,0,1,0.774,2,0.496,298.868,3.938,34.69104667,135.5171683, T 7,-0.023,0,0,0,0,0,0,0,-0.023,0.768,
