Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:14:15.800,,,,,,,,,,,,,,,,,,,,,
End,09:15:30.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
14:15.8,00:00:00.000,0,1,0.325,1,0,286.958,1.072,34.6911765,135.5172118, T 7,,0,0,0,0,0,0,0,0,0,
14:15.9,00:00:00.070,0,1,0,1,0,286.958,1.072,34.69117683,135.5172112, T 7,0,0,0,0,0,0,0,0,0,0,
14:15.9,00:00:00.130,0,1,0,1,0,286.958,1.072,34.69117683,135.5172112, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.0,00:00:00.200,0,1,0,1,0,286.897,1.109,34.69117683,135.5172112, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.1,00:00:00.270,0,1,0,1,0,286.897,1.109,34.691177,135.5172103, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.1,00:00:00.330,0,1,0,1,0,286.897,1.109,34.691177,135.5172103, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.2,00:00:00.400,0,1,0,1,0,286.821,1.128,34.691177,135.5172103, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.3,00:00:00.470,0,1,0,1,0,286.821,1.128,34.69117733,135.5172095, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.3,00:00:00.530,0,1,0,1,0,286.821,1.128,34.69117733,135.5172095, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.4,00:00:00.600,0,1,0,1,0,286.744,1.165,34.69117733,135.5172095, T 7,0,0,0,0,0,0,0,0,0,0,
