Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:14:16.200,,,,,,,,,,,,,,,,,,,,,
End,09:15:37.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
14:16.2,00:00:00.000,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,,0,0,0,0,0,0,0,0,0,
14:16.3,00:00:00.070,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.3,00:00:00.130,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.4,00:00:00.200,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.270,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.330,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.6,00:00:00.400,0,1,0,1,0,277.633,0.573,34.691238,135.5172225, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.470,0,1,0,2,0,277.633,0.573,34.69123767,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.530,0,1,0,2,0,277.633,0.573,34.69123767,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.8,00:00:00.600,0,1,0,2,0,277.541,0.536,34.69123767,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
14:16.9,00:00:00.670,0,1,0.687,3,0.044,277.429,0.512,34.691237,135.5172178, T 8,3.564,0,0,0,0,0,0,0,3.564,0.713,
14:16.9,00:00:00.730,0,1,0.738,3,0.092,277.318,0.487,34.691237,135.5172178, T 8,3.564,0,0,0,0,0,0,0,3.564,0.713,
14:17.0,00:00:00.800,0,1,0.789,3,0.143,277.206,0.462,34.691237,135.5172178, T 8,3.564,0,0,0,0,0,0,0,3.564,0.713,
14:17.1,00:00:00.870,0,1,0.804,3,0.196,277.125,0.462,34.691237,135.5172152, T 8,0.493,0,0,0,0,0,0,0,0.493,0.811,
