Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:14:16.400,,,,,,,,,,,,,,,,,,,,,
End,09:16:13.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
14:16.4,00:00:00.000,0,1,0,1,0,310.666,0.481,34.69131517,135.51726, T 8,,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.070,0,1,0,1,0,310.666,0.481,34.69131517,135.51726, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.5,00:00:00.130,0,1,0,1,0,310.666,0.481,34.69131517,135.51726, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.6,00:00:00.200,0,1,0,1,0,310.666,0.481,34.69131517,135.51726, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.270,0,1,0,1,0,310.666,0.481,34.691314,135.5172595, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.7,00:00:00.330,0,1,0,1,0,310.666,0.481,34.691314,135.5172595, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.8,00:00:00.400,0,1,0,1,0,310.62,0.351,34.691314,135.5172595, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.9,00:00:00.470,0,1,0,1,0,310.62,0.351,34.69131317,135.5172577, T 8,0,0,0,0,0,0,0,0,0,0,
14:16.9,00:00:00.530,0,1,0,1,0,310.62,0.351,34.69131317,135.5172577, T 8,0,0,0,0,0,0,0,0,0,0,
14:17.0,00:00:00.600,0,1,0,1,0,310.453,0.259,34.69131317,135.5172577, T 8,0,0,0,0,0,0,0,0,0,0,
14:17.1,00:00:00.670,0,1,0,2,0,310.453,0.259,34.69131317,135.5172558, T 8,0,0,0,0,0,0,0,0,0,0,
14:17.1,00:00:00.730,0,1,0,2,0,310.453,0.259,34.69131317,135.5172558, T 8,0,0,0,0,0,0,0,0,0,0,
14:17.2,00:00:00.800,0,1,0,2,0,310.285,0.259,34.69131317,135.5172558, T 8,0,0,0,0,0,0,0,0,0,0,
