Player,: SPI ProX2  2,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075839,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:32:41.000,,,,,,,,,,,,,,,,,,,,,
End,09:34:06.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
32:41.0,00:00:00.000,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:00.070,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:00.130,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.2,00:00:00.200,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:00.270,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:00.330,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.4,00:00:00.400,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:00.470,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:00.530,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.6,00:00:00.600,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:00.670,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:00.730,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.8,00:00:00.800,0,1,0,1,0,291.407,4.123,34.69111333,135.5172657, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:00.870,0,1,0,1,0,291.407,4.123,34.69111217,135.5172642, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:00.930,0,1,0,1,0,291.407,4.123,34.69111217,135.5172642, T 8,0,0,0,0,0,0,0,0,0,0,
32:42.0,00:00:01.000,0,1,0,1,0,291.27,3.994,34.69111217,135.5172642, T 8,0,0,0,0,0,0,0,0,0,0,
32:42.1,00:00:01.070,0,1,0,2,0,291.27,3.994,34.69111117,135.517262, T 8,0,0,0,0,0,0,0,0,0,0,
