Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075137,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:32:39.200,,,,,,,,,,,,,,,,,,,,,
End,09:34:00.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
32:39.3,00:00:00.070,0,1,0,1,0,283.865,1.609,34.69118283,135.51723, T 9,0,0,0,0,0,0,0,0,0,0,
32:39.3,00:00:00.130,0,1,0,1,0,283.865,1.609,34.69118283,135.51723, T 9,0,0,0,0,0,0,0,0,0,0,
32:39.4,00:00:00.200,0,1,0,1,0,283.88,1.609,34.69118283,135.51723, T 9,0,0,0,0,0,0,0,0,0,0,
32:39.5,00:00:00.270,0,1,0,1,0,283.88,1.609,34.691183,135.5172298, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.5,00:00:00.330,0,1,0,1,0,283.88,1.609,34.691183,135.5172298, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.6,00:00:00.400,0,1,0,1,0,283.865,1.627,34.691183,135.5172298, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.7,00:00:00.470,0,1,0,1,0,283.865,1.627,34.69118383,135.5172302, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.7,00:00:00.530,0,1,0,1,0,283.865,1.627,34.69118383,135.5172302, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.8,00:00:00.600,0,1,0,1,0,283.895,1.719,34.69118383,135.5172302, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.9,00:00:00.670,0,1,0,1,0,283.895,1.719,34.69118367,135.51723, T 8,0,0,0,0,0,0,0,0,0,0,
32:39.9,00:00:00.730,0,1,0,1,0,283.895,1.719,34.69118367,135.51723, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.0,00:00:00.800,0,1,0,1,0,283.88,1.701,34.69118367,135.51723, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.1,00:00:00.870,0,1,0,1,0,283.88,1.701,34.69118317,135.5172295, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.1,00:00:00.930,0,1,0,1,0,283.88,1.701,34.69118317,135.5172295, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.2,00:00:01.000,0,1,0,1,0,283.834,1.646,34.69118317,135.5172295, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.3,00:00:01.070,0,1,0,1,0,283.834,1.646,34.6911825,135.5172288, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.3,00:00:01.130,0,1,0,1,0,283.834,1.646,34.6911825,135.5172288, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.4,00:00:01.200,0,1,0,1,0,283.773,1.572,34.6911825,135.5172288, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.5,00:00:01.270,0,1,0,1,0,283.773,1.572,34.69118183,135.5172287, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.5,00:00:01.330,0,1,0,1,0,283.773,1.572,34.69118183,135.5172287, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.6,00:00:01.400,0,1,0,1,0,283.758,1.498,34.69118183,135.5172287, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.7,00:00:01.470,0,1,0,1,0,283.758,1.498,34.69118117,135.5172285, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.7,00:00:01.530,0,1,0,1,0,283.758,1.498,34.69118117,135.5172285, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.8,00:00:01.600,0,1,0,1,0,283.743,1.424,34.69118117,135.5172285, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.9,00:00:01.670,0,1,0,1,0,283.743,1.424,34.69118067,135.5172278, T 9,0,0,0,0,0,0,0,0,0,0,
32:40.9,00:00:01.730,0,1,0,1,0,283.743,1.424,34.69118067,135.5172278, T 9,0,0,0,0,0,0,0,0,0,0,
32:41.0,00:00:01.800,0,1,0,1,0,283.682,1.368,34.69118067,135.5172278, T 9,0,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:01.870,0,1,0,1,0,283.682,1.368,34.6911805,135.5172273, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:01.930,0,1,0,1,0,283.682,1.368,34.6911805,135.5172273, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.2,00:00:02.000,0,1,0,1,0,283.636,1.35,34.6911805,135.5172273, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:02.070,0,1,0,1,0,283.636,1.35,34.69118017,135.5172267, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:02.130,0,1,0,1,0,283.636,1.35,34.69118017,135.5172267, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.4,00:00:02.200,0,1,0,1,0,283.575,1.313,34.69118017,135.5172267, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:02.270,0,1,0,1,0,283.575,1.313,34.69118,135.5172262, T 9,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:02.330,0,1,0,1,0,283.575,1.313,34.69118,135.5172262, T 9,0,0,0,0,0,0,0,0,0,0,
32:41.6,00:00:02.400,0,1,0,1,0,283.529,1.294,34.69118,135.5172262, T 9,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:02.470,0,1,0,2,0,283.529,1.294,34.6911795,135.5172255, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:02.530,0,1,0,2,0,283.529,1.294,34.6911795,135.5172255, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.8,00:00:02.600,0,1,0,2,0,283.468,1.239,34.6911795,135.5172255, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:02.670,0,1,0,3,0,283.468,1.239,34.69117967,135.517224, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:02.730,0,1,0,3,0,283.468,1.239,34.69117967,135.517224, T 8,0,0,0,0,0,0,0,0,0,0,
32:42.0,00:00:02.800,0,1,0,3,0,283.331,1.257,34.69117967,135.517224, T 8,0,0,0,0,0,0,0,0,0,0,
32:42.1,00:00:02.870,0,1,0.85,3,0.054,283.265,1.276,34.69118017,135.5172218, T 8,4.417,0,0,0,0,0,0,0,4.417,0.883,
32:42.1,00:00:02.930,0,1,0.917,3,0.113,283.199,1.294,34.69118017,135.5172218, T 8,4.417,0,0,0,0,0,0,0,4.417,0.883,
32:42.2,00:00:03.000,0,1,0.985,3,0.177,283.133,1.313,34.69118017,135.5172218, T 8,4.417,0,0,0,0,0,0,0,4.417,0.883,
32:42.3,00:00:03.070,0,1,0.919,3,0.24,283.077,1.313,34.69118017,135.51722, T 8,0.014,0,0,0,0,0,0,0,0.014,0.886,
32:42.3,00:00:03.130,0,1,0.853,3,0.299,283.022,1.313,34.69118017,135.51722, T 8,0.014,0,0,0,0,0,0,0,0.014,0.886,
32:42.4,00:00:03.200,0,1,0.788,3,0.354,282.966,1.313,34.69118017,135.51722, T 8,0.014,0,0,0,0,0,0,0,0.014,0.886,
32:42.5,00:00:03.270,0,1,0.71,2,0.404,282.935,1.319,34.69118033,135.517219, T 8,-1.075,0,0,0,0,0,0,0,-1.075,0.671,
32:42.5,00:00:03.330,0,1,0.632,2,0.449,282.905,1.325,34.69118033,135.517219, T 8,-1.075,0,0,0,0,0,0,0,-1.075,0.671,
32:42.6,00:00:03.400,0,1,0.555,2,0.488,282.874,1.331,34.69118033,135.517219, T 8,-1.075,0,0,0,0,0,0,0,-1.075,0.671,
32:42.7,00:00:03.470,0,1,0.646,3,0.528,282.823,1.331,34.69118033,135.5172173, T 8,0.107,0,0,0,0,0,0,0,0.107,0.692,
32:42.7,00:00:03.530,0,1,0.738,3,0.574,282.773,1.331,34.69118033,135.5172173, T 8,0.107,0,0,0,0,0,0,0,0.107,0.692,
32:42.8,00:00:03.600,0,1,0.83,3,0.627,282.722,1.331,34.69118033,135.5172173, T 8,0.107,0,0,0,0,0,0,0,0.107,0.692,
32:42.9,00:00:03.670,0,1,0.935,3,0.685,282.646,1.35,34.69118083,135.5172148, T 8,1.476,0,0,0,0,0,0,0,1.476,0.988,
32:42.9,00:00:03.730,0,1,1.04,3,0.751,282.569,1.368,34.69118083,135.5172148, T 8,1.476,0,0,0,0,0,0,0,1.476,0.988,
32:43.0,00:00:03.800,0,1,1.145,3,0.824,282.493,1.387,34.69118083,135.5172148, T 8,1.476,0,0,0,0,0,0,0,1.476,0.988,
32:43.1,00:00:03.870,0,1,1.222,4,0.903,282.387,1.411,34.6911815,135.5172113, T 8,1.366,0,0,0,0,0,0,0,1.366,1.261,
32:43.1,00:00:03.930,0,1,1.299,4,0.987,282.28,1.436,34.6911815,135.5172113, T 8,1.366,0,0,0,0,0,0,0,1.366,1.261,
32:43.2,00:00:04.000,0,1,1.377,4,1.076,282.173,1.461,34.6911815,135.5172113, T 8,1.366,0,0,0,0,0,0,0,1.366,1.261,
32:43.3,00:00:04.070,0,1,1.285,3,1.165,282.087,1.479,34.691182,135.5172085, T 8,-0.112,0,0,0,0,0,0,0,-0.112,1.239,
32:43.3,00:00:04.130,0,1,1.192,3,1.248,282.001,1.498,34.691182,135.5172085, T 8,-0.112,0,0,0,0,0,0,0,-0.112,1.239,
32:43.4,00:00:04.200,0,1,1.1,3,1.324,281.914,1.516,34.691182,135.5172085, T 8,-0.112,0,0,0,0,0,0,0,-0.112,1.239,
