Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075612,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:32:40.600,,,,,,,,,,,,,,,,,,,,,
End,09:34:20.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
32:40.6,00:00:00.000,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,,0,0,0,0,0,0,0,0,0,
32:40.7,00:00:00.070,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.7,00:00:00.130,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.8,00:00:00.200,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:40.9,00:00:00.270,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:40.9,00:00:00.330,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.0,00:00:00.400,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:00.470,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.1,00:00:00.530,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.2,00:00:00.600,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:00.670,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.3,00:00:00.730,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.4,00:00:00.800,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:00.870,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.5,00:00:00.930,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.6,00:00:01.000,0,1,0,1,0,290.066,1.368,34.69127167,135.5172245, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:01.070,0,1,0,1,0,290.066,1.368,34.69127217,135.5172232, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.7,00:00:01.130,0,1,0,1,0,290.066,1.368,34.69127217,135.5172232, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.8,00:00:01.200,0,1,0,1,0,289.944,1.424,34.69127217,135.5172232, T 8,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:01.270,0,1,0,1,0,289.944,1.424,34.69127183,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
32:41.9,00:00:01.330,0,1,0,1,0,289.944,1.424,34.69127183,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
32:42.0,00:00:01.400,0,1,0,1,0,289.791,1.387,34.69127183,135.5172215, T 7,0,0,0,0,0,0,0,0,0,0,
32:42.1,00:00:01.470,0,1,0,2,0,289.791,1.387,34.69127167,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
32:42.1,00:00:01.530,0,1,0,2,0,289.791,1.387,34.69127167,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
32:42.2,00:00:01.600,0,1,0,2,0,289.593,1.368,34.69127167,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
32:42.3,00:00:01.670,0,1,0,2,0,289.593,1.368,34.69127133,135.5172168, T 7,0,0,0,0,0,0,0,0,0,0,
