Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:46:09.600,,,,,,,,,,,,,,,,,,,,,
End,09:47:21.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
46:09.6,00:00:00.000,0,1,0.128,1,0,287.125,0.592,34.69113433,135.5172198, T 8,,0,0,0,0,0,0,0,0,0,
46:09.7,00:00:00.070,0,1,0,1,0,287.125,0.592,34.69113417,135.5172195, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.7,00:00:00.130,0,1,0,1,0,287.125,0.592,34.69113417,135.5172195, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.8,00:00:00.200,0,1,0,1,0,287.095,0.573,34.69113417,135.5172195, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.270,0,1,0,1,0,287.095,0.573,34.69113383,135.517219, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.330,0,1,0,1,0,287.095,0.573,34.69113383,135.517219, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.0,00:00:00.400,0,1,0,1,0,287.049,0.536,34.69113383,135.517219, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.470,0,1,0,1,0,287.049,0.536,34.69113317,135.5172183, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.530,0,1,0,1,0,287.049,0.536,34.69113317,135.5172183, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.2,00:00:00.600,0,1,0,1,0,286.988,0.462,34.69113317,135.5172183, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.670,0,1,0,2,0,286.988,0.462,34.691132,135.5172175, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.730,0,1,0,2,0,286.988,0.462,34.691132,135.5172175, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.4,00:00:00.800,0,1,0,2,0,286.912,0.333,34.691132,135.5172175, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.5,00:00:00.870,0,1,0.779,3,0.049,286.866,0.302,34.69113117,135.517216, T 7,4.119,0,0,0,0,0,0,0,4.119,0.824,
46:10.5,00:00:00.930,0,1,0.868,3,0.104,286.821,0.271,34.69113117,135.517216, T 7,4.119,0,0,0,0,0,0,0,4.119,0.824,
46:10.6,00:00:01.000,0,1,0.957,3,0.165,286.775,0.24,34.69113117,135.517216, T 7,4.119,0,0,0,0,0,0,0,4.119,0.824,
46:10.7,00:00:01.070,0,1,0.98,3,0.229,286.729,0.197,34.69113,135.5172145, T 7,0.836,0,0,0,0,0,0,0,0.836,0.991,
46:10.7,00:00:01.130,0,1,1.002,3,0.295,286.684,0.154,34.69113,135.5172145, T 7,0.836,0,0,0,0,0,0,0,0.836,0.991,
46:10.8,00:00:01.200,0,1,1.025,3,0.363,286.638,0.111,34.69113,135.5172145, T 7,0.836,0,0,0,0,0,0,0,0.836,0.991,
46:10.9,00:00:01.270,0,1,0.918,2,0.428,286.597,0.086,34.69112933,135.5172132, T 7,-0.631,0,0,0,0,0,0,0,-0.631,0.865,
