Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:46:10.000,,,,,,,,,,,,,,,,,,,,,
End,09:47:37.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
46:10.0,00:00:00.000,0,1,0.188,1,0,284.169,0.222,34.69121017,135.5172252, T 7,,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.070,0,1,0,1,0,284.169,0.222,34.69121,135.5172247, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.130,0,1,0,1,0,284.169,0.222,34.69121,135.5172247, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.2,00:00:00.200,0,1,0,1,0,284.124,0.203,34.69121,135.5172247, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.270,0,1,0,1,0,284.124,0.203,34.6912095,135.5172233, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.330,0,1,0,1,0,284.124,0.203,34.6912095,135.5172233, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.4,00:00:00.400,0,1,0,1,0,284.002,0.148,34.6912095,135.5172233, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.5,00:00:00.470,0,1,0,2,0,284.002,0.148,34.69120883,135.5172218, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.5,00:00:00.530,0,1,0,2,0,284.002,0.148,34.69120883,135.5172218, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.6,00:00:00.600,0,1,0,2,0,283.865,0.074,34.69120883,135.5172218, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.7,00:00:00.670,0,1,0,2,0,283.865,0.074,34.69120817,135.517221, T 8,0,0,0,0,0,0,0,0,0,0,
46:10.7,00:00:00.730,0,1,0,2,0,283.865,0.074,34.69120817,135.517221, T 8,0,0,0,0,0,0,0,0,0,0,
46:10.8,00:00:00.800,0,1,0,2,0,283.788,0,34.69120817,135.517221, T 8,0,0,0,0,0,0,0,0,0,0,
46:10.9,00:00:00.870,0,1,0.688,3,0.044,283.738,0.018,34.69120867,135.5172193, T 7,3.564,0,0,0,0,0,0,0,3.564,0.713,
