Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080558,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,09:46:09.800,,,,,,,,,,,,,,,,,,,,,
End,09:47:42.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
46:09.8,00:00:00.000,0,1,0,1,0,295.338,2.237,34.691255,135.51727, T 7,,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.070,0,1,0,1,0,295.338,2.237,34.691255,135.51727, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.130,0,1,0,1,0,295.338,2.237,34.691255,135.51727, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.0,00:00:00.200,0,1,0,1,0,295.338,2.237,34.691255,135.51727, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.270,0,1,0,1,0,295.338,2.237,34.69125517,135.5172697, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.330,0,1,0,1,0,295.338,2.237,34.69125517,135.5172697, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.2,00:00:00.400,0,1,0,1,0,295.307,2.256,34.69125517,135.5172697, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.470,0,1,0,1,0,295.307,2.256,34.69125517,135.517269, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.3,00:00:00.530,0,1,0,1,0,295.307,2.256,34.69125517,135.517269, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.4,00:00:00.600,0,1,0,1,0,295.246,2.256,34.69125517,135.517269, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.5,00:00:00.670,0,1,0,1,0,295.246,2.256,34.69125467,135.5172685, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.5,00:00:00.730,0,1,0,1,0,295.246,2.256,34.69125467,135.5172685, T 7,0,0,0,0,0,0,0,0,0,0,
46:10.6,00:00:00.800,0,1,0,1,0,295.201,2.2,34.69125467,135.5172685, T 7,0,0,0,0,0,0,0,0,0,0,
