Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102075137,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,10:00:03.600,,,,,,,,,,,,,,,,,,,,,
End,10:01:07.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
00:03.6,00:00:00.000,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,,0,0,0,0,0,0,0,0,0,
00:03.7,00:00:00.070,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:03.7,00:00:00.130,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:03.8,00:00:00.200,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:03.9,00:00:00.270,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:03.9,00:00:00.330,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.0,00:00:00.400,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.1,00:00:00.470,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.1,00:00:00.530,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.2,00:00:00.600,0,1,0,1,0,297.867,3.79,34.691157,135.51722, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.3,00:00:00.670,0,1,0,2,0,297.867,3.79,34.69115817,135.5172202, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.3,00:00:00.730,0,1,0,2,0,297.867,3.79,34.69115817,135.5172202, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.4,00:00:00.800,0,1,0,2,0,297.883,3.92,34.69115817,135.5172202, T 8,0,0,0,0,0,0,0,0,0,0,
00:04.5,00:00:00.870,0,1,0.666,3,0.042,297.832,3.907,34.69115783,135.5172185, T 8,3.489,0,0,0,0,0,0,0,3.489,0.698,
00:04.5,00:00:00.930,0,1,0.729,3,0.089,297.781,3.895,34.69115783,135.5172185, T 8,3.489,0,0,0,0,0,0,0,3.489,0.698,
00:04.6,00:00:01.000,0,1,0.793,3,0.14,297.73,3.883,34.69115783,135.5172185, T 8,3.489,0,0,0,0,0,0,0,3.489,0.698,
00:04.7,00:00:01.070,0,1,0.773,2,0.192,297.7,3.858,34.69115717,135.5172175, T 8,0.329,0,0,0,0,0,0,0,0.329,0.764,
00:04.7,00:00:01.130,0,1,0.754,2,0.243,297.669,3.833,34.69115717,135.5172175, T 8,0.329,0,0,0,0,0,0,0,0.329,0.764,
00:04.8,00:00:01.200,0,1,0.735,2,0.292,297.639,3.809,34.69115717,135.5172175, T 8,0.329,0,0,0,0,0,0,0,0.329,0.764,
00:04.9,00:00:01.270,0,1,0.733,2,0.341,297.573,3.772,34.69115617,135.5172153, T 8,-0.159,0,0,0,0,0,0,0,-0.159,0.732,
00:04.9,00:00:01.330,0,1,0.731,2,0.39,297.507,3.735,34.69115617,135.5172153, T 8,-0.159,0,0,0,0,0,0,0,-0.159,0.732,
