Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,10:16:18.000,,,,,,,,,,,,,,,,,,,,,
End,10:17:26.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
16:18.0,00:00:00.000,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,,0,0,0,0,0,0,0,0,0,
16:18.1,00:00:00.070,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.1,00:00:00.130,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.2,00:00:00.200,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.3,00:00:00.270,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.3,00:00:00.330,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.4,00:00:00.400,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.5,00:00:00.470,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.5,00:00:00.530,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.6,00:00:00.600,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.7,00:00:00.670,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.7,00:00:00.730,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.8,00:00:00.800,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.9,00:00:00.870,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:18.9,00:00:00.930,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:19.0,00:00:01.000,0,1,0,1,0,285.266,0.684,34.69121833,135.517221, T 9,0,0,0,0,0,0,0,0,0,0,
16:19.1,00:00:01.070,0,1,0,2,0,285.266,0.684,34.69121817,135.5172213, T 9,0,0,0,0,0,0,0,0,0,0,
16:19.1,00:00:01.130,0,1,0,2,0,285.266,0.684,34.69121817,135.5172213, T 9,0,0,0,0,0,0,0,0,0,0,
16:19.2,00:00:01.200,0,1,0,2,0,285.297,0.666,34.69121817,135.5172213, T 9,0,0,0,0,0,0,0,0,0,0,
16:19.3,00:00:01.270,0,1,0.709,2,0.046,285.261,0.653,34.69121783,135.5172202, T 9,3.617,0,0,0,0,0,0,0,3.617,0.723,
16:19.3,00:00:01.330,0,1,0.738,2,0.094,285.226,0.641,34.69121783,135.5172202, T 9,3.617,0,0,0,0,0,0,0,3.617,0.723,
16:19.4,00:00:01.400,0,1,0.767,2,0.145,285.19,0.629,34.69121783,135.5172202, T 9,3.617,0,0,0,0,0,0,0,3.617,0.723,
16:19.5,00:00:01.470,0,1,0.763,2,0.196,285.129,0.629,34.69121783,135.5172182, T 10,0.189,0,0,0,0,0,0,0,0.189,0.761,
16:19.5,00:00:01.530,0,1,0.759,2,0.246,285.068,0.629,34.69121783,135.5172182, T 10,0.189,0,0,0,0,0,0,0,0.189,0.761,
16:19.6,00:00:01.600,0,1,0.755,2,0.297,285.007,0.629,34.69121783,135.5172182, T 10,0.189,0,0,0,0,0,0,0,0.189,0.761,
16:19.7,00:00:01.670,0,1,0.787,3,0.348,284.931,0.635,34.691218,135.5172157, T 10,0.208,0,0,0,0,0,0,0,0.208,0.803,
16:19.7,00:00:01.730,0,1,0.819,3,0.402,284.855,0.641,34.691218,135.5172157, T 10,0.208,0,0,0,0,0,0,0,0.208,0.803,
16:19.8,00:00:01.800,0,1,0.85,3,0.457,284.779,0.647,34.691218,135.5172157, T 10,0.208,0,0,0,0,0,0,0,0.208,0.803,
16:19.9,00:00:01.870,0,1,0.944,3,0.517,284.667,0.647,34.691218,135.517212, T 11,0.94,0,0,0,0,0,0,0,0.94,0.991,
16:19.9,00:00:01.930,0,1,1.038,3,0.583,284.555,0.647,34.691218,135.517212, T 11,0.94,0,0,0,0,0,0,0,0.94,0.991,
16:20.0,00:00:02.000,0,1,1.131,3,0.656,284.443,0.647,34.691218,135.517212, T 11,0.94,0,0,0,0,0,0,0,0.94,0.991,
16:20.1,00:00:02.070,0,1,1.18,4,0.733,284.357,0.641,34.69121783,135.5172092, T 11,1.069,0,0,0,0,0,0,0,1.069,1.205,
16:20.1,00:00:02.130,0,1,1.229,4,0.813,284.271,0.635,34.69121783,135.5172092, T 11,1.069,0,0,0,0,0,0,0,1.069,1.205,
