Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,10:46:09.000,,,,,,,,,,,,,,,,,,,,,
End,10:47:12.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
46:09.0,00:00:00.000,0,1,0.308,1,0,299.726,0.092,34.69115133,135.5172467, T 8,,0,0,0,0,0,0,0,0,0,
46:09.1,00:00:00.070,0,1,0,1,0,299.726,0.092,34.69115167,135.5172455, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.1,00:00:00.130,0,1,0,1,0,299.726,0.092,34.69115167,135.5172455, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.2,00:00:00.200,0,1,0,1,0,299.62,0.129,34.69115167,135.5172455, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.3,00:00:00.270,0,1,0,1,0,299.62,0.129,34.69115117,135.5172455, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.3,00:00:00.330,0,1,0,1,0,299.62,0.129,34.69115117,135.5172455, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.4,00:00:00.400,0,1,0,1,0,299.62,0.074,34.69115117,135.5172455, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.5,00:00:00.470,0,1,0,1,0,299.62,0.074,34.69115117,135.5172452, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.5,00:00:00.530,0,1,0,1,0,299.62,0.074,34.69115117,135.5172452, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.6,00:00:00.600,0,1,0,1,0,299.589,0.074,34.69115117,135.5172452, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.7,00:00:00.670,0,1,0,2,0,299.589,0.074,34.691151,135.5172442, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.7,00:00:00.730,0,1,0,2,0,299.589,0.074,34.691151,135.5172442, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.8,00:00:00.800,0,1,0,2,0,299.498,0.055,34.691151,135.5172442, T 7,0,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.870,0,1,0.768,3,0.048,299.457,0.037,34.6911505,135.5172428, T 7,4.071,0,0,0,0,0,0,0,4.071,0.814,
46:09.9,00:00:00.930,0,1,0.86,3,0.102,299.417,0.018,34.6911505,135.5172428, T 7,4.071,0,0,0,0,0,0,0,4.071,0.814,
46:10.0,00:00:01.000,0,1,0.953,3,0.163,299.376,0,34.6911505,135.5172428, T 7,4.071,0,0,0,0,0,0,0,4.071,0.814,
46:10.1,00:00:01.070,0,1,1.076,4,0.23,299.295,0.006,34.69115067,135.5172402, T 7,1.615,0,0,0,0,0,0,0,1.615,1.137,
46:10.1,00:00:01.130,0,1,1.199,4,0.306,299.213,0.012,34.69115067,135.5172402, T 7,1.615,0,0,0,0,0,0,0,1.615,1.137,
46:10.2,00:00:01.200,0,1,1.322,4,0.39,299.132,0.018,34.69115067,135.5172402, T 7,1.615,0,0,0,0,0,0,0,1.615,1.137,
46:10.3,00:00:01.270,0,1,1.207,3,0.475,299.056,0.049,34.6911515,135.5172377, T 7,0.062,0,0,0,0,0,0,0,0.062,1.15,
46:10.3,00:00:01.330,0,1,1.092,3,0.551,298.98,0.08,34.6911515,135.5172377, T 7,0.062,0,0,0,0,0,0,0,0.062,1.15,
46:10.4,00:00:01.400,0,1,0.977,3,0.62,298.904,0.111,34.6911515,135.5172377, T 7,0.062,0,0,0,0,0,0,0,0.062,1.15,
46:10.5,00:00:01.470,0,1,1.039,3,0.687,298.827,0.111,34.6911515,135.5172352, T 7,-0.397,0,0,0,0,0,0,0,-0.397,1.07,
46:10.5,00:00:01.530,0,1,1.101,3,0.759,298.751,0.111,34.6911515,135.5172352, T 7,-0.397,0,0,0,0,0,0,0,-0.397,1.07,
46:10.6,00:00:01.600,0,1,1.163,3,0.834,298.675,0.111,34.6911515,135.5172352, T 7,-0.397,0,0,0,0,0,0,0,-0.397,1.07,
46:10.7,00:00:01.670,0,1,1.407,5,0.92,298.568,0.111,34.6911515,135.5172317, T 8,2.294,0,0,0,0,0,0,0,2.294,1.529,
46:10.7,00:00:01.730,0,1,1.651,5,1.022,298.462,0.111,34.6911515,135.5172317, T 8,2.294,0,0,0,0,0,0,0,2.294,1.529,
46:10.8,00:00:01.800,0,1,1.895,5,1.14,298.355,0.111,34.6911515,135.5172317, T 8,2.294,0,0,0,0,0,0,0,2.294,1.529,
46:10.9,00:00:01.870,0,1,1.957,5,1.268,298.218,0.111,34.6911515,135.5172272, T 8,2.296,0,0,0,0,0,0,0,2.296,1.988,
46:10.9,00:00:01.930,0,1,2.019,5,1.401,298.081,0.111,34.6911515,135.5172272, T 8,2.296,0,0,0,0,0,0,0,2.296,1.988,
46:11.0,00:00:02.000,0,1,2.081,5,1.538,297.944,0.111,34.6911515,135.5172272, T 8,2.296,0,0,0,0,0,0,0,2.296,1.988,
46:11.1,00:00:02.070,0,1,1.849,4,1.669,297.857,0.117,34.69115167,135.5172243, T 7,-1.277,0,0,0,0,0,0,0,-1.277,1.733,
46:11.1,00:00:02.130,0,1,1.617,4,1.784,297.771,0.123,34.69115167,135.5172243, T 7,-1.277,0,0,0,0,0,0,0,-1.277,1.733,
46:11.2,00:00:02.200,0,1,1.384,4,1.884,297.685,0.129,34.69115167,135.5172243, T 7,-1.277,0,0,0,0,0,0,0,-1.277,1.733,
46:11.3,00:00:02.270,0,1,1.557,5,1.982,297.563,0.129,34.69115167,135.5172203, T 7,-0.45,0,0,0,0,0,0,0,-0.45,1.643,
46:11.3,00:00:02.330,0,1,1.729,5,2.092,297.441,0.129,34.69115167,135.5172203, T 7,-0.45,0,0,0,0,0,0,0,-0.45,1.643,
