Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102080657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,10:46:09.800,,,,,,,,,,,,,,,,,,,,,
End,10:47:20.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
46:09.8,00:00:00.000,0,1,0,1,0,286.47,0.092,34.6912385,135.5172405, T 8,,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.070,0,1,0,3,0,286.47,0.092,34.6912385,135.51724, T 8,0,0,0,0,0,0,0,0,0,0,
46:09.9,00:00:00.130,0,1,0,3,0,286.47,0.092,34.6912385,135.51724, T 8,0,0,0,0,0,0,0,0,0,0,
46:10.0,00:00:00.200,0,1,0,3,0,286.424,0.092,34.6912385,135.51724, T 8,0,0,0,0,0,0,0,0,0,0,
46:10.1,00:00:00.270,0,1,0.903,3,0.057,286.363,0.092,34.6912385,135.517238, T 8,4.715,0,0,0,0,0,0,0,4.715,0.943,
46:10.1,00:00:00.330,0,1,0.983,3,0.12,286.302,0.092,34.6912385,135.517238, T 8,4.715,0,0,0,0,0,0,0,4.715,0.943,
46:10.2,00:00:00.400,0,1,1.064,3,0.189,286.241,0.092,34.6912385,135.517238, T 8,4.715,0,0,0,0,0,0,0,4.715,0.943,
46:10.3,00:00:00.470,0,1,1.001,3,0.257,286.186,0.092,34.6912385,135.5172362, T 8,0.131,0,0,0,0,0,0,0,0.131,0.969,
46:10.3,00:00:00.530,0,1,0.937,3,0.322,286.13,0.092,34.6912385,135.5172362, T 8,0.131,0,0,0,0,0,0,0,0.131,0.969,
46:10.4,00:00:00.600,0,1,0.874,3,0.382,286.074,0.092,34.6912385,135.5172362, T 8,0.131,0,0,0,0,0,0,0,0.131,0.969,
46:10.5,00:00:00.670,0,1,0.778,2,0.437,286.018,0.099,34.69123867,135.5172343, T 8,-1.199,0,0,0,0,0,0,0,-1.199,0.729,
46:10.5,00:00:00.730,0,1,0.681,2,0.486,285.962,0.105,34.69123867,135.5172343, T 8,-1.199,0,0,0,0,0,0,0,-1.199,0.729,
46:10.6,00:00:00.800,0,1,0.585,2,0.528,285.906,0.111,34.69123867,135.5172343, T 8,-1.199,0,0,0,0,0,0,0,-1.199,0.729,
46:10.7,00:00:00.870,0,1,0.718,3,0.572,285.845,0.105,34.6912385,135.5172323, T 8,0.278,0,0,0,0,0,0,0,0.278,0.785,
46:10.7,00:00:00.930,0,1,0.852,3,0.624,285.784,0.099,34.6912385,135.5172323, T 8,0.278,0,0,0,0,0,0,0,0.278,0.785,
46:10.8,00:00:01.000,0,1,0.985,3,0.685,285.723,0.092,34.6912385,135.5172323, T 8,0.278,0,0,0,0,0,0,0,0.278,0.785,
46:10.9,00:00:01.070,0,1,1.172,4,0.757,285.632,0.092,34.6912385,135.5172293, T 8,2.401,0,0,0,0,0,0,0,2.401,1.265,
46:10.9,00:00:01.130,0,1,1.359,4,0.842,285.54,0.092,34.6912385,135.5172293, T 8,2.401,0,0,0,0,0,0,0,2.401,1.265,
46:11.0,00:00:01.200,0,1,1.545,4,0.938,285.449,0.092,34.6912385,135.5172293, T 8,2.401,0,0,0,0,0,0,0,2.401,1.265,
46:11.1,00:00:01.270,0,1,1.596,4,1.043,285.337,0.105,34.69123883,135.5172257, T 8,1.784,0,0,0,0,0,0,0,1.784,1.622,
46:11.1,00:00:01.330,0,1,1.648,4,1.151,285.226,0.117,34.69123883,135.5172257, T 8,1.784,0,0,0,0,0,0,0,1.784,1.622,
46:11.2,00:00:01.400,0,1,1.699,4,1.263,285.114,0.129,34.69123883,135.5172257, T 8,1.784,0,0,0,0,0,0,0,1.784,1.622,
46:11.3,00:00:01.470,0,1,1.536,3,1.371,285.038,0.111,34.69123833,135.5172232, T 8,-0.833,0,0,0,0,0,0,0,-0.833,1.455,
46:11.3,00:00:01.530,0,1,1.374,3,1.468,284.961,0.092,34.69123833,135.5172232, T 8,-0.833,0,0,0,0,0,0,0,-0.833,1.455,
46:11.4,00:00:01.600,0,1,1.212,3,1.554,284.885,0.074,34.69123833,135.5172232, T 8,-0.833,0,0,0,0,0,0,0,-0.833,1.455,
46:11.5,00:00:01.670,0,1,1.173,3,1.633,284.814,0.074,34.69123833,135.5172208, T 8,-1.512,0,0,0,0,0,0,0,-1.512,1.153,
46:11.5,00:00:01.730,0,1,1.133,3,1.71,284.743,0.074,34.69123833,135.5172208, T 8,-1.512,0,0,0,0,0,0,0,-1.512,1.153,
46:11.6,00:00:01.800,0,1,1.094,3,1.784,284.672,0.074,34.69123833,135.5172208, T 8,-1.512,0,0,0,0,0,0,0,-1.512,1.153,
46:11.7,00:00:01.870,0,1,1.331,5,1.865,284.555,0.068,34.69123817,135.517217, T 8,1.485,0,0,0,0,0,0,0,1.485,1.45,
46:11.7,00:00:01.930,0,1,1.569,5,1.962,284.438,0.062,34.69123817,135.517217, T 8,1.485,0,0,0,0,0,0,0,1.485,1.45,
46:11.8,00:00:02.000,0,1,1.806,5,2.074,284.322,0.055,34.69123817,135.517217, T 8,1.485,0,0,0,0,0,0,0,1.485,1.45,
46:11.9,00:00:02.070,0,1,1.856,5,2.197,284.2,0.055,34.69123817,135.517213, T 8,2.158,0,0,0,0,0,0,0,2.158,1.882,
46:11.9,00:00:02.130,0,1,1.907,5,2.322,284.078,0.055,34.69123817,135.517213, T 8,2.158,0,0,0,0,0,0,0,2.158,1.882,
46:12.0,00:00:02.200,0,1,1.957,5,2.451,283.956,0.055,34.69123817,135.517213, T 8,2.158,0,0,0,0,0,0,0,2.158,1.882,
46:12.1,00:00:02.270,0,1,1.934,5,2.58,283.844,0.055,34.69123817,135.5172093, T 8,0.208,0,0,0,0,0,0,0,0.208,1.923,
46:12.1,00:00:02.330,0,1,1.912,5,2.709,283.732,0.055,34.69123817,135.5172093, T 8,0.208,0,0,0,0,0,0,0,0.208,1.923,
46:12.2,00:00:02.400,0,1,1.89,5,2.835,283.621,0.055,34.69123817,135.5172093, T 8,0.208,0,0,0,0,0,0,0,0.208,1.923,
46:12.3,00:00:02.470,0,1,1.791,4,2.958,283.519,0.049,34.691238,135.517206, T 8,-0.907,0,0,0,0,0,0,0,-0.907,1.742,
46:12.3,00:00:02.530,0,1,1.693,4,3.074,283.417,0.043,34.691238,135.517206, T 8,-0.907,0,0,0,0,0,0,0,-0.907,1.742,
46:12.4,00:00:02.600,0,1,1.594,4,3.184,283.316,0.037,34.691238,135.517206, T 8,-0.907,0,0,0,0,0,0,0,-0.907,1.742,
46:12.5,00:00:02.670,0,1,1.74,5,3.295,283.189,0.025,34.69123767,135.5172018, T 8,0.355,0,0,0,0,0,0,0,0.355,1.813,
46:12.5,00:00:02.730,0,1,1.886,5,3.416,283.062,0.012,34.69123767,135.5172018, T 8,0.355,0,0,0,0,0,0,0,0.355,1.813,
46:12.6,00:00:02.800,0,1,2.032,5,3.546,282.935,0,34.69123767,135.5172018, T 8,0.355,0,0,0,0,0,0,0,0.355,1.813,
46:12.7,00:00:02.870,0,1,2.125,6,3.685,282.793,0.006,34.69123783,135.5171972, T 8,1.797,0,0,0,0,0,0,0,1.797,2.172,
46:12.7,00:00:02.930,0,1,2.219,6,3.83,282.651,0.012,34.69123783,135.5171972, T 8,1.797,0,0,0,0,0,0,0,1.797,2.172,
46:12.8,00:00:03.000,0,1,2.313,6,3.981,282.508,0.018,34.69123783,135.5171972, T 8,1.797,0,0,0,0,0,0,0,1.797,2.172,
46:12.9,00:00:03.070,0,1,2.23,5,4.132,282.381,0.031,34.69123817,135.517193, T 8,0.081,0,0,0,0,0,0,0,0.081,2.188,
46:12.9,00:00:03.130,0,1,2.147,5,4.278,282.254,0.043,34.69123817,135.517193, T 8,0.081,0,0,0,0,0,0,0,0.081,2.188,
46:13.0,00:00:03.200,0,1,2.064,5,4.419,282.127,0.055,34.69123817,135.517193, T 8,0.081,0,0,0,0,0,0,0,0.081,2.188,
46:13.1,00:00:03.270,0,1,2.039,5,4.555,281.985,0.062,34.69123833,135.5171883, T 8,-0.809,0,0,0,0,0,0,0,-0.809,2.027,
46:13.1,00:00:03.330,0,1,2.014,5,4.69,281.843,0.068,34.69123833,135.5171883, T 8,-0.809,0,0,0,0,0,0,0,-0.809,2.027,
46:13.2,00:00:03.400,0,1,1.989,5,4.824,281.701,0.074,34.69123833,135.5171883, T 8,-0.809,0,0,0,0,0,0,0,-0.809,2.027,
46:13.3,00:00:03.470,0,1,2.155,6,4.962,281.523,0.086,34.69123867,135.5171825, T 8,1.056,0,0,0,0,0,0,0,1.056,2.238,
46:13.3,00:00:03.530,0,1,2.321,6,5.111,281.345,0.099,34.69123867,135.5171825, T 8,1.056,0,0,0,0,0,0,0,1.056,2.238,
46:13.4,00:00:03.600,0,1,2.486,6,5.271,281.167,0.111,34.69123867,135.5171825, T 8,1.056,0,0,0,0,0,0,0,1.056,2.238,
46:13.5,00:00:03.670,0,1,2.478,6,5.437,280.995,0.123,34.691239,135.5171768, T 8,1.181,0,0,0,0,0,0,0,1.181,2.474,
46:13.5,00:00:03.730,0,1,2.47,6,5.602,280.822,0.136,34.691239,135.5171768, T 8,1.181,0,0,0,0,0,0,0,1.181,2.474,
46:13.6,00:00:03.800,0,1,2.462,6,5.766,280.649,0.148,34.691239,135.5171768, T 8,1.181,0,0,0,0,0,0,0,1.181,2.474,
46:13.7,00:00:03.870,0,1,2.428,6,5.929,280.492,0.154,34.69123917,135.5171717, T 8,-0.316,0,0,0,0,0,0,0,-0.316,2.411,
46:13.7,00:00:03.930,0,1,2.394,6,6.09,280.335,0.16,34.69123917,135.5171717, T 8,-0.316,0,0,0,0,0,0,0,-0.316,2.411,
