Player,: SPI-ProX2  4,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123358,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,12:50:31.800,,,,,,,,,,,,,,,,,,,,,
End,12:51:45.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
50:31.9,00:00:00.070,0,1,0,1,0,284.931,0.185,34.691169,135.5172212, T 7,0,0,0,0,0,0,0,0,0,0,
50:31.9,00:00:00.130,0,1,0,1,0,284.931,0.185,34.691169,135.5172212, T 7,0,0,0,0,0,0,0,0,0,0,
50:32.0,00:00:00.200,0,1,0,1,0,284.977,0.185,34.691169,135.5172212, T 7,0,0,0,0,0,0,0,0,0,0,
50:32.1,00:00:00.270,0,1,0,2,0,284.977,0.185,34.69116983,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
50:32.1,00:00:00.330,0,1,0,2,0,284.977,0.185,34.69116983,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
50:32.2,00:00:00.400,0,1,0,2,0,284.809,0.277,34.69116983,135.5172193, T 7,0,0,0,0,0,0,0,0,0,0,
50:32.3,00:00:00.470,0,1,0.642,3,0.039,284.743,0.271,34.69116967,135.5172172, T 7,3.476,0,0,0,0,0,0,0,3.476,0.695,
50:32.3,00:00:00.530,0,1,0.748,3,0.086,284.677,0.265,34.69116967,135.5172172, T 7,3.476,0,0,0,0,0,0,0,3.476,0.695,
50:32.4,00:00:00.600,0,1,0.854,3,0.139,284.611,0.259,34.69116967,135.5172172, T 7,3.476,0,0,0,0,0,0,0,3.476,0.695,
50:32.5,00:00:00.670,0,1,0.886,3,0.197,284.535,0.29,34.6911705,135.5172147, T 7,1.031,0,0,0,0,0,0,0,1.031,0.902,
50:32.5,00:00:00.730,0,1,0.917,3,0.257,284.459,0.32,34.6911705,135.5172147, T 7,1.031,0,0,0,0,0,0,0,1.031,0.902,
50:32.6,00:00:00.800,0,1,0.949,3,0.319,284.383,0.351,34.6911705,135.5172147, T 7,1.031,0,0,0,0,0,0,0,1.031,0.902,
