Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122709,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,12:50:30.800,,,,,,,,,,,,,,,,,,,,,
End,12:51:51.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
50:32.3,00:00:01.470,0,1,0,2,0,283.514,0.499,34.69130367,135.5172443, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.3,00:00:01.530,0,1,0,2,0,283.514,0.499,34.69130367,135.5172443, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.4,00:00:01.600,0,1,0,2,0,283.3,0.573,34.69130367,135.5172443, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.5,00:00:01.670,0,1,0,2,0,283.3,0.573,34.6913045,135.5172428, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.5,00:00:01.730,0,1,0,2,0,283.3,0.573,34.6913045,135.5172428, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.6,00:00:01.800,0,1,0,2,0,283.163,0.666,34.6913045,135.5172428, T 8,0,0,0,0,0,0,0,0,0,0,
50:32.7,00:00:01.870,0,1,0.519,2,0.035,283.107,0.69,34.69130517,135.517241, T 8,2.586,0,0,0,0,0,0,0,2.586,0.517,
50:32.7,00:00:01.930,0,1,0.515,2,0.069,283.052,0.715,34.69130517,135.517241, T 8,2.586,0,0,0,0,0,0,0,2.586,0.517,
50:32.8,00:00:02.000,0,1,0.512,2,0.103,282.996,0.74,34.69130517,135.517241, T 8,2.586,0,0,0,0,0,0,0,2.586,0.517,
50:32.9,00:00:02.070,0,1,0.727,3,0.145,282.914,0.764,34.69130583,135.5172383, T 8,1.59,0,0,0,0,0,0,0,1.59,0.835,
50:32.9,00:00:02.130,0,1,0.943,3,0.2,282.833,0.789,34.69130583,135.5172383, T 8,1.59,0,0,0,0,0,0,0,1.59,0.835,
50:33.0,00:00:02.200,0,1,1.159,3,0.27,282.752,0.814,34.69130583,135.5172383, T 8,1.59,0,0,0,0,0,0,0,1.59,0.835,
50:33.1,00:00:02.270,0,1,1.227,4,0.35,282.655,0.826,34.69130617,135.5172352, T 8,2.134,0,0,0,0,0,0,0,2.134,1.262,
50:33.1,00:00:02.330,0,1,1.296,4,0.434,282.559,0.838,34.69130617,135.5172352, T 8,2.134,0,0,0,0,0,0,0,2.134,1.262,
50:33.2,00:00:02.400,0,1,1.365,4,0.523,282.462,0.851,34.69130617,135.5172352, T 8,2.134,0,0,0,0,0,0,0,2.134,1.262,
50:33.3,00:00:02.470,0,1,1.262,3,0.61,282.381,0.875,34.69130683,135.5172325, T 8,-0.256,0,0,0,0,0,0,0,-0.256,1.211,
50:33.3,00:00:02.530,0,1,1.159,3,0.691,282.3,0.9,34.69130683,135.5172325, T 8,-0.256,0,0,0,0,0,0,0,-0.256,1.211,
50:33.4,00:00:02.600,0,1,1.056,3,0.765,282.219,0.924,34.69130683,135.5172325, T 8,-0.256,0,0,0,0,0,0,0,-0.256,1.211,
50:33.5,00:00:02.670,0,1,1.066,3,0.836,282.122,0.949,34.6913075,135.5172293, T 8,-0.701,0,0,0,0,0,0,0,-0.701,1.071,
50:33.5,00:00:02.730,0,1,1.075,3,0.907,282.026,0.974,34.6913075,135.5172293, T 8,-0.701,0,0,0,0,0,0,0,-0.701,1.071,
50:33.6,00:00:02.800,0,1,1.085,3,0.979,281.929,0.998,34.6913075,135.5172293, T 8,-0.701,0,0,0,0,0,0,0,-0.701,1.071,
50:33.7,00:00:02.870,0,1,1.291,4,1.058,281.817,1.011,34.69130783,135.5172257, T 8,1.615,0,0,0,0,0,0,0,1.615,1.394,
50:33.7,00:00:02.930,0,1,1.497,4,1.151,281.706,1.023,34.69130783,135.5172257, T 8,1.615,0,0,0,0,0,0,0,1.615,1.394,
50:33.8,00:00:03.000,0,1,1.702,4,1.258,281.594,1.035,34.69130783,135.5172257, T 8,1.615,0,0,0,0,0,0,0,1.615,1.394,
