Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123329,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,12:58:47.200,,,,,,,,,,,,,,,,,,,,,
End,13:00:22.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
58:49.5,00:00:02.330,0,1,0,2,0,279.385,2.588,34.69116033,135.5172128, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.6,00:00:02.400,0,1,0,2,0,279.263,2.552,34.69116033,135.5172128, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.7,00:00:02.470,0,1,0,2,0,279.263,2.552,34.69116033,135.5172117, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.7,00:00:02.530,0,1,0,2,0,279.263,2.552,34.69116033,135.5172117, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.8,00:00:02.600,0,1,0,2,0,279.156,2.552,34.69116033,135.5172117, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.9,00:00:02.670,0,1,0,1,0,279.156,2.552,34.69116083,135.5172115, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.9,00:00:02.730,0,1,0,1,0,279.156,2.552,34.69116083,135.5172115, T 8,0,0,0,0,0,0,0,0,0,0,
58:50.0,00:00:02.800,0,1,0,1,0,279.141,2.607,34.69116083,135.5172115, T 8,0,0,0,0,0,0,0,0,0,0,
58:50.1,00:00:02.870,0,1,0.402,2,0.025,279.106,2.613,34.691161,135.5172103, T 8,2.168,0,0,0,0,0,0,0,2.168,0.434,
58:50.1,00:00:02.930,0,1,0.465,2,0.054,279.07,2.619,34.691161,135.5172103, T 8,2.168,0,0,0,0,0,0,0,2.168,0.434,
58:50.2,00:00:03.000,0,1,0.528,2,0.087,279.035,2.625,34.691161,135.5172103, T 8,2.168,0,0,0,0,0,0,0,2.168,0.434,
58:50.3,00:00:03.070,0,1,0.624,3,0.125,278.974,2.625,34.691161,135.5172083, T 8,1.192,0,0,0,0,0,0,0,1.192,0.672,
58:50.3,00:00:03.130,0,1,0.72,3,0.17,278.913,2.625,34.691161,135.5172083, T 8,1.192,0,0,0,0,0,0,0,1.192,0.672,
58:50.4,00:00:03.200,0,1,0.816,3,0.221,278.852,2.625,34.691161,135.5172083, T 8,1.192,0,0,0,0,0,0,0,1.192,0.672,
58:50.5,00:00:03.270,0,1,0.993,4,0.281,278.745,2.582,34.69115983,135.5172048, T 8,2.045,0,0,0,0,0,0,0,2.045,1.081,
58:50.5,00:00:03.330,0,1,1.169,4,0.354,278.638,2.539,34.69115983,135.5172048, T 8,2.045,0,0,0,0,0,0,0,2.045,1.081,
58:50.6,00:00:03.400,0,1,1.346,4,0.437,278.532,2.496,34.69115983,135.5172048, T 8,2.045,0,0,0,0,0,0,0,2.045,1.081,
58:50.7,00:00:03.470,0,1,1.307,3,0.526,278.44,2.471,34.69115917,135.5172018, T 8,1.031,0,0,0,0,0,0,0,1.031,1.287,
58:50.7,00:00:03.530,0,1,1.268,3,0.612,278.349,2.447,34.69115917,135.5172018, T 8,1.031,0,0,0,0,0,0,0,1.031,1.287,
58:50.8,00:00:03.600,0,1,1.229,3,0.695,278.257,2.422,34.69115917,135.5172018, T 8,1.031,0,0,0,0,0,0,0,1.031,1.287,
58:50.9,00:00:03.670,0,1,1.169,3,0.775,278.186,2.404,34.69115867,135.5171995, T 8,-0.743,0,0,0,0,0,0,0,-0.743,1.139,
58:50.9,00:00:03.730,0,1,1.109,3,0.851,278.115,2.385,34.69115867,135.5171995, T 8,-0.743,0,0,0,0,0,0,0,-0.743,1.139,
58:51.0,00:00:03.800,0,1,1.048,3,0.923,278.044,2.367,34.69115867,135.5171995, T 8,-0.743,0,0,0,0,0,0,0,-0.743,1.139,
58:51.1,00:00:03.870,0,1,0.977,3,0.99,277.998,2.354,34.69115833,135.517198, T 8,-0.985,0,0,0,0,0,0,0,-0.985,0.942,
58:51.1,00:00:03.930,0,1,0.906,3,1.053,277.953,2.342,34.69115833,135.517198, T 8,-0.985,0,0,0,0,0,0,0,-0.985,0.942,
58:51.2,00:00:04.000,0,1,0.835,3,1.111,277.907,2.33,34.69115833,135.517198, T 8,-0.985,0,0,0,0,0,0,0,-0.985,0.942,
58:51.3,00:00:04.070,0,1,0.878,3,1.168,277.841,2.317,34.691158,135.5171958, T 8,-0.21,0,0,0,0,0,0,0,-0.21,0.9,
58:51.3,00:00:04.130,0,1,0.921,3,1.228,277.775,2.305,34.691158,135.5171958, T 8,-0.21,0,0,0,0,0,0,0,-0.21,0.9,
58:51.4,00:00:04.200,0,1,0.965,3,1.291,277.709,2.293,34.691158,135.5171958, T 8,-0.21,0,0,0,0,0,0,0,-0.21,0.9,
58:51.5,00:00:04.270,0,1,1.103,4,1.36,277.612,2.305,34.69115833,135.5171927, T 8,1.361,0,0,0,0,0,0,0,1.361,1.172,
58:51.5,00:00:04.330,0,1,1.241,4,1.438,277.516,2.317,34.69115833,135.5171927, T 8,1.361,0,0,0,0,0,0,0,1.361,1.172,
58:51.6,00:00:04.400,0,1,1.379,4,1.525,277.419,2.33,34.69115833,135.5171927, T 8,1.361,0,0,0,0,0,0,0,1.361,1.172,
58:51.7,00:00:04.470,0,1,1.496,4,1.621,277.323,2.305,34.69115767,135.5171895, T 8,1.912,0,0,0,0,0,0,0,1.912,1.554,
58:51.7,00:00:04.530,0,1,1.613,4,1.725,277.226,2.28,34.69115767,135.5171895, T 8,1.912,0,0,0,0,0,0,0,1.912,1.554,
58:51.8,00:00:04.600,0,1,1.73,4,1.836,277.13,2.256,34.69115767,135.5171895, T 8,1.912,0,0,0,0,0,0,0,1.912,1.554,
58:51.9,00:00:04.670,0,1,1.656,4,1.949,277.044,2.243,34.69115733,135.5171867, T 8,0.327,0,0,0,0,0,0,0,0.327,1.62,
58:51.9,00:00:04.730,0,1,1.583,4,2.057,276.957,2.231,34.69115733,135.5171867, T 8,0.327,0,0,0,0,0,0,0,0.327,1.62,
58:52.0,00:00:04.800,0,1,1.51,4,2.16,276.871,2.219,34.69115733,135.5171867, T 8,0.327,0,0,0,0,0,0,0,0.327,1.62,
58:52.1,00:00:04.870,0,1,1.458,4,2.259,276.81,2.213,34.69115717,135.5171847, T 8,-0.94,0,0,0,0,0,0,0,-0.94,1.432,
58:52.1,00:00:04.930,0,1,1.406,4,2.354,276.749,2.206,34.69115717,135.5171847, T 8,-0.94,0,0,0,0,0,0,0,-0.94,1.432,
58:52.2,00:00:05.000,0,1,1.354,4,2.446,276.688,2.2,34.69115717,135.5171847, T 8,-0.94,0,0,0,0,0,0,0,-0.94,1.432,
58:52.3,00:00:05.070,0,1,1.34,4,2.536,276.622,2.213,34.6911575,135.5171825, T 8,-0.491,0,0,0,0,0,0,0,-0.491,1.333,
58:52.3,00:00:05.130,0,1,1.327,4,2.625,276.556,2.225,34.6911575,135.5171825, T 8,-0.491,0,0,0,0,0,0,0,-0.491,1.333,
58:52.4,00:00:05.200,0,1,1.313,4,2.713,276.49,2.237,34.6911575,135.5171825, T 8,-0.491,0,0,0,0,0,0,0,-0.491,1.333,
58:52.5,00:00:05.270,0,1,1.44,4,2.805,276.394,2.225,34.69115717,135.5171793, T 8,0.851,0,0,0,0,0,0,0,0.851,1.504,
58:52.5,00:00:05.330,0,1,1.567,4,2.905,276.297,2.213,34.69115717,135.5171793, T 8,0.851,0,0,0,0,0,0,0,0.851,1.504,
58:52.6,00:00:05.400,0,1,1.694,4,3.014,276.201,2.2,34.69115717,135.5171793, T 8,0.851,0,0,0,0,0,0,0,0.851,1.504,
58:52.7,00:00:05.470,0,1,1.716,4,3.128,276.089,2.188,34.69115683,135.5171757, T 8,1.119,0,0,0,0,0,0,0,1.119,1.728,
58:52.7,00:00:05.530,0,1,1.739,4,3.243,275.977,2.176,34.69115683,135.5171757, T 8,1.119,0,0,0,0,0,0,0,1.119,1.728,
58:52.8,00:00:05.600,0,1,1.761,4,3.359,275.865,2.163,34.69115683,135.5171757, T 8,1.119,0,0,0,0,0,0,0,1.119,1.728,
58:52.9,00:00:05.670,0,1,1.76,4,3.477,275.769,2.169,34.691157,135.5171725, T 8,0.158,0,0,0,0,0,0,0,0.158,1.759,
58:52.9,00:00:05.730,0,1,1.759,4,3.594,275.672,2.176,34.691157,135.5171725, T 8,0.158,0,0,0,0,0,0,0,0.158,1.759,
58:53.0,00:00:05.800,0,1,1.757,4,3.711,275.576,2.182,34.691157,135.5171725, T 8,0.158,0,0,0,0,0,0,0,0.158,1.759,
58:53.1,00:00:05.870,0,1,1.707,4,3.827,275.5,2.182,34.691157,135.51717, T 8,-0.385,0,0,0,0,0,0,0,-0.385,1.682,
58:53.1,00:00:05.930,0,1,1.657,4,3.939,275.423,2.182,34.691157,135.51717, T 8,-0.385,0,0,0,0,0,0,0,-0.385,1.682,
58:53.2,00:00:06.000,0,1,1.607,4,4.048,275.347,2.182,34.691157,135.51717, T 8,-0.385,0,0,0,0,0,0,0,-0.385,1.682,
58:53.3,00:00:06.070,0,1,1.621,4,4.155,275.261,2.169,34.69115667,135.5171672, T 8,-0.269,0,0,0,0,0,0,0,-0.269,1.628,
58:53.3,00:00:06.130,0,1,1.636,4,4.264,275.175,2.157,34.69115667,135.5171672, T 8,-0.269,0,0,0,0,0,0,0,-0.269,1.628,
58:53.4,00:00:06.200,0,1,1.65,4,4.373,275.088,2.145,34.69115667,135.5171672, T 8,-0.269,0,0,0,0,0,0,0,-0.269,1.628,
58:53.5,00:00:06.270,0,1,1.78,5,4.488,275.002,2.157,34.691157,135.5171643, T 8,1.083,0,0,0,0,0,0,0,1.083,1.845,
58:53.5,00:00:06.330,0,1,1.91,5,4.611,274.916,2.169,34.691157,135.5171643, T 8,1.083,0,0,0,0,0,0,0,1.083,1.845,
58:53.6,00:00:06.400,0,1,2.04,5,4.742,274.829,2.182,34.691157,135.5171643, T 8,1.083,0,0,0,0,0,0,0,1.083,1.845,
58:53.7,00:00:06.470,0,1,2.095,5,4.88,274.702,2.188,34.69115717,135.5171602, T 8,1.386,0,0,0,0,0,0,0,1.386,2.122,
58:53.7,00:00:06.530,0,1,2.15,5,5.022,274.575,2.194,34.69115717,135.5171602, T 8,1.386,0,0,0,0,0,0,0,1.386,2.122,
58:53.8,00:00:06.600,0,1,2.204,5,5.167,274.448,2.2,34.69115717,135.5171602, T 8,1.386,0,0,0,0,0,0,0,1.386,2.122,
58:53.9,00:00:06.670,0,1,2.073,5,5.309,274.337,2.194,34.691157,135.5171565, T 8,-0.577,0,0,0,0,0,0,0,-0.577,2.007,
58:53.9,00:00:06.730,0,1,1.941,5,5.443,274.225,2.188,34.691157,135.5171565, T 8,-0.577,0,0,0,0,0,0,0,-0.577,2.007,
58:54.0,00:00:06.800,0,1,1.809,5,5.568,274.113,2.182,34.691157,135.5171565, T 8,-0.577,0,0,0,0,0,0,0,-0.577,2.007,
58:54.1,00:00:06.870,0,1,1.734,4,5.686,274.037,2.176,34.69115683,135.517154, T 8,-1.55,0,0,0,0,0,0,0,-1.55,1.697,
58:54.1,00:00:06.930,0,1,1.659,4,5.799,273.961,2.169,34.69115683,135.517154, T 8,-1.55,0,0,0,0,0,0,0,-1.55,1.697,
58:54.2,00:00:07.000,0,1,1.584,4,5.908,273.884,2.163,34.69115683,135.517154, T 8,-1.55,0,0,0,0,0,0,0,-1.55,1.697,
58:54.3,00:00:07.070,0,1,1.679,5,6.016,273.803,2.176,34.69115717,135.5171513, T 8,0.144,0,0,0,0,0,0,0,0.144,1.726,
58:54.3,00:00:07.130,0,1,1.773,5,6.131,273.722,2.188,34.69115717,135.5171513, T 8,0.144,0,0,0,0,0,0,0,0.144,1.726,
58:54.4,00:00:07.200,0,1,1.867,5,6.253,273.641,2.2,34.69115717,135.5171513, T 8,0.144,0,0,0,0,0,0,0,0.144,1.726,
58:54.5,00:00:07.270,0,1,2.013,6,6.382,273.539,2.206,34.69115733,135.517148, T 8,1.804,0,0,0,0,0,0,0,1.804,2.087,
58:54.5,00:00:07.330,0,1,2.16,6,6.521,273.438,2.213,34.69115733,135.517148, T 8,1.804,0,0,0,0,0,0,0,1.804,2.087,
58:54.6,00:00:07.400,0,1,2.306,6,6.67,273.336,2.219,34.69115733,135.517148, T 8,1.804,0,0,0,0,0,0,0,1.804,2.087,
58:54.7,00:00:07.470,0,1,2.289,6,6.823,273.214,2.2,34.69115683,135.517144, T 8,0.97,0,0,0,0,0,0,0,0.97,2.281,
58:54.7,00:00:07.530,0,1,2.272,6,6.975,273.092,2.182,34.69115683,135.517144, T 8,0.97,0,0,0,0,0,0,0,0.97,2.281,
58:54.8,00:00:07.600,0,1,2.255,6,7.126,272.97,2.163,34.69115683,135.517144, T 8,0.97,0,0,0,0,0,0,0,0.97,2.281,
58:54.9,00:00:07.670,0,1,2.191,5,7.274,272.869,2.163,34.69115683,135.5171407, T 8,-0.607,0,0,0,0,0,0,0,-0.607,2.159,
58:54.9,00:00:07.730,0,1,2.127,5,7.418,272.767,2.163,34.69115683,135.5171407, T 8,-0.607,0,0,0,0,0,0,0,-0.607,2.159,
58:55.0,00:00:07.800,0,1,2.063,5,7.558,272.666,2.163,34.69115683,135.5171407, T 8,-0.607,0,0,0,0,0,0,0,-0.607,2.159,
58:55.1,00:00:07.870,0,1,2.035,5,7.695,272.574,2.163,34.69115683,135.5171377, T 8,-0.689,0,0,0,0,0,0,0,-0.689,2.021,
58:55.1,00:00:07.930,0,1,2.007,5,7.829,272.483,2.163,34.69115683,135.5171377, T 8,-0.689,0,0,0,0,0,0,0,-0.689,2.021,
58:55.2,00:00:08.000,0,1,1.979,5,7.962,272.391,2.163,34.69115683,135.5171377, T 8,-0.689,0,0,0,0,0,0,0,-0.689,2.021,
58:55.3,00:00:08.070,0,1,2.11,6,8.099,272.285,2.188,34.6911575,135.5171342, T 8,0.769,0,0,0,0,0,0,0,0.769,2.175,
58:55.3,00:00:08.130,0,1,2.24,6,8.244,272.178,2.213,34.6911575,135.5171342, T 8,0.769,0,0,0,0,0,0,0,0.769,2.175,
58:55.4,00:00:08.200,0,1,2.371,6,8.397,272.071,2.237,34.6911575,135.5171342, T 8,0.769,0,0,0,0,0,0,0,0.769,2.175,
58:55.5,00:00:08.270,0,1,2.436,6,8.557,271.924,2.225,34.69115717,135.5171293, T 8,1.465,0,0,0,0,0,0,0,1.465,2.468,
58:55.5,00:00:08.330,0,1,2.5,6,8.722,271.777,2.213,34.69115717,135.5171293, T 8,1.465,0,0,0,0,0,0,0,1.465,2.468,
58:55.6,00:00:08.400,0,1,2.565,6,8.891,271.629,2.2,34.69115717,135.5171293, T 8,1.465,0,0,0,0,0,0,0,1.465,2.468,
58:55.7,00:00:08.470,0,1,2.522,6,9.06,271.502,2.194,34.691157,135.5171252, T 8,0.163,0,0,0,0,0,0,0,0.163,2.501,
58:55.7,00:00:08.530,0,1,2.479,6,9.227,271.375,2.188,34.691157,135.5171252, T 8,0.163,0,0,0,0,0,0,0,0.163,2.501,
58:55.8,00:00:08.600,0,1,2.436,6,9.391,271.248,2.182,34.691157,135.5171252, T 8,0.163,0,0,0,0,0,0,0,0.163,2.501,
58:55.9,00:00:08.670,0,1,2.331,5,9.55,271.132,2.169,34.69115667,135.5171213, T 8,-1.111,0,0,0,0,0,0,0,-1.111,2.278,
58:55.9,00:00:08.730,0,1,2.226,5,9.702,271.015,2.157,34.69115667,135.5171213, T 8,-1.111,0,0,0,0,0,0,0,-1.111,2.278,
58:56.0,00:00:08.800,0,1,2.121,5,9.847,270.898,2.145,34.69115667,135.5171213, T 8,-1.111,0,0,0,0,0,0,0,-1.111,2.278,
58:56.1,00:00:08.870,0,1,2.185,6,9.99,270.761,2.114,34.69115583,135.5171168, T 8,-0.306,0,0,0,0,0,0,0,-0.306,2.217,
58:56.1,00:00:08.930,0,1,2.249,6,10.138,270.624,2.083,34.69115583,135.5171168, T 8,-0.306,0,0,0,0,0,0,0,-0.306,2.217,
