Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123633,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,12:58:48.400,,,,,,,,,,,,,,,,,,,,,
End,12:59:59.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
58:48.4,00:00:00.000,0,1,0.136,1,0,266.19,0.222,34.69120833,135.5171938, T 8,,0,0,0,0,0,0,0,0,0,
58:48.5,00:00:00.070,0,1,0,1,0,266.19,0.222,34.69120817,135.5171942, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.5,00:00:00.130,0,1,0,1,0,266.19,0.222,34.69120817,135.5171942, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.6,00:00:00.200,0,1,0,1,0,266.22,0.203,34.69120817,135.5171942, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.7,00:00:00.270,0,1,0,1,0,266.22,0.203,34.6912075,135.5171937, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.7,00:00:00.330,0,1,0,1,0,266.22,0.203,34.6912075,135.5171937, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.8,00:00:00.400,0,1,0,1,0,266.174,0.129,34.6912075,135.5171937, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.9,00:00:00.470,0,1,0,3,0,266.174,0.129,34.69120733,135.517192, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.9,00:00:00.530,0,1,0,3,0,266.174,0.129,34.69120733,135.517192, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.0,00:00:00.600,0,1,0,3,0,266.022,0.111,34.69120733,135.517192, T 8,0,0,0,0,0,0,0,0,0,0,
58:49.1,00:00:00.670,0,1,0.941,3,0.062,265.966,0.105,34.69120717,135.5171902, T 8,4.782,0,0,0,0,0,0,0,4.782,0.956,
58:49.1,00:00:00.730,0,1,0.972,3,0.125,265.91,0.099,34.69120717,135.5171902, T 8,4.782,0,0,0,0,0,0,0,4.782,0.956,
58:49.2,00:00:00.800,0,1,1.002,3,0.191,265.854,0.092,34.69120717,135.5171902, T 8,4.782,0,0,0,0,0,0,0,4.782,0.956,
58:49.3,00:00:00.870,0,1,0.9,2,0.255,265.814,0.105,34.6912075,135.5171888, T 8,-0.539,0,0,0,0,0,0,0,-0.539,0.849,
58:49.3,00:00:00.930,0,1,0.797,2,0.311,265.773,0.117,34.6912075,135.5171888, T 8,-0.539,0,0,0,0,0,0,0,-0.539,0.849,
58:49.4,00:00:01.000,0,1,0.695,2,0.361,265.733,0.129,34.6912075,135.5171888, T 8,-0.539,0,0,0,0,0,0,0,-0.539,0.849,
58:49.5,00:00:01.070,0,1,0.668,2,0.406,265.692,0.129,34.6912075,135.5171875, T 8,-0.97,0,0,0,0,0,0,0,-0.97,0.655,
