Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122639,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,12:58:48.400,,,,,,,,,,,,,,,,,,,,,
End,13:00:01.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
58:48.4,00:00:00.000,0,1,0.031,1,0,284.123,0,34.69125883,135.5172792, T 7,,0,0,0,0,0,0,0,0,0,
58:48.5,00:00:00.070,0,1,0,1,0,284.123,0,34.69125883,135.5172788, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.5,00:00:00.130,0,1,0,1,0,284.123,0,34.69125883,135.5172788, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.6,00:00:00.200,0,1,0,1,0,284.093,0,34.69125883,135.5172788, T 8,0,0,0,0,0,0,0,0,0,0,
58:48.7,00:00:00.270,0,1,0,2,0,284.093,0,34.691259,135.5172773, T 7,0,0,0,0,0,0,0,0,0,0,
58:48.7,00:00:00.330,0,1,0,2,0,284.093,0,34.691259,135.5172773, T 7,0,0,0,0,0,0,0,0,0,0,
58:48.8,00:00:00.400,0,1,0,2,0,283.956,0.018,34.691259,135.5172773, T 7,0,0,0,0,0,0,0,0,0,0,
58:48.9,00:00:00.470,0,1,0.768,3,0.048,283.9,0.031,34.69125933,135.5172755, T 6,4.056,0,0,0,0,0,0,0,4.056,0.811,
58:48.9,00:00:00.530,0,1,0.854,3,0.102,283.844,0.043,34.69125933,135.5172755, T 6,4.056,0,0,0,0,0,0,0,4.056,0.811,
58:49.0,00:00:00.600,0,1,0.94,3,0.162,283.788,0.055,34.69125933,135.5172755, T 6,4.056,0,0,0,0,0,0,0,4.056,0.811,
58:49.1,00:00:00.670,0,1,0.861,2,0.222,283.732,0.062,34.6912595,135.5172737, T 7,0.051,0,0,0,0,0,0,0,0.051,0.822,
58:49.1,00:00:00.730,0,1,0.782,2,0.277,283.676,0.068,34.6912595,135.5172737, T 7,0.051,0,0,0,0,0,0,0,0.051,0.822,
58:49.2,00:00:00.800,0,1,0.703,2,0.327,283.621,0.074,34.6912595,135.5172737, T 7,0.051,0,0,0,0,0,0,0,0.051,0.822,
