Player,: SPI-ProX2  4,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123358,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:09:52.000,,,,,,,,,,,,,,,,,,,,,
End,13:11:16.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:52.0,00:00:00.000,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,,0,0,0,0,0,0,0,0,0,
09:52.1,00:00:00.070,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.1,00:00:00.130,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.2,00:00:00.200,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.3,00:00:00.270,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.3,00:00:00.330,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.4,00:00:00.400,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.5,00:00:00.470,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.5,00:00:00.530,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.6,00:00:00.600,0,1,0,1,0,282.935,0,34.691169,135.51728, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:00.670,0,1,0,1,0,282.935,0,34.69116967,135.5172778, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:00.730,0,1,0,1,0,282.935,0,34.69116967,135.5172778, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.8,00:00:00.800,0,1,0,1,0,282.737,0.074,34.69116967,135.5172778, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.9,00:00:00.870,0,1,0,1,0,282.737,0.074,34.69117017,135.5172753, T 8,0,0,0,0,0,0,0,0,0,0,
09:52.9,00:00:00.930,0,1,0,1,0,282.737,0.074,34.69117017,135.5172753, T 8,0,0,0,0,0,0,0,0,0,0,
09:53.0,00:00:01.000,0,1,0,1,0,282.509,0.129,34.69117017,135.5172753, T 8,0,0,0,0,0,0,0,0,0,0,
09:53.1,00:00:01.070,0,1,0,1,0,282.509,0.129,34.69117067,135.5172743, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.1,00:00:01.130,0,1,0,1,0,282.509,0.129,34.69117067,135.5172743, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.2,00:00:01.200,0,1,0,1,0,282.417,0.185,34.69117067,135.5172743, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.3,00:00:01.270,0,1,0,1,0,282.417,0.185,34.69117217,135.5172737, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.3,00:00:01.330,0,1,0,1,0,282.417,0.185,34.69117217,135.5172737, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.4,00:00:01.400,0,1,0,1,0,282.356,0.351,34.69117217,135.5172737, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.5,00:00:01.470,0,1,0,2,0,282.356,0.351,34.691173,135.5172715, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.5,00:00:01.530,0,1,0,2,0,282.356,0.351,34.691173,135.5172715, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.6,00:00:01.600,0,1,0,2,0,282.158,0.444,34.691173,135.5172715, T 7,0,0,0,0,0,0,0,0,0,0,
09:53.7,00:00:01.670,0,1,0,2,0,282.158,0.444,34.6911735,135.5172697, T 8,0,0,0,0,0,0,0,0,0,0,
09:53.7,00:00:01.730,0,1,0,2,0,282.158,0.444,34.6911735,135.5172697, T 8,0,0,0,0,0,0,0,0,0,0,
09:53.8,00:00:01.800,0,1,0,2,0,281.99,0.499,34.6911735,135.5172697, T 8,0,0,0,0,0,0,0,0,0,0,
09:53.9,00:00:01.870,0,1,0.725,2,0.048,281.93,0.524,34.69117417,135.5172677, T 8,3.651,0,0,0,0,0,0,0,3.651,0.73,
09:53.9,00:00:01.930,0,1,0.735,2,0.097,281.869,0.549,34.69117417,135.5172677, T 8,3.651,0,0,0,0,0,0,0,3.651,0.73,
09:54.0,00:00:02.000,0,1,0.745,2,0.146,281.808,0.573,34.69117417,135.5172677, T 8,3.651,0,0,0,0,0,0,0,3.651,0.73,
09:54.1,00:00:02.070,0,1,0.755,3,0.196,281.747,0.579,34.69117433,135.5172657, T 9,0.15,0,0,0,0,0,0,0,0.15,0.76,
09:54.1,00:00:02.130,0,1,0.765,3,0.247,281.686,0.585,34.69117433,135.5172657, T 9,0.15,0,0,0,0,0,0,0,0.15,0.76,
09:54.2,00:00:02.200,0,1,0.776,3,0.298,281.625,0.592,34.69117433,135.5172657, T 9,0.15,0,0,0,0,0,0,0,0.15,0.76,
09:54.3,00:00:02.270,0,1,0.818,3,0.351,281.544,0.635,34.6911755,135.517263, T 8,0.391,0,0,0,0,0,0,0,0.391,0.839,
09:54.3,00:00:02.330,0,1,0.859,3,0.407,281.462,0.678,34.6911755,135.517263, T 8,0.391,0,0,0,0,0,0,0,0.391,0.839,
09:54.4,00:00:02.400,0,1,0.901,3,0.466,281.381,0.721,34.6911755,135.517263, T 8,0.391,0,0,0,0,0,0,0,0.391,0.839,
09:54.5,00:00:02.470,0,1,0.995,3,0.529,281.259,0.764,34.69117667,135.517259, T 9,1.02,0,0,0,0,0,0,0,1.02,1.043,
09:54.5,00:00:02.530,0,1,1.09,3,0.599,281.137,0.807,34.69117667,135.517259, T 9,1.02,0,0,0,0,0,0,0,1.02,1.043,
09:54.6,00:00:02.600,0,1,1.184,3,0.674,281.015,0.851,34.69117667,135.517259, T 9,1.02,0,0,0,0,0,0,0,1.02,1.043,
09:54.7,00:00:02.670,0,1,1.161,3,0.752,280.944,0.863,34.691177,135.5172567, T 9,0.536,0,0,0,0,0,0,0,0.536,1.15,
09:54.7,00:00:02.730,0,1,1.138,3,0.829,280.873,0.875,34.691177,135.5172567, T 9,0.536,0,0,0,0,0,0,0,0.536,1.15,
09:54.8,00:00:02.800,0,1,1.116,3,0.904,280.802,0.887,34.691177,135.5172567, T 9,0.536,0,0,0,0,0,0,0,0.536,1.15,
09:54.9,00:00:02.870,0,1,1.123,3,0.979,280.716,0.9,34.69117733,135.5172538, T 9,-0.113,0,0,0,0,0,0,0,-0.113,1.127,
09:54.9,00:00:02.930,0,1,1.131,3,1.054,280.629,0.912,34.69117733,135.5172538, T 9,-0.113,0,0,0,0,0,0,0,-0.113,1.127,
09:55.0,00:00:03.000,0,1,1.138,3,1.13,280.543,0.924,34.69117733,135.5172538, T 9,-0.113,0,0,0,0,0,0,0,-0.113,1.127,
09:55.1,00:00:03.070,0,1,1.148,3,1.206,280.446,0.931,34.6911775,135.5172507, T 9,0.129,0,0,0,0,0,0,0,0.129,1.153,
09:55.1,00:00:03.130,0,1,1.158,3,1.283,280.35,0.937,34.6911775,135.5172507, T 9,0.129,0,0,0,0,0,0,0,0.129,1.153,
09:55.2,00:00:03.200,0,1,1.167,3,1.36,280.253,0.943,34.6911775,135.5172507, T 9,0.129,0,0,0,0,0,0,0,0.129,1.153,
09:55.3,00:00:03.270,0,1,1.202,4,1.439,280.137,0.955,34.69117783,135.5172468, T 9,0.334,0,0,0,0,0,0,0,0.334,1.22,
09:55.3,00:00:03.330,0,1,1.237,4,1.521,280.02,0.968,34.69117783,135.5172468, T 9,0.334,0,0,0,0,0,0,0,0.334,1.22,
09:55.4,00:00:03.400,0,1,1.272,4,1.604,279.903,0.98,34.69117783,135.5172468, T 9,0.334,0,0,0,0,0,0,0,0.334,1.22,
09:55.5,00:00:03.470,0,1,1.277,4,1.689,279.822,0.98,34.69117783,135.5172442, T 9,0.297,0,0,0,0,0,0,0,0.297,1.279,
09:55.5,00:00:03.530,0,1,1.281,4,1.774,279.74,0.98,34.69117783,135.5172442, T 9,0.297,0,0,0,0,0,0,0,0.297,1.279,
09:55.6,00:00:03.600,0,1,1.286,4,1.86,279.659,0.98,34.69117783,135.5172442, T 9,0.297,0,0,0,0,0,0,0,0.297,1.279,
09:55.7,00:00:03.670,0,1,1.283,4,1.946,279.583,0.98,34.69117783,135.5172417, T 9,0.013,0,0,0,0,0,0,0,0.013,1.282,
09:55.7,00:00:03.730,0,1,1.28,4,2.031,279.507,0.98,34.69117783,135.5172417, T 9,0.013,0,0,0,0,0,0,0,0.013,1.282,
09:55.8,00:00:03.800,0,1,1.277,4,2.116,279.431,0.98,34.69117783,135.5172417, T 9,0.013,0,0,0,0,0,0,0,0.013,1.282,
09:55.9,00:00:03.870,0,1,1.304,4,2.202,279.324,0.98,34.69117783,135.5172382, T 8,0.176,0,0,0,0,0,0,0,0.176,1.317,
09:55.9,00:00:03.930,0,1,1.33,4,2.29,279.217,0.98,34.69117783,135.5172382, T 8,0.176,0,0,0,0,0,0,0,0.176,1.317,
09:56.0,00:00:04.000,0,1,1.357,4,2.38,279.111,0.98,34.69117783,135.5172382, T 8,0.176,0,0,0,0,0,0,0,0.176,1.317,
09:56.1,00:00:04.070,0,1,1.422,4,2.472,278.968,0.949,34.691177,135.5172335, T 8,0.692,0,0,0,0,0,0,0,0.692,1.455,
09:56.1,00:00:04.130,0,1,1.488,4,2.569,278.826,0.918,34.691177,135.5172335, T 8,0.692,0,0,0,0,0,0,0,0.692,1.455,
09:56.2,00:00:04.200,0,1,1.554,4,2.671,278.684,0.887,34.691177,135.5172335, T 8,0.692,0,0,0,0,0,0,0,0.692,1.455,
09:56.3,00:00:04.270,0,1,1.555,4,2.775,278.572,0.937,34.69117833,135.5172298, T 8,0.499,0,0,0,0,0,0,0,0.499,1.555,
