Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:09:52.400,,,,,,,,,,,,,,,,,,,,,
End,13:11:04.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:52.4,00:00:00.000,0,1,0.101,1,0,292.154,0.351,34.69113717,135.5171822, T 7,,0,0,0,0,0,0,0,0,0,
09:52.5,00:00:00.070,0,1,0,2,0,292.154,0.351,34.691136,135.5171802, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.5,00:00:00.130,0,1,0,2,0,292.154,0.351,34.691136,135.5171802, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.6,00:00:00.200,0,1,0,2,0,291.971,0.222,34.691136,135.5171802, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:00.270,0,1,0,2,0,291.971,0.222,34.69113533,135.5171775, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:00.330,0,1,0,2,0,291.971,0.222,34.69113533,135.5171775, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.8,00:00:00.400,0,1,0,2,0,291.727,0.148,34.69113533,135.5171775, T 7,0,0,0,0,0,0,0,0,0,0,
09:52.9,00:00:00.470,0,1,0.729,2,0.049,291.676,0.136,34.691135,135.5171758, T 7,3.629,0,0,0,0,0,0,0,3.629,0.726,
09:52.9,00:00:00.530,0,1,0.722,2,0.097,291.625,0.123,34.691135,135.5171758, T 7,3.629,0,0,0,0,0,0,0,3.629,0.726,
09:53.0,00:00:00.600,0,1,0.715,2,0.145,291.575,0.111,34.691135,135.5171758, T 7,3.629,0,0,0,0,0,0,0,3.629,0.726,
09:53.1,00:00:00.670,0,1,0.686,2,0.192,291.539,0.123,34.69113533,135.5171747, T 7,-0.269,0,0,0,0,0,0,0,-0.269,0.672,
09:53.1,00:00:00.730,0,1,0.658,2,0.237,291.504,0.136,34.69113533,135.5171747, T 7,-0.269,0,0,0,0,0,0,0,-0.269,0.672,
09:53.2,00:00:00.800,0,1,0.629,2,0.28,291.468,0.148,34.69113533,135.5171747, T 7,-0.269,0,0,0,0,0,0,0,-0.269,0.672,
09:53.3,00:00:00.870,0,1,0.753,3,0.326,291.361,0.16,34.69113567,135.5171712, T 7,0.718,0,0,0,0,0,0,0,0.718,0.816,
09:53.3,00:00:00.930,0,1,0.878,3,0.38,291.255,0.173,34.69113567,135.5171712, T 7,0.718,0,0,0,0,0,0,0,0.718,0.816,
09:53.4,00:00:01.000,0,1,1.002,3,0.443,291.148,0.185,34.69113567,135.5171712, T 7,0.718,0,0,0,0,0,0,0,0.718,0.816,
09:53.5,00:00:01.070,0,1,1.07,3,0.512,291.031,0.203,34.69113617,135.5171673, T 7,1.438,0,0,0,0,0,0,0,1.438,1.103,
09:53.5,00:00:01.130,0,1,1.137,3,0.585,290.914,0.222,34.69113617,135.5171673, T 7,1.438,0,0,0,0,0,0,0,1.438,1.103,
09:53.6,00:00:01.200,0,1,1.204,3,0.663,290.798,0.24,34.69113617,135.5171673, T 7,1.438,0,0,0,0,0,0,0,1.438,1.103,
09:53.7,00:00:01.270,0,1,1.174,3,0.743,290.706,0.265,34.69113683,135.5171643, T 7,0.275,0,0,0,0,0,0,0,0.275,1.158,
09:53.7,00:00:01.330,0,1,1.143,3,0.82,290.615,0.29,34.69113683,135.5171643, T 7,0.275,0,0,0,0,0,0,0,0.275,1.158,
09:53.8,00:00:01.400,0,1,1.112,3,0.895,290.523,0.314,34.69113683,135.5171643, T 7,0.275,0,0,0,0,0,0,0,0.275,1.158,
09:53.9,00:00:01.470,0,1,1.19,4,0.972,290.396,0.314,34.69113683,135.5171602, T 7,0.352,0,0,0,0,0,0,0,0.352,1.229,
09:53.9,00:00:01.530,0,1,1.268,4,1.054,290.269,0.314,34.69113683,135.5171602, T 7,0.352,0,0,0,0,0,0,0,0.352,1.229,
09:54.0,00:00:01.600,0,1,1.345,4,1.141,290.142,0.314,34.69113683,135.5171602, T 7,0.352,0,0,0,0,0,0,0,0.352,1.229,
09:54.1,00:00:01.670,0,1,1.507,5,1.236,289.985,0.339,34.6911375,135.517155, T 7,1.793,0,0,0,0,0,0,0,1.793,1.587,
09:54.1,00:00:01.730,0,1,1.668,5,1.342,289.828,0.364,34.6911375,135.517155, T 7,1.793,0,0,0,0,0,0,0,1.793,1.587,
09:54.2,00:00:01.800,0,1,1.829,5,1.458,289.67,0.388,34.6911375,135.517155, T 7,1.793,0,0,0,0,0,0,0,1.793,1.587,
09:54.3,00:00:01.870,0,1,1.887,5,1.582,289.528,0.376,34.69113717,135.5171503, T 7,1.64,0,0,0,0,0,0,0,1.64,1.915,
09:54.3,00:00:01.930,0,1,1.944,5,1.71,289.386,0.364,34.69113717,135.5171503, T 7,1.64,0,0,0,0,0,0,0,1.64,1.915,
09:54.4,00:00:02.000,0,1,2.001,5,1.841,289.243,0.351,34.69113717,135.5171503, T 7,1.64,0,0,0,0,0,0,0,1.64,1.915,
09:54.5,00:00:02.070,0,1,1.925,4,1.972,289.157,0.339,34.69113683,135.5171475, T 7,-0.14,0,0,0,0,0,0,0,-0.14,1.887,
09:54.5,00:00:02.130,0,1,1.849,4,2.098,289.071,0.327,34.69113683,135.5171475, T 7,-0.14,0,0,0,0,0,0,0,-0.14,1.887,
09:54.6,00:00:02.200,0,1,1.773,4,2.219,288.984,0.314,34.69113683,135.5171475, T 7,-0.14,0,0,0,0,0,0,0,-0.14,1.887,
09:54.7,00:00:02.270,0,1,1.741,4,2.336,288.878,0.284,34.691136,135.517144, T 7,-0.815,0,0,0,0,0,0,0,-0.815,1.724,
09:54.7,00:00:02.330,0,1,1.708,4,2.451,288.771,0.253,34.691136,135.517144, T 7,-0.815,0,0,0,0,0,0,0,-0.815,1.724,
09:54.8,00:00:02.400,0,1,1.675,4,2.564,288.664,0.222,34.691136,135.517144, T 7,-0.815,0,0,0,0,0,0,0,-0.815,1.724,
09:54.9,00:00:02.470,0,1,1.701,4,2.676,288.527,0.166,34.6911345,135.5171395, T 7,-0.048,0,0,0,0,0,0,0,-0.048,1.715,
09:54.9,00:00:02.530,0,1,1.728,4,2.79,288.39,0.111,34.6911345,135.5171395, T 7,-0.048,0,0,0,0,0,0,0,-0.048,1.715,
09:55.0,00:00:02.600,0,1,1.754,4,2.907,288.253,0.055,34.6911345,135.5171395, T 7,-0.048,0,0,0,0,0,0,0,-0.048,1.715,
09:55.1,00:00:02.670,0,1,1.72,4,3.022,288.141,0.037,34.691134,135.5171358, T 7,-0.058,0,0,0,0,0,0,0,-0.058,1.703,
09:55.1,00:00:02.730,0,1,1.686,4,3.136,288.03,0.018,34.691134,135.5171358, T 7,-0.058,0,0,0,0,0,0,0,-0.058,1.703,
09:55.2,00:00:02.800,0,1,1.652,4,3.247,287.918,0,34.691134,135.5171358, T 7,-0.058,0,0,0,0,0,0,0,-0.058,1.703,
09:55.3,00:00:02.870,0,1,1.79,5,3.362,287.75,0.012,34.69113433,135.5171303, T 7,0.781,0,0,0,0,0,0,0,0.781,1.859,
09:55.3,00:00:02.930,0,1,1.928,5,3.486,287.583,0.025,34.69113433,135.5171303, T 7,0.781,0,0,0,0,0,0,0,0.781,1.859,
09:55.4,00:00:03.000,0,1,2.067,5,3.619,287.415,0.037,34.69113433,135.5171303, T 7,0.781,0,0,0,0,0,0,0,0.781,1.859,
09:55.5,00:00:03.070,0,1,2.081,5,3.757,287.293,0.025,34.691134,135.5171263, T 7,1.146,0,0,0,0,0,0,0,1.146,2.088,
09:55.5,00:00:03.130,0,1,2.096,5,3.896,287.171,0.012,34.691134,135.5171263, T 7,1.146,0,0,0,0,0,0,0,1.146,2.088,
09:55.6,00:00:03.200,0,1,2.11,5,4.037,287.049,0,34.691134,135.5171263, T 7,1.146,0,0,0,0,0,0,0,1.146,2.088,
09:55.7,00:00:03.270,0,1,2.121,5,4.178,286.927,0.025,34.69113467,135.5171223, T 7,0.186,0,0,0,0,0,0,0,0.186,2.126,
09:55.7,00:00:03.330,0,1,2.131,5,4.319,286.806,0.049,34.69113467,135.5171223, T 7,0.186,0,0,0,0,0,0,0,0.186,2.126,
09:55.8,00:00:03.400,0,1,2.141,5,4.462,286.684,0.074,34.69113467,135.5171223, T 7,0.186,0,0,0,0,0,0,0,0.186,2.126,
09:55.9,00:00:03.470,0,1,2.244,6,4.608,286.531,0.08,34.69113483,135.5171173, T 7,0.85,0,0,0,0,0,0,0,0.85,2.296,
09:55.9,00:00:03.530,0,1,2.347,6,4.761,286.379,0.086,34.69113483,135.5171173, T 7,0.85,0,0,0,0,0,0,0,0.85,2.296,
09:56.0,00:00:03.600,0,1,2.45,6,4.921,286.227,0.092,34.69113483,135.5171173, T 7,0.85,0,0,0,0,0,0,0,0.85,2.296,
09:56.1,00:00:03.670,0,1,2.471,6,5.085,286.074,0.068,34.69113417,135.5171123, T 7,0.93,0,0,0,0,0,0,0,0.93,2.482,
09:56.1,00:00:03.730,0,1,2.492,6,5.25,285.922,0.043,34.69113417,135.5171123, T 7,0.93,0,0,0,0,0,0,0,0.93,2.482,
09:56.2,00:00:03.800,0,1,2.513,6,5.417,285.769,0.018,34.69113417,135.5171123, T 7,0.93,0,0,0,0,0,0,0,0.93,2.482,
09:56.3,00:00:03.870,0,1,2.529,6,5.585,285.642,0.018,34.69113417,135.5171082, T 7,0.279,0,0,0,0,0,0,0,0.279,2.537,
