Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122709,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:09:50.600,,,,,,,,,,,,,,,,,,,,,
End,13:11:11.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:52.6,00:00:02.000,0,1,0,2,0,294.53,3.014,34.69134183,135.5172985, T 9,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:02.070,0,1,0,3,0,294.53,3.014,34.69134283,135.5172958, T 9,0,0,0,0,0,0,0,0,0,0,
09:52.7,00:00:02.130,0,1,0,3,0,294.53,3.014,34.69134283,135.5172958, T 9,0,0,0,0,0,0,0,0,0,0,
09:52.8,00:00:02.200,0,1,0,3,0,294.286,3.125,34.69134283,135.5172958, T 9,0,0,0,0,0,0,0,0,0,0,
09:52.9,00:00:02.270,0,1,0.807,3,0.054,294.21,3.112,34.6913425,135.5172933, T 9,4.047,0,0,0,0,0,0,0,4.047,0.809,
09:52.9,00:00:02.330,0,1,0.812,3,0.108,294.134,3.1,34.6913425,135.5172933, T 9,4.047,0,0,0,0,0,0,0,4.047,0.809,
09:53.0,00:00:02.400,0,1,0.816,3,0.162,294.058,3.088,34.6913425,135.5172933, T 9,4.047,0,0,0,0,0,0,0,4.047,0.809,
09:53.1,00:00:02.470,0,1,0.763,2,0.215,293.997,3.051,34.6913415,135.5172913, T 9,-0.364,0,0,0,0,0,0,0,-0.364,0.737,
09:53.1,00:00:02.530,0,1,0.71,2,0.264,293.936,3.014,34.6913415,135.5172913, T 9,-0.364,0,0,0,0,0,0,0,-0.364,0.737,
09:53.2,00:00:02.600,0,1,0.657,2,0.309,293.875,2.977,34.6913415,135.5172913, T 9,-0.364,0,0,0,0,0,0,0,-0.364,0.737,
