Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123329,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:21:11.000,,,,,,,,,,,,,,,,,,,,,
End,13:22:33.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
21:11.0,00:00:00.000,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.070,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.130,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.2,00:00:00.200,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.3,00:00:00.270,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.3,00:00:00.330,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.4,00:00:00.400,0,1,0,1,0,297.685,0,34.69106683,135.5173762, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.5,00:00:00.470,0,1,0,1,0,297.685,0,34.691067,135.517374, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.5,00:00:00.530,0,1,0,1,0,297.685,0,34.691067,135.517374, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.6,00:00:00.600,0,1,0,1,0,297.487,0.018,34.691067,135.517374, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.7,00:00:00.670,0,1,0,1,0,297.487,0.018,34.69106683,135.5173715, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.7,00:00:00.730,0,1,0,1,0,297.487,0.018,34.69106683,135.5173715, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.8,00:00:00.800,0,1,0,1,0,297.258,0,34.69106683,135.5173715, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.9,00:00:00.870,0,1,0,1,0,297.258,0,34.691067,135.5173692, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.9,00:00:00.930,0,1,0,1,0,297.258,0,34.691067,135.5173692, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.0,00:00:01.000,0,1,0,1,0,297.045,0.018,34.691067,135.5173692, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.1,00:00:01.070,0,1,0,1,0,297.045,0.018,34.69106717,135.5173673, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.1,00:00:01.130,0,1,0,1,0,297.045,0.018,34.69106717,135.5173673, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.2,00:00:01.200,0,1,0,1,0,296.877,0.037,34.69106717,135.5173673, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.3,00:00:01.270,0,1,0,2,0,296.877,0.037,34.69106867,135.5173632, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.3,00:00:01.330,0,1,0,2,0,296.877,0.037,34.69106867,135.5173632, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.4,00:00:01.400,0,1,0,2,0,296.496,0.203,34.69106867,135.5173632, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.5,00:00:01.470,0,1,0,2,0,296.496,0.203,34.69106933,135.5173593, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.5,00:00:01.530,0,1,0,2,0,296.496,0.203,34.69106933,135.5173593, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.6,00:00:01.600,0,1,0,2,0,296.146,0.277,34.69106933,135.5173593, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.7,00:00:01.670,0,1,0,2,0,296.146,0.277,34.69106883,135.517355, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.7,00:00:01.730,0,1,0,2,0,296.146,0.277,34.69106883,135.517355, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.8,00:00:01.800,0,1,0,2,0,295.75,0.222,34.69106883,135.517355, T 9,0,0,0,0,0,0,0,0,0,0,
21:12.9,00:00:01.870,0,1,0.649,2,0.044,295.633,0.216,34.69106867,135.5173512, T 9,3.224,0,0,0,0,0,0,0,3.224,0.645,
21:12.9,00:00:01.930,0,1,0.641,2,0.087,295.516,0.21,34.69106867,135.5173512, T 9,3.224,0,0,0,0,0,0,0,3.224,0.645,
21:13.0,00:00:02.000,0,1,0.632,2,0.129,295.399,0.203,34.69106867,135.5173512, T 9,3.224,0,0,0,0,0,0,0,3.224,0.645,
21:13.1,00:00:02.070,0,1,0.645,2,0.172,295.323,0.21,34.69106883,135.5173487, T 8,0.035,0,0,0,0,0,0,0,0.035,0.652,
21:13.1,00:00:02.130,0,1,0.658,2,0.215,295.247,0.216,34.69106883,135.5173487, T 8,0.035,0,0,0,0,0,0,0,0.035,0.652,
21:13.2,00:00:02.200,0,1,0.671,2,0.259,295.171,0.222,34.69106883,135.5173487, T 8,0.035,0,0,0,0,0,0,0,0.035,0.652,
