Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123633,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:21:11.000,,,,,,,,,,,,,,,,,,,,,
End,13:22:22.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
21:11.0,00:00:00.000,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.070,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.130,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.2,00:00:00.200,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.3,00:00:00.270,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.3,00:00:00.330,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.4,00:00:00.400,0,1,0,1,0,298.416,0,34.69119767,135.5172895, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.5,00:00:00.470,0,1,0,2,0,298.416,0,34.69119883,135.517289, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.5,00:00:00.530,0,1,0,2,0,298.416,0,34.69119883,135.517289, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.6,00:00:00.600,0,1,0,2,0,298.37,0.129,34.69119883,135.517289, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.7,00:00:00.670,0,1,0,2,0,298.37,0.129,34.69119983,135.5172882, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.7,00:00:00.730,0,1,0,2,0,298.37,0.129,34.69119983,135.5172882, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.8,00:00:00.800,0,1,0,2,0,298.294,0.24,34.69119983,135.5172882, T 7,0,0,0,0,0,0,0,0,0,0,
21:11.9,00:00:00.870,0,1,0,2,0,298.294,0.24,34.69120083,135.5172875, T 8,0,0,0,0,0,0,0,0,0,0,
21:11.9,00:00:00.930,0,1,0,2,0,298.294,0.24,34.69120083,135.5172875, T 8,0,0,0,0,0,0,0,0,0,0,
21:12.0,00:00:01.000,0,1,0,2,0,298.233,0.351,34.69120083,135.5172875, T 8,0,0,0,0,0,0,0,0,0,0,
21:12.1,00:00:01.070,0,1,0,2,0,298.233,0.351,34.69120217,135.5172865, T 8,0,0,0,0,0,0,0,0,0,0,
21:12.1,00:00:01.130,0,1,0,2,0,298.233,0.351,34.69120217,135.5172865, T 8,0,0,0,0,0,0,0,0,0,0,
21:12.2,00:00:01.200,0,1,0,2,0,298.142,0.499,34.69120217,135.5172865, T 8,0,0,0,0,0,0,0,0,0,0,
21:12.3,00:00:01.270,0,1,0.697,3,0.042,298.05,0.555,34.69120367,135.5172835, T 8,3.802,0,0,0,0,0,0,0,3.802,0.76,
21:12.3,00:00:01.330,0,1,0.824,3,0.093,297.959,0.61,34.69120367,135.5172835, T 8,3.802,0,0,0,0,0,0,0,3.802,0.76,
21:12.4,00:00:01.400,0,1,0.951,3,0.152,297.867,0.666,34.69120367,135.5172835, T 8,3.802,0,0,0,0,0,0,0,3.802,0.76,
21:12.5,00:00:01.470,0,1,0.981,3,0.216,297.796,0.709,34.69120483,135.5172812, T 8,1.177,0,0,0,0,0,0,0,1.177,0.996,
21:12.5,00:00:01.530,0,1,1.011,3,0.283,297.725,0.752,34.69120483,135.5172812, T 8,1.177,0,0,0,0,0,0,0,1.177,0.996,
21:12.6,00:00:01.600,0,1,1.041,3,0.351,297.654,0.795,34.69120483,135.5172812, T 8,1.177,0,0,0,0,0,0,0,1.177,0.996,
21:12.7,00:00:01.670,0,1,1.058,3,0.421,297.583,0.832,34.69120583,135.5172788, T 8,0.356,0,0,0,0,0,0,0,0.356,1.067,
21:12.7,00:00:01.730,0,1,1.076,3,0.492,297.512,0.869,34.69120583,135.5172788, T 8,0.356,0,0,0,0,0,0,0,0.356,1.067,
21:12.8,00:00:01.800,0,1,1.093,3,0.565,297.441,0.906,34.69120583,135.5172788, T 8,0.356,0,0,0,0,0,0,0,0.356,1.067,
21:12.9,00:00:01.870,0,1,1.134,3,0.639,297.344,0.931,34.6912065,135.5172757, T 8,0.437,0,0,0,0,0,0,0,0.437,1.154,
21:12.9,00:00:01.930,0,1,1.175,3,0.716,297.248,0.955,34.6912065,135.5172757, T 8,0.437,0,0,0,0,0,0,0,0.437,1.154,
21:13.0,00:00:02.000,0,1,1.216,3,0.795,297.151,0.98,34.6912065,135.5172757, T 8,0.437,0,0,0,0,0,0,0,0.437,1.154,
21:13.1,00:00:02.070,0,1,1.256,4,0.878,297.039,1.017,34.6912075,135.517272, T 8,0.611,0,0,0,0,0,0,0,0.611,1.277,
21:13.1,00:00:02.130,0,1,1.297,4,0.963,296.928,1.054,34.6912075,135.517272, T 8,0.611,0,0,0,0,0,0,0,0.611,1.277,
21:13.2,00:00:02.200,0,1,1.338,4,1.051,296.816,1.091,34.6912075,135.517272, T 8,0.611,0,0,0,0,0,0,0,0.611,1.277,
21:13.3,00:00:02.270,0,1,1.397,4,1.142,296.684,1.14,34.69120883,135.5172677, T 8,0.75,0,0,0,0,0,0,0,0.75,1.427,
21:13.3,00:00:02.330,0,1,1.456,4,1.237,296.552,1.189,34.69120883,135.5172677, T 8,0.75,0,0,0,0,0,0,0,0.75,1.427,
21:13.4,00:00:02.400,0,1,1.516,4,1.336,296.42,1.239,34.69120883,135.5172677, T 8,0.75,0,0,0,0,0,0,0,0.75,1.427,
21:13.5,00:00:02.470,0,1,1.574,4,1.439,296.267,1.263,34.6912095,135.5172627, T 8,0.88,0,0,0,0,0,0,0,0.88,1.602,
21:13.5,00:00:02.530,0,1,1.631,4,1.546,296.115,1.288,34.6912095,135.5172627, T 8,0.88,0,0,0,0,0,0,0,0.88,1.602,
21:13.6,00:00:02.600,0,1,1.689,4,1.657,295.963,1.313,34.6912095,135.5172627, T 8,0.88,0,0,0,0,0,0,0,0.88,1.602,
21:13.7,00:00:02.670,0,1,1.732,5,1.771,295.815,1.35,34.6912105,135.5172578, T 8,0.758,0,0,0,0,0,0,0,0.758,1.754,
21:13.7,00:00:02.730,0,1,1.776,5,1.888,295.668,1.387,34.6912105,135.5172578, T 8,0.758,0,0,0,0,0,0,0,0.758,1.754,
21:13.8,00:00:02.800,0,1,1.819,5,2.007,295.521,1.424,34.6912105,135.5172578, T 8,0.758,0,0,0,0,0,0,0,0.758,1.754,
21:13.9,00:00:02.870,0,1,1.843,5,2.129,295.373,1.43,34.69121067,135.517253, T 8,0.505,0,0,0,0,0,0,0,0.505,1.855,
21:13.9,00:00:02.930,0,1,1.867,5,2.253,295.226,1.436,34.69121067,135.517253, T 8,0.505,0,0,0,0,0,0,0,0.505,1.855,
21:14.0,00:00:03.000,0,1,1.892,5,2.378,295.079,1.442,34.69121067,135.517253, T 8,0.505,0,0,0,0,0,0,0,0.505,1.855,
21:14.1,00:00:03.070,0,1,1.988,5,2.508,294.871,1.498,34.69121217,135.5172462, T 8,0.908,0,0,0,0,0,0,0,0.908,2.037,
21:14.1,00:00:03.130,0,1,2.085,5,2.644,294.662,1.553,34.69121217,135.5172462, T 8,0.908,0,0,0,0,0,0,0,0.908,2.037,
21:14.2,00:00:03.200,0,1,2.182,5,2.786,294.454,1.609,34.69121217,135.5172462, T 8,0.908,0,0,0,0,0,0,0,0.908,2.037,
21:14.3,00:00:03.270,0,1,2.23,6,2.933,294.271,1.535,34.69121017,135.5172402, T 8,1.084,0,0,0,0,0,0,0,1.084,2.254,
21:14.3,00:00:03.330,0,1,2.277,6,3.083,294.089,1.461,34.69121017,135.5172402, T 8,1.084,0,0,0,0,0,0,0,1.084,2.254,
21:14.4,00:00:03.400,0,1,2.325,6,3.236,293.906,1.387,34.69121017,135.5172402, T 8,1.084,0,0,0,0,0,0,0,1.084,2.254,
21:14.5,00:00:03.470,0,1,2.379,6,3.393,293.708,1.35,34.69120917,135.5172337, T 8,0.763,0,0,0,0,0,0,0,0.763,2.406,
21:14.5,00:00:03.530,0,1,2.433,6,3.554,293.51,1.313,34.69120917,135.5172337, T 8,0.763,0,0,0,0,0,0,0,0.763,2.406,
21:14.6,00:00:03.600,0,1,2.487,6,3.718,293.311,1.276,34.69120917,135.5172337, T 8,0.763,0,0,0,0,0,0,0,0.763,2.406,
21:14.7,00:00:03.670,0,1,2.49,6,3.884,293.139,1.337,34.69121083,135.517228, T 8,0.431,0,0,0,0,0,0,0,0.431,2.492,
21:14.7,00:00:03.730,0,1,2.494,6,4.05,292.966,1.399,34.69121083,135.517228, T 8,0.431,0,0,0,0,0,0,0,0.431,2.492,
21:14.8,00:00:03.800,0,1,2.498,6,4.216,292.793,1.461,34.69121083,135.517228, T 8,0.431,0,0,0,0,0,0,0,0.431,2.492,
21:14.9,00:00:03.870,0,1,2.58,6,4.385,292.555,1.528,34.69121267,135.5172202, T 8,0.642,0,0,0,0,0,0,0,0.642,2.621,
21:14.9,00:00:03.930,0,1,2.662,6,4.56,292.316,1.596,34.69121267,135.5172202, T 8,0.642,0,0,0,0,0,0,0,0.642,2.621,
21:15.0,00:00:04.000,0,1,2.744,6,4.74,292.077,1.664,34.69121267,135.5172202, T 8,0.642,0,0,0,0,0,0,0,0.642,2.621,
21:15.1,00:00:04.070,0,1,2.81,6,4.925,291.828,1.707,34.69121383,135.517212, T 8,1.114,0,0,0,0,0,0,0,1.114,2.843,
21:15.1,00:00:04.130,0,1,2.877,6,5.115,291.579,1.75,34.69121383,135.517212, T 8,1.114,0,0,0,0,0,0,0,1.114,2.843,
21:15.2,00:00:04.200,0,1,2.943,6,5.309,291.331,1.793,34.69121383,135.517212, T 8,1.114,0,0,0,0,0,0,0,1.114,2.843,
21:15.3,00:00:04.270,0,1,2.953,6,5.505,291.112,1.843,34.69121517,135.5172048, T 8,0.574,0,0,0,0,0,0,0,0.574,2.958,
21:15.3,00:00:04.330,0,1,2.963,6,5.703,290.894,1.892,34.69121517,135.5172048, T 8,0.574,0,0,0,0,0,0,0,0.574,2.958,
21:15.4,00:00:04.400,0,1,2.973,6,5.901,290.675,1.941,34.69121517,135.5172048, T 8,0.574,0,0,0,0,0,0,0,0.574,2.958,
21:15.5,00:00:04.470,0,1,3.015,0,6.1,290.442,1.96,34.69121567,135.5171972, T 8,0.392,0,0,0,0,0,0,0,0.392,3.037,
21:15.5,00:00:04.530,0,1,3.058,0,6.303,290.208,1.978,34.69121567,135.5171972, T 8,0.392,0,0,0,0,0,0,0,0.392,3.037,
21:15.6,00:00:04.600,0,1,3.1,0,6.508,289.975,1.997,34.69121567,135.5171972, T 8,0.392,0,0,0,0,0,0,0,0.392,3.037,
