Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122639,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:21:10.400,,,,,,,,,,,,,,,,,,,,,
End,13:22:31.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
21:10.4,00:00:00.000,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 10,,0,0,0,0,0,0,0,0,0,
21:10.5,00:00:00.070,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 10,0,0,0,0,0,0,0,0,0,0,
21:10.5,00:00:00.130,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 10,0,0,0,0,0,0,0,0,0,0,
21:10.6,00:00:00.200,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 10,0,0,0,0,0,0,0,0,0,0,
21:10.7,00:00:00.270,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:10.7,00:00:00.330,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:10.8,00:00:00.400,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:10.9,00:00:00.470,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:10.9,00:00:00.530,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.0,00:00:00.600,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.670,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.1,00:00:00.730,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
21:11.2,00:00:00.800,0,1,0,1,0,289.273,0,34.691265,135.5173285, T 9,0,0,0,0,0,0,0,0,0,0,
