Player,: SPI-ProX2  4,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123358,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:36:19.400,,,,,,,,,,,,,,,,,,,,,
End,13:37:43.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
36:19.5,00:00:00.130,0,1,0,1,0,282.539,0,34.691108,135.517281, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.6,00:00:00.200,0,1,0,1,0,282.524,0,34.691108,135.517281, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.7,00:00:00.270,0,1,0,1,0,282.524,0,34.691108,135.5172798, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.7,00:00:00.330,0,1,0,1,0,282.524,0,34.691108,135.5172798, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.8,00:00:00.400,0,1,0,1,0,282.417,0,34.691108,135.5172798, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.9,00:00:00.470,0,1,0,2,0,282.417,0,34.69110833,135.5172775, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.9,00:00:00.530,0,1,0,2,0,282.417,0,34.69110833,135.5172775, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.0,00:00:00.600,0,1,0,2,0,282.204,0.037,34.69110833,135.5172775, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.1,00:00:00.670,0,1,0,2,0,282.204,0.037,34.69110833,135.5172757, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.1,00:00:00.730,0,1,0,2,0,282.204,0.037,34.69110833,135.5172757, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.2,00:00:00.800,0,1,0,2,0,282.036,0.037,34.69110833,135.5172757, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.3,00:00:00.870,0,1,0,2,0,282.036,0.037,34.69110817,135.5172747, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.3,00:00:00.930,0,1,0,2,0,282.036,0.037,34.69110817,135.5172747, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.4,00:00:01.000,0,1,0,2,0,281.945,0.018,34.69110817,135.5172747, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.5,00:00:01.070,0,1,0.565,2,0.036,281.894,0.031,34.6911085,135.517273, T 7,2.982,0,0,0,0,0,0,0,2.982,0.596,
36:20.5,00:00:01.130,0,1,0.628,2,0.075,281.843,0.043,34.6911085,135.517273, T 7,2.982,0,0,0,0,0,0,0,2.982,0.596,
36:20.6,00:00:01.200,0,1,0.691,2,0.119,281.793,0.055,34.6911085,135.517273, T 7,2.982,0,0,0,0,0,0,0,2.982,0.596,
36:20.7,00:00:01.270,0,1,0.685,2,0.165,281.747,0.092,34.6911095,135.5172715, T 7,0.423,0,0,0,0,0,0,0,0.423,0.681,
36:20.7,00:00:01.330,0,1,0.678,2,0.211,281.701,0.129,34.6911095,135.5172715, T 7,0.423,0,0,0,0,0,0,0,0.423,0.681,
36:20.8,00:00:01.400,0,1,0.671,2,0.256,281.655,0.166,34.6911095,135.5172715, T 7,0.423,0,0,0,0,0,0,0,0.423,0.681,
36:20.9,00:00:01.470,0,1,0.748,3,0.303,281.584,0.179,34.69110983,135.5172692, T 7,0.529,0,0,0,0,0,0,0,0.529,0.787,
36:20.9,00:00:01.530,0,1,0.826,3,0.355,281.513,0.191,34.69110983,135.5172692, T 7,0.529,0,0,0,0,0,0,0,0.529,0.787,
36:21.0,00:00:01.600,0,1,0.903,3,0.413,281.442,0.203,34.69110983,135.5172692, T 7,0.529,0,0,0,0,0,0,0,0.529,0.787,
36:21.1,00:00:01.670,0,1,0.803,2,0.47,281.407,0.185,34.69110933,135.517268, T 7,-0.167,0,0,0,0,0,0,0,-0.167,0.753,
36:21.1,00:00:01.730,0,1,0.704,2,0.52,281.371,0.166,34.69110933,135.517268, T 7,-0.167,0,0,0,0,0,0,0,-0.167,0.753,
36:21.2,00:00:01.800,0,1,0.604,2,0.564,281.336,0.148,34.69110933,135.517268, T 7,-0.167,0,0,0,0,0,0,0,-0.167,0.753,
36:21.3,00:00:01.870,0,1,0.575,2,0.603,281.305,0.136,34.691109,135.517267, T 7,-0.963,0,0,0,0,0,0,0,-0.963,0.561,
36:21.3,00:00:01.930,0,1,0.546,2,0.64,281.275,0.123,34.691109,135.517267, T 7,-0.963,0,0,0,0,0,0,0,-0.963,0.561,
36:21.4,00:00:02.000,0,1,0.518,2,0.676,281.244,0.111,34.691109,135.517267, T 7,-0.963,0,0,0,0,0,0,0,-0.963,0.561,
36:21.5,00:00:02.070,0,1,0.53,2,0.711,281.203,0.105,34.69110883,135.5172657, T 7,-0.126,0,0,0,0,0,0,0,-0.126,0.536,
36:21.5,00:00:02.130,0,1,0.542,2,0.746,281.163,0.099,34.69110883,135.5172657, T 7,-0.126,0,0,0,0,0,0,0,-0.126,0.536,
36:21.6,00:00:02.200,0,1,0.554,2,0.783,281.122,0.092,34.69110883,135.5172657, T 7,-0.126,0,0,0,0,0,0,0,-0.126,0.536,
36:21.7,00:00:02.270,0,1,0.621,2,0.822,281.046,0.092,34.69110883,135.5172632, T 7,0.595,0,0,0,0,0,0,0,0.595,0.655,
36:21.7,00:00:02.330,0,1,0.688,2,0.866,280.97,0.092,34.69110883,135.5172632, T 7,0.595,0,0,0,0,0,0,0,0.595,0.655,
36:21.8,00:00:02.400,0,1,0.756,2,0.914,280.894,0.092,34.69110883,135.5172632, T 7,0.595,0,0,0,0,0,0,0,0.595,0.655,
36:21.9,00:00:02.470,0,1,0.926,4,0.97,280.751,0.099,34.691109,135.5172585, T 7,1.781,0,0,0,0,0,0,0,1.781,1.011,
36:21.9,00:00:02.530,0,1,1.096,4,1.037,280.609,0.105,34.691109,135.5172585, T 7,1.781,0,0,0,0,0,0,0,1.781,1.011,
36:22.0,00:00:02.600,0,1,1.266,4,1.116,280.467,0.111,34.691109,135.5172585, T 7,1.781,0,0,0,0,0,0,0,1.781,1.011,
36:22.1,00:00:02.670,0,1,1.262,4,1.2,280.355,0.099,34.69110867,135.5172548, T 7,1.246,0,0,0,0,0,0,0,1.246,1.26,
36:22.1,00:00:02.730,0,1,1.258,4,1.284,280.244,0.086,34.69110867,135.5172548, T 7,1.246,0,0,0,0,0,0,0,1.246,1.26,
36:22.2,00:00:02.800,0,1,1.254,4,1.368,280.132,0.074,34.69110867,135.5172548, T 7,1.246,0,0,0,0,0,0,0,1.246,1.26,
36:22.3,00:00:02.870,0,1,1.318,4,1.454,280.015,0.068,34.6911085,135.517251, T 8,0.45,0,0,0,0,0,0,0,0.45,1.35,
36:22.3,00:00:02.930,0,1,1.382,4,1.544,279.898,0.062,34.6911085,135.517251, T 8,0.45,0,0,0,0,0,0,0,0.45,1.35,
36:22.4,00:00:03.000,0,1,1.446,4,1.638,279.781,0.055,34.6911085,135.517251, T 8,0.45,0,0,0,0,0,0,0,0.45,1.35,
36:22.5,00:00:03.070,0,1,1.546,4,1.738,279.634,0.049,34.69110833,135.5172462, T 8,1.231,0,0,0,0,0,0,0,1.231,1.596,
36:22.5,00:00:03.130,0,1,1.646,4,1.844,279.487,0.043,34.69110833,135.5172462, T 8,1.231,0,0,0,0,0,0,0,1.231,1.596,
36:22.6,00:00:03.200,0,1,1.747,4,1.957,279.339,0.037,34.69110833,135.5172462, T 8,1.231,0,0,0,0,0,0,0,1.231,1.596,
36:22.7,00:00:03.270,0,1,1.761,5,2.074,279.182,0.043,34.6911085,135.517241, T 8,0.86,0,0,0,0,0,0,0,0.86,1.768,
36:22.7,00:00:03.330,0,1,1.776,5,2.192,279.025,0.049,34.6911085,135.517241, T 8,0.86,0,0,0,0,0,0,0,0.86,1.768,
36:22.8,00:00:03.400,0,1,1.79,5,2.311,278.867,0.055,34.6911085,135.517241, T 8,0.86,0,0,0,0,0,0,0,0.86,1.768,
36:22.9,00:00:03.470,0,1,1.761,4,2.429,278.725,0.062,34.69110867,135.5172363, T 8,-0.107,0,0,0,0,0,0,0,-0.107,1.747,
36:22.9,00:00:03.530,0,1,1.733,4,2.546,278.583,0.068,34.69110867,135.5172363, T 8,-0.107,0,0,0,0,0,0,0,-0.107,1.747,
36:23.0,00:00:03.600,0,1,1.704,4,2.66,278.441,0.074,34.69110867,135.5172363, T 8,-0.107,0,0,0,0,0,0,0,-0.107,1.747,
36:23.1,00:00:03.670,0,1,1.754,5,2.776,278.293,0.074,34.69110867,135.5172315, T 8,0.163,0,0,0,0,0,0,0,0.163,1.78,
36:23.1,00:00:03.730,0,1,1.805,5,2.894,278.146,0.074,34.69110867,135.5172315, T 8,0.163,0,0,0,0,0,0,0,0.163,1.78,
36:23.2,00:00:03.800,0,1,1.856,5,3.016,277.999,0.074,34.69110867,135.5172315, T 8,0.163,0,0,0,0,0,0,0,0.163,1.78,
36:23.3,00:00:03.870,0,1,1.952,5,3.143,277.826,0.086,34.691109,135.5172258, T 8,1.101,0,0,0,0,0,0,0,1.101,2,
36:23.3,00:00:03.930,0,1,2.048,5,3.277,277.653,0.099,34.691109,135.5172258, T 8,1.101,0,0,0,0,0,0,0,1.101,2,
36:23.4,00:00:04.000,0,1,2.144,5,3.416,277.481,0.111,34.691109,135.5172258, T 8,1.101,0,0,0,0,0,0,0,1.101,2,
36:23.5,00:00:04.070,0,1,2.159,5,3.56,277.318,0.092,34.6911085,135.5172205, T 8,0.836,0,0,0,0,0,0,0,0.836,2.167,
36:23.5,00:00:04.130,0,1,2.175,5,3.704,277.156,0.074,34.6911085,135.5172205, T 8,0.836,0,0,0,0,0,0,0,0.836,2.167,
