Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:52:36.600,,,,,,,,,,,,,,,,,,,,,
End,13:54:08.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
52:36.6,00:00:00.000,0,1,0.072,1,0,294.226,0.018,34.69117917,135.5172778, T 8,,0,0,0,0,0,0,0,0,0,
52:36.7,00:00:00.070,0,1,0,1,0,294.226,0.018,34.691179,135.5172777, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.7,00:00:00.130,0,1,0,1,0,294.226,0.018,34.691179,135.5172777, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.8,00:00:00.200,0,1,0,1,0,294.211,0,34.691179,135.5172777, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.270,0,1,0,1,0,294.211,0,34.69117917,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.330,0,1,0,1,0,294.211,0,34.69117917,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.0,00:00:00.400,0,1,0,1,0,294.165,0.018,34.69117917,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:00.470,0,1,0,1,0,294.165,0.018,34.691179,135.5172767, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:00.530,0,1,0,1,0,294.165,0.018,34.691179,135.5172767, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.2,00:00:00.600,0,1,0,1,0,294.119,0,34.691179,135.5172767, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:00.670,0,1,0,1,0,294.119,0,34.691179,135.5172755, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:00.730,0,1,0,1,0,294.119,0,34.691179,135.5172755, T 8,0,0,0,0,0,0,0,0,0,0,
