Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122709,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:36:19.800,,,,,,,,,,,,,,,,,,,,,
End,13:37:38.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
36:19.8,00:00:00.000,0,1,0,1,0,273.229,0.998,34.691257,135.5172462, T 8,,0,0,0,0,0,0,0,0,0,
36:19.9,00:00:00.070,0,1,0,3,0,273.229,0.998,34.69125533,135.5172448, T 8,0,0,0,0,0,0,0,0,0,0,
36:19.9,00:00:00.130,0,1,0,3,0,273.229,0.998,34.69125533,135.5172448, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.0,00:00:00.200,0,1,0,3,0,273.107,0.814,34.69125533,135.5172448, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.1,00:00:00.270,0,1,0.804,3,0.054,273.016,0.764,34.691254,135.5172418, T 8,3.992,0,0,0,0,0,0,0,3.992,0.798,
36:20.1,00:00:00.330,0,1,0.793,3,0.107,272.924,0.715,34.691254,135.5172418, T 8,3.992,0,0,0,0,0,0,0,3.992,0.798,
36:20.2,00:00:00.400,0,1,0.783,3,0.16,272.833,0.666,34.691254,135.5172418, T 8,3.992,0,0,0,0,0,0,0,3.992,0.798,
36:20.3,00:00:00.470,0,1,0.764,2,0.211,272.843,0.579,34.69125167,135.5172422, T 8,-0.221,0,0,0,0,0,0,0,-0.221,0.754,
36:20.3,00:00:00.530,0,1,0.745,2,0.262,272.853,0.493,34.69125167,135.5172422, T 8,-0.221,0,0,0,0,0,0,0,-0.221,0.754,
36:20.4,00:00:00.600,0,1,0.725,2,0.311,272.863,0.407,34.69125167,135.5172422, T 8,-0.221,0,0,0,0,0,0,0,-0.221,0.754,
36:20.5,00:00:00.670,0,1,0.688,2,0.358,272.884,0.407,34.69125167,135.5172428, T 8,-0.426,0,0,0,0,0,0,0,-0.426,0.669,
36:20.5,00:00:00.730,0,1,0.65,2,0.402,272.904,0.407,34.69125167,135.5172428, T 8,-0.426,0,0,0,0,0,0,0,-0.426,0.669,
36:20.6,00:00:00.800,0,1,0.613,2,0.444,272.924,0.407,34.69125167,135.5172428, T 8,-0.426,0,0,0,0,0,0,0,-0.426,0.669,
36:20.7,00:00:00.870,0,1,0.722,3,0.489,272.889,0.456,34.691253,135.5172417, T 8,0.539,0,0,0,0,0,0,0,0.539,0.777,
36:20.7,00:00:00.930,0,1,0.832,3,0.541,272.853,0.505,34.691253,135.5172417, T 8,0.539,0,0,0,0,0,0,0,0.539,0.777,
36:20.8,00:00:01.000,0,1,0.941,3,0.6,272.818,0.555,34.691253,135.5172417, T 8,0.539,0,0,0,0,0,0,0,0.539,0.777,
36:20.9,00:00:01.070,0,1,0.995,3,0.664,272.736,0.579,34.69125367,135.517239, T 8,1.227,0,0,0,0,0,0,0,1.227,1.022,
36:20.9,00:00:01.130,0,1,1.049,3,0.732,272.655,0.604,34.69125367,135.517239, T 8,1.227,0,0,0,0,0,0,0,1.227,1.022,
36:21.0,00:00:01.200,0,1,1.103,3,0.804,272.574,0.629,34.69125367,135.517239, T 8,1.227,0,0,0,0,0,0,0,1.227,1.022,
36:21.1,00:00:01.270,0,1,1.079,3,0.877,272.513,0.647,34.69125417,135.517237, T 8,0.226,0,0,0,0,0,0,0,0.226,1.067,
36:21.1,00:00:01.330,0,1,1.055,3,0.948,272.452,0.666,34.69125417,135.517237, T 8,0.226,0,0,0,0,0,0,0,0.226,1.067,
