Player,: SPI-ProX2 6,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123006,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:36:18.600,,,,,,,,,,,,,,,,,,,,,
End,13:37:50.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
36:20.0,00:00:01.400,0,1,0,2,0,275.057,0.388,34.69132867,135.5172373, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.1,00:00:01.470,0,1,0,1,0,275.057,0.388,34.69132867,135.5172362, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.1,00:00:01.530,0,1,0,1,0,275.057,0.388,34.69132867,135.5172362, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.2,00:00:01.600,0,1,0,1,0,274.951,0.388,34.69132867,135.5172362, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.3,00:00:01.670,0,1,0,1,0,274.951,0.388,34.69132833,135.517236, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.3,00:00:01.730,0,1,0,1,0,274.951,0.388,34.69132833,135.517236, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.4,00:00:01.800,0,1,0,1,0,274.935,0.351,34.69132833,135.517236, T 8,0,0,0,0,0,0,0,0,0,0,
36:20.5,00:00:01.870,0,1,0.427,2,0.025,274.89,0.351,34.69132833,135.5172345, T 8,2.399,0,0,0,0,0,0,0,2.399,0.48,
36:20.5,00:00:01.930,0,1,0.533,2,0.057,274.844,0.351,34.69132833,135.5172345, T 8,2.399,0,0,0,0,0,0,0,2.399,0.48,
36:20.6,00:00:02.000,0,1,0.638,2,0.096,274.798,0.351,34.69132833,135.5172345, T 8,2.399,0,0,0,0,0,0,0,2.399,0.48,
36:20.7,00:00:02.070,0,1,0.764,3,0.143,274.722,0.357,34.6913285,135.517232, T 8,1.738,0,0,0,0,0,0,0,1.738,0.827,
36:20.7,00:00:02.130,0,1,0.89,3,0.198,274.646,0.364,34.6913285,135.517232, T 8,1.738,0,0,0,0,0,0,0,1.738,0.827,
