Player,: SPI-ProX2 3,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102123329,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:52:35.600,,,,,,,,,,,,,,,,,,,,,
End,13:54:10.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
52:37.6,00:00:02.000,0,1,0,1,0,289.076,0.777,34.69114683,135.517309, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:02.070,0,1,0,1,0,289.076,0.777,34.69114733,135.5173083, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:02.130,0,1,0,1,0,289.076,0.777,34.69114733,135.5173083, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.8,00:00:02.200,0,1,0,1,0,289.015,0.832,34.69114733,135.5173083, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.9,00:00:02.270,0,1,0,2,0,289.015,0.832,34.69114717,135.5173062, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.9,00:00:02.330,0,1,0,2,0,289.015,0.832,34.69114717,135.5173062, T 7,0,0,0,0,0,0,0,0,0,0,
52:38.0,00:00:02.400,0,1,0,2,0,288.817,0.814,34.69114717,135.5173062, T 7,0,0,0,0,0,0,0,0,0,0,
52:38.1,00:00:02.470,0,1,0.732,3,0.044,288.735,0.826,34.6911475,135.5173035, T 8,4.01,0,0,0,0,0,0,0,4.01,0.802,
52:38.1,00:00:02.530,0,1,0.872,3,0.098,288.654,0.838,34.6911475,135.5173035, T 8,4.01,0,0,0,0,0,0,0,4.01,0.802,
52:38.2,00:00:02.600,0,1,1.012,3,0.16,288.573,0.851,34.6911475,135.5173035, T 8,4.01,0,0,0,0,0,0,0,4.01,0.802,
52:38.3,00:00:02.670,0,1,1.008,3,0.228,288.492,0.875,34.69114817,135.5173008, T 8,1.016,0,0,0,0,0,0,0,1.016,1.005,
52:38.3,00:00:02.730,0,1,1.003,3,0.295,288.41,0.9,34.69114817,135.5173008, T 8,1.016,0,0,0,0,0,0,0,1.016,1.005,
