Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122639,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:52:36.000,,,,,,,,,,,,,,,,,,,,,
End,13:54:15.200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
52:36.1,00:00:00.070,0,1,0,1,0,280.466,0.092,34.69128,135.5172975, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.1,00:00:00.130,0,1,0,1,0,280.466,0.092,34.69128,135.5172975, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.2,00:00:00.200,0,1,0,1,0,280.512,0.074,34.69128,135.5172975, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.3,00:00:00.270,0,1,0,1,0,280.512,0.074,34.6912795,135.5172978, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.3,00:00:00.330,0,1,0,1,0,280.512,0.074,34.6912795,135.5172978, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.4,00:00:00.400,0,1,0,1,0,280.543,0.018,34.6912795,135.5172978, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.5,00:00:00.470,0,1,0,1,0,280.543,0.018,34.69127933,135.517298, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.5,00:00:00.530,0,1,0,1,0,280.543,0.018,34.69127933,135.517298, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.6,00:00:00.600,0,1,0,1,0,280.558,0,34.69127933,135.517298, T 8,0,0,0,0,0,0,0,0,0,0,
52:36.7,00:00:00.670,0,1,0,1,0,280.558,0,34.69127967,135.5172982, T 7,0,0,0,0,0,0,0,0,0,0,
52:36.7,00:00:00.730,0,1,0,1,0,280.558,0,34.69127967,135.5172982, T 7,0,0,0,0,0,0,0,0,0,0,
52:36.8,00:00:00.800,0,1,0,1,0,280.573,0.037,34.69127967,135.5172982, T 7,0,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.870,0,1,0,1,0,280.573,0.037,34.69127967,135.5172975, T 7,0,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.930,0,1,0,1,0,280.573,0.037,34.69127967,135.5172975, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.0,00:00:01.000,0,1,0,1,0,280.512,0.037,34.69127967,135.5172975, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:01.070,0,1,0,1,0,280.512,0.037,34.69127967,135.5172963, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:01.130,0,1,0,1,0,280.512,0.037,34.69127967,135.5172963, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.2,00:00:01.200,0,1,0,1,0,280.405,0.037,34.69127967,135.5172963, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:01.270,0,1,0,2,0,280.405,0.037,34.69128,135.5172953, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:01.330,0,1,0,2,0,280.405,0.037,34.69128,135.5172953, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.4,00:00:01.400,0,1,0,2,0,280.314,0.074,34.69128,135.5172953, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.5,00:00:01.470,0,1,0,1,0,280.314,0.074,34.6912805,135.5172945, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.5,00:00:01.530,0,1,0,1,0,280.314,0.074,34.6912805,135.5172945, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.6,00:00:01.600,0,1,0,1,0,280.238,0.129,34.6912805,135.5172945, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:01.670,0,1,0,1,0,280.238,0.129,34.691281,135.517294, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:01.730,0,1,0,1,0,280.238,0.129,34.691281,135.517294, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.8,00:00:01.800,0,1,0,1,0,280.192,0.185,34.691281,135.517294, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.9,00:00:01.870,0,1,0,2,0,280.192,0.185,34.6912815,135.5172927, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.9,00:00:01.930,0,1,0,2,0,280.192,0.185,34.6912815,135.5172927, T 7,0,0,0,0,0,0,0,0,0,0,
52:38.0,00:00:02.000,0,1,0,2,0,280.07,0.24,34.6912815,135.5172927, T 7,0,0,0,0,0,0,0,0,0,0,
52:38.1,00:00:02.070,0,1,0.753,3,0.045,279.999,0.247,34.69128167,135.5172903, T 7,4.168,0,0,0,0,0,0,0,4.168,0.834,
52:38.1,00:00:02.130,0,1,0.915,3,0.1,279.928,0.253,34.69128167,135.5172903, T 7,4.168,0,0,0,0,0,0,0,4.168,0.834,
52:38.2,00:00:02.200,0,1,1.077,3,0.167,279.857,0.259,34.69128167,135.5172903, T 7,4.168,0,0,0,0,0,0,0,4.168,0.834,
52:38.3,00:00:02.270,0,1,1.105,3,0.239,279.781,0.277,34.69128217,135.5172878, T 7,1.425,0,0,0,0,0,0,0,1.425,1.119,
52:38.3,00:00:02.330,0,1,1.133,3,0.314,279.705,0.296,34.69128217,135.5172878, T 7,1.425,0,0,0,0,0,0,0,1.425,1.119,
52:38.4,00:00:02.400,0,1,1.161,3,0.39,279.628,0.314,34.69128217,135.5172878, T 7,1.425,0,0,0,0,0,0,0,1.425,1.119,
52:38.5,00:00:02.470,0,1,1.055,3,0.464,279.562,0.308,34.691282,135.5172857, T 7,-0.58,0,0,0,0,0,0,0,-0.58,1.003,
52:38.5,00:00:02.530,0,1,0.95,3,0.531,279.496,0.302,34.691282,135.5172857, T 7,-0.58,0,0,0,0,0,0,0,-0.58,1.003,
52:38.6,00:00:02.600,0,1,0.845,3,0.591,279.43,0.296,34.691282,135.5172857, T 7,-0.58,0,0,0,0,0,0,0,-0.58,1.003,
52:38.7,00:00:02.670,0,1,0.799,2,0.646,279.38,0.296,34.691282,135.517284, T 7,-1.129,0,0,0,0,0,0,0,-1.129,0.777,
52:38.7,00:00:02.730,0,1,0.754,2,0.698,279.329,0.296,34.691282,135.517284, T 7,-1.129,0,0,0,0,0,0,0,-1.129,0.777,
52:38.8,00:00:02.800,0,1,0.709,2,0.746,279.278,0.296,34.691282,135.517284, T 7,-1.129,0,0,0,0,0,0,0,-1.129,0.777,
52:38.9,00:00:02.870,0,1,0.874,3,0.799,279.181,0.308,34.69128233,135.5172808, T 7,0.896,0,0,0,0,0,0,0,0.896,0.956,
52:38.9,00:00:02.930,0,1,1.038,3,0.863,279.085,0.32,34.69128233,135.5172808, T 7,0.896,0,0,0,0,0,0,0,0.896,0.956,
52:39.0,00:00:03.000,0,1,1.203,3,0.938,278.988,0.333,34.69128233,135.5172808, T 7,0.896,0,0,0,0,0,0,0,0.896,0.956,
52:39.1,00:00:03.070,0,1,1.265,4,1.02,278.892,0.345,34.69128267,135.5172777, T 7,1.698,0,0,0,0,0,0,0,1.698,1.296,
52:39.1,00:00:03.130,0,1,1.326,4,1.106,278.795,0.357,34.69128267,135.5172777, T 7,1.698,0,0,0,0,0,0,0,1.698,1.296,
52:39.2,00:00:03.200,0,1,1.388,4,1.197,278.699,0.37,34.69128267,135.5172777, T 7,1.698,0,0,0,0,0,0,0,1.698,1.296,
52:39.3,00:00:03.270,0,1,1.284,3,1.286,278.638,0.37,34.69128267,135.5172757, T 8,-0.315,0,0,0,0,0,0,0,-0.315,1.233,
52:39.3,00:00:03.330,0,1,1.181,3,1.368,278.577,0.37,34.69128267,135.5172757, T 8,-0.315,0,0,0,0,0,0,0,-0.315,1.233,
52:39.4,00:00:03.400,0,1,1.077,3,1.443,278.516,0.37,34.69128267,135.5172757, T 8,-0.315,0,0,0,0,0,0,0,-0.315,1.233,
52:39.5,00:00:03.470,0,1,1.085,3,1.515,278.45,0.364,34.6912825,135.5172735, T 7,-0.719,0,0,0,0,0,0,0,-0.719,1.089,
52:39.5,00:00:03.530,0,1,1.093,3,1.588,278.384,0.357,34.6912825,135.5172735, T 7,-0.719,0,0,0,0,0,0,0,-0.719,1.089,
52:39.6,00:00:03.600,0,1,1.1,3,1.661,278.318,0.351,34.6912825,135.5172735, T 7,-0.719,0,0,0,0,0,0,0,-0.719,1.089,
52:39.7,00:00:03.670,0,1,1.088,3,1.734,278.242,0.345,34.69128233,135.517271, T 8,-0.036,0,0,0,0,0,0,0,-0.036,1.082,
52:39.7,00:00:03.730,0,1,1.075,3,1.806,278.166,0.339,34.69128233,135.517271, T 8,-0.036,0,0,0,0,0,0,0,-0.036,1.082,
52:39.8,00:00:03.800,0,1,1.063,3,1.877,278.089,0.333,34.69128233,135.517271, T 8,-0.036,0,0,0,0,0,0,0,-0.036,1.082,
52:39.9,00:00:03.870,0,1,1.273,4,1.955,277.968,0.345,34.69128267,135.517267, T 8,1.479,0,0,0,0,0,0,0,1.479,1.377,
52:39.9,00:00:03.930,0,1,1.482,4,2.047,277.846,0.357,34.69128267,135.517267, T 8,1.479,0,0,0,0,0,0,0,1.479,1.377,
52:40.0,00:00:04.000,0,1,1.692,4,2.153,277.724,0.37,34.69128267,135.517267, T 8,1.479,0,0,0,0,0,0,0,1.479,1.377,
52:40.1,00:00:04.070,0,1,1.602,4,2.263,277.632,0.382,34.691283,135.517264, T 8,0.9,0,0,0,0,0,0,0,0.9,1.557,
52:40.1,00:00:04.130,0,1,1.513,4,2.366,277.541,0.394,34.691283,135.517264, T 8,0.9,0,0,0,0,0,0,0,0.9,1.557,
52:40.2,00:00:04.200,0,1,1.423,4,2.464,277.45,0.407,34.691283,135.517264, T 8,0.9,0,0,0,0,0,0,0,0.9,1.557,
52:40.3,00:00:04.270,0,1,1.385,4,2.558,277.353,0.394,34.69128267,135.5172608, T 8,-0.959,0,0,0,0,0,0,0,-0.959,1.366,
52:40.3,00:00:04.330,0,1,1.346,4,2.649,277.257,0.382,34.69128267,135.5172608, T 8,-0.959,0,0,0,0,0,0,0,-0.959,1.366,
52:40.4,00:00:04.400,0,1,1.308,4,2.737,277.16,0.37,34.69128267,135.5172608, T 8,-0.959,0,0,0,0,0,0,0,-0.959,1.366,
52:40.5,00:00:04.470,0,1,1.376,4,2.827,277.064,0.357,34.69128233,135.5172577, T 8,0.219,0,0,0,0,0,0,0,0.219,1.409,
52:40.5,00:00:04.530,0,1,1.443,4,2.921,276.967,0.345,34.69128233,135.5172577, T 8,0.219,0,0,0,0,0,0,0,0.219,1.409,
52:40.6,00:00:04.600,0,1,1.51,4,3.019,276.871,0.333,34.69128233,135.5172577, T 8,0.219,0,0,0,0,0,0,0,0.219,1.409,
52:40.7,00:00:04.670,0,1,1.672,5,3.125,276.728,0.327,34.69128217,135.517253, T 8,1.718,0,0,0,0,0,0,0,1.718,1.753,
52:40.7,00:00:04.730,0,1,1.834,5,3.242,276.586,0.32,34.69128217,135.517253, T 8,1.718,0,0,0,0,0,0,0,1.718,1.753,
52:40.8,00:00:04.800,0,1,1.996,5,3.37,276.444,0.314,34.69128217,135.517253, T 8,1.718,0,0,0,0,0,0,0,1.718,1.753,
52:40.9,00:00:04.870,0,1,1.959,5,3.502,276.312,0.308,34.691282,135.5172487, T 8,0.938,0,0,0,0,0,0,0,0.938,1.94,
52:40.9,00:00:04.930,0,1,1.922,5,3.631,276.18,0.302,34.691282,135.5172487, T 8,0.938,0,0,0,0,0,0,0,0.938,1.94,
52:41.0,00:00:05.000,0,1,1.885,5,3.758,276.048,0.296,34.691282,135.5172487, T 8,0.938,0,0,0,0,0,0,0,0.938,1.94,
