Player,: SPI ProX2  2,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122959,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,13:52:36.800,,,,,,,,,,,,,,,,,,,,,
End,13:54:12.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
52:36.8,00:00:00.000,0,1,0.042,1,0,282.569,0.074,34.691344,135.5172823, T 8,,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.070,0,1,0,1,0,282.569,0.074,34.69134417,135.5172813, T 7,0,0,0,0,0,0,0,0,0,0,
52:36.9,00:00:00.130,0,1,0,1,0,282.569,0.074,34.69134417,135.5172813, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.0,00:00:00.200,0,1,0,1,0,282.478,0.092,34.69134417,135.5172813, T 7,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:00.270,0,1,0,1,0,282.478,0.092,34.69134383,135.5172797, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.1,00:00:00.330,0,1,0,1,0,282.478,0.092,34.69134383,135.5172797, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.2,00:00:00.400,0,1,0,1,0,282.325,0.055,34.69134383,135.5172797, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:00.470,0,1,0,1,0,282.325,0.055,34.69134367,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.3,00:00:00.530,0,1,0,1,0,282.325,0.055,34.69134367,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.4,00:00:00.600,0,1,0,1,0,282.097,0.037,34.69134367,135.5172772, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.5,00:00:00.670,0,1,0,2,0,282.097,0.037,34.69134383,135.5172752, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.5,00:00:00.730,0,1,0,2,0,282.097,0.037,34.69134383,135.5172752, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.6,00:00:00.800,0,1,0,2,0,281.914,0.055,34.69134383,135.5172752, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:00.870,0,1,0,2,0,281.914,0.055,34.6913435,135.517271, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.7,00:00:00.930,0,1,0,2,0,281.914,0.055,34.6913435,135.517271, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.8,00:00:01.000,0,1,0,2,0,281.533,0.018,34.6913435,135.517271, T 8,0,0,0,0,0,0,0,0,0,0,
52:37.9,00:00:01.070,0,1,0.732,3,0.048,281.472,0.031,34.69134383,135.517269, T 7,3.749,0,0,0,0,0,0,0,3.749,0.75,
52:37.9,00:00:01.130,0,1,0.768,3,0.098,281.411,0.043,34.69134383,135.517269, T 7,3.749,0,0,0,0,0,0,0,3.749,0.75,
52:38.0,00:00:01.200,0,1,0.803,3,0.15,281.35,0.055,34.69134383,135.517269, T 7,3.749,0,0,0,0,0,0,0,3.749,0.75,
52:38.1,00:00:01.270,0,1,0.901,3,0.207,281.248,0.049,34.69134367,135.5172657, T 7,1.001,0,0,0,0,0,0,0,1.001,0.95,
52:38.1,00:00:01.330,0,1,0.999,3,0.27,281.147,0.043,34.69134367,135.5172657, T 7,1.001,0,0,0,0,0,0,0,1.001,0.95,
52:38.2,00:00:01.400,0,1,1.097,3,0.34,281.045,0.037,34.69134367,135.5172657, T 7,1.001,0,0,0,0,0,0,0,1.001,0.95,
52:38.3,00:00:01.470,0,1,0.979,2,0.409,281.01,0.025,34.69134333,135.5172645, T 8,-0.149,0,0,0,0,0,0,0,-0.149,0.92,
52:38.3,00:00:01.530,0,1,0.861,2,0.47,280.974,0.012,34.69134333,135.5172645, T 8,-0.149,0,0,0,0,0,0,0,-0.149,0.92,
52:38.4,00:00:01.600,0,1,0.743,2,0.524,280.939,0,34.69134333,135.5172645, T 8,-0.149,0,0,0,0,0,0,0,-0.149,0.92,
52:38.5,00:00:01.670,0,1,0.816,3,0.576,280.878,0.012,34.69134367,135.5172625, T 8,-0.337,0,0,0,0,0,0,0,-0.337,0.853,
52:38.5,00:00:01.730,0,1,0.889,3,0.633,280.817,0.025,34.69134367,135.5172625, T 8,-0.337,0,0,0,0,0,0,0,-0.337,0.853,
52:38.6,00:00:01.800,0,1,0.962,3,0.695,280.756,0.037,34.69134367,135.5172625, T 8,-0.337,0,0,0,0,0,0,0,-0.337,0.853,
52:38.7,00:00:01.870,0,1,1.028,3,0.761,280.669,0.055,34.69134417,135.5172597, T 7,1.039,0,0,0,0,0,0,0,1.039,1.061,
52:38.7,00:00:01.930,0,1,1.093,3,0.832,280.583,0.074,34.69134417,135.5172597, T 7,1.039,0,0,0,0,0,0,0,1.039,1.061,
52:38.8,00:00:02.000,0,1,1.159,3,0.907,280.497,0.092,34.69134417,135.5172597, T 7,1.039,0,0,0,0,0,0,0,1.039,1.061,
52:38.9,00:00:02.070,0,1,1.126,3,0.983,280.446,0.092,34.69134417,135.517258, T 7,0.242,0,0,0,0,0,0,0,0.242,1.109,
52:38.9,00:00:02.130,0,1,1.092,3,1.057,280.395,0.092,34.69134417,135.517258, T 7,0.242,0,0,0,0,0,0,0,0.242,1.109,
52:39.0,00:00:02.200,0,1,1.059,3,1.128,280.344,0.092,34.69134417,135.517258, T 7,0.242,0,0,0,0,0,0,0,0.242,1.109,
52:39.1,00:00:02.270,0,1,1.079,3,1.2,280.273,0.092,34.69134417,135.5172557, T 8,-0.099,0,0,0,0,0,0,0,-0.099,1.089,
52:39.1,00:00:02.330,0,1,1.099,3,1.272,280.202,0.092,34.69134417,135.5172557, T 8,-0.099,0,0,0,0,0,0,0,-0.099,1.089,
52:39.2,00:00:02.400,0,1,1.119,3,1.346,280.131,0.092,34.69134417,135.5172557, T 8,-0.099,0,0,0,0,0,0,0,-0.099,1.089,
