Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,14:57:21.000,,,,,,,,,,,,,,,,,,,,,
End,14:58:58.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
57:21.0,00:00:00.000,0,1,0.146,1,0,282.158,0,34.691124,135.5172765, T 7,,0,0,0,0,0,0,0,0,0,
57:21.1,00:00:00.070,0,1,0,1,0,282.158,0,34.69112533,135.5172762, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.1,00:00:00.130,0,1,0,1,0,282.158,0,34.69112533,135.5172762, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.2,00:00:00.200,0,1,0,1,0,282.128,0.148,34.69112533,135.5172762, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.3,00:00:00.270,0,1,0,1,0,282.128,0.148,34.69112667,135.5172758, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.3,00:00:00.330,0,1,0,1,0,282.128,0.148,34.69112667,135.5172758, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.4,00:00:00.400,0,1,0,1,0,282.097,0.296,34.69112667,135.5172758, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.5,00:00:00.470,0,1,0,2,0,282.097,0.296,34.69112833,135.5172748, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.5,00:00:00.530,0,1,0,2,0,282.097,0.296,34.69112833,135.5172748, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.6,00:00:00.600,0,1,0,2,0,282.006,0.481,34.69112833,135.5172748, T 6,0,0,0,0,0,0,0,0,0,0,
57:21.7,00:00:00.670,0,1,0,2,0,282.006,0.481,34.69112933,135.517274, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.7,00:00:00.730,0,1,0,2,0,282.006,0.481,34.69112933,135.517274, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.8,00:00:00.800,0,1,0,2,0,281.93,0.592,34.69112933,135.517274, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.9,00:00:00.870,0,1,0,1,0,281.93,0.592,34.69113,135.5172738, T 7,0,0,0,0,0,0,0,0,0,0,
57:21.9,00:00:00.930,0,1,0,1,0,281.93,0.592,34.69113,135.5172738, T 7,0,0,0,0,0,0,0,0,0,0,
57:22.0,00:00:01.000,0,1,0,1,0,281.914,0.666,34.69113,135.5172738, T 7,0,0,0,0,0,0,0,0,0,0,
57:22.1,00:00:01.070,0,1,0,2,0,281.914,0.666,34.69113067,135.5172727, T 7,0,0,0,0,0,0,0,0,0,0,
57:22.1,00:00:01.130,0,1,0,2,0,281.914,0.666,34.69113067,135.5172727, T 7,0,0,0,0,0,0,0,0,0,0,
57:22.2,00:00:01.200,0,1,0,2,0,281.808,0.74,34.69113067,135.5172727, T 7,0,0,0,0,0,0,0,0,0,0,
57:22.3,00:00:01.270,0,1,0.662,3,0.04,281.752,0.74,34.69113067,135.5172708, T 7,3.606,0,0,0,0,0,0,0,3.606,0.721,
57:22.3,00:00:01.330,0,1,0.781,3,0.088,281.696,0.74,34.69113067,135.5172708, T 7,3.606,0,0,0,0,0,0,0,3.606,0.721,
57:22.4,00:00:01.400,0,1,0.9,3,0.144,281.64,0.74,34.69113067,135.5172708, T 7,3.606,0,0,0,0,0,0,0,3.606,0.721,
57:22.5,00:00:01.470,0,1,0.905,3,0.204,281.605,0.733,34.6911305,135.5172697, T 7,0.93,0,0,0,0,0,0,0,0.93,0.907,
57:22.5,00:00:01.530,0,1,0.91,3,0.265,281.569,0.727,34.6911305,135.5172697, T 7,0.93,0,0,0,0,0,0,0,0.93,0.907,
