Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122709,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,14:57:19.800,,,,,,,,,,,,,,,,,,,,,
End,14:58:57.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
57:19.8,00:00:00.000,0,1,0,1,0,283.758,0.481,34.69121567,135.5173105, T 8,,0,0,0,0,0,0,0,0,0,
57:19.9,00:00:00.070,0,1,0,1,0,283.758,0.481,34.69121583,135.517311, T 8,0,0,0,0,0,0,0,0,0,0,
57:19.9,00:00:00.130,0,1,0,1,0,283.758,0.481,34.69121583,135.517311, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.0,00:00:00.200,0,1,0,1,0,283.804,0.499,34.69121583,135.517311, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.1,00:00:00.270,0,1,0,1,0,283.804,0.499,34.69121567,135.5173117, T 7,0,0,0,0,0,0,0,0,0,0,
57:20.1,00:00:00.330,0,1,0,1,0,283.804,0.499,34.69121567,135.5173117, T 7,0,0,0,0,0,0,0,0,0,0,
57:20.2,00:00:00.400,0,1,0,1,0,283.865,0.481,34.69121567,135.5173117, T 7,0,0,0,0,0,0,0,0,0,0,
57:20.3,00:00:00.470,0,1,0,1,0,283.865,0.481,34.69121533,135.5173123, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.3,00:00:00.530,0,1,0,1,0,283.865,0.481,34.69121533,135.5173123, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.4,00:00:00.600,0,1,0,1,0,283.925,0.444,34.69121533,135.5173123, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.5,00:00:00.670,0,1,0,1,0,283.925,0.444,34.69121483,135.5173127, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.5,00:00:00.730,0,1,0,1,0,283.925,0.444,34.69121483,135.5173127, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.6,00:00:00.800,0,1,0,1,0,283.956,0.388,34.69121483,135.5173127, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.7,00:00:00.870,0,1,0,1,0,283.956,0.388,34.69121433,135.5173123, T 8,0,0,0,0,0,0,0,0,0,0,
57:20.7,00:00:00.930,0,1,0,1,0,283.956,0.388,34.69121433,135.5173123, T 8,0,0,0,0,0,0,0,0,0,0,
