Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,15:15:58.600,,,,,,,,,,,,,,,,,,,,,
End,15:17:25.800,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
15:58.6,00:00:00.000,0,1,0.09,1,0,295.795,0.333,34.69110883,135.5173083, T 7,,0,0,0,0,0,0,0,0,0,
15:58.7,00:00:00.070,0,1,0,1,0,295.795,0.333,34.6911085,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:58.7,00:00:00.130,0,1,0,1,0,295.795,0.333,34.6911085,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:58.8,00:00:00.200,0,1,0,1,0,295.826,0.296,34.6911085,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:58.9,00:00:00.270,0,1,0,1,0,295.826,0.296,34.691108,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:58.9,00:00:00.330,0,1,0,1,0,295.826,0.296,34.691108,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.0,00:00:00.400,0,1,0,1,0,295.826,0.24,34.691108,135.5173087, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.1,00:00:00.470,0,1,0,1,0,295.826,0.24,34.69110767,135.517309, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.1,00:00:00.530,0,1,0,1,0,295.826,0.24,34.69110767,135.517309, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.2,00:00:00.600,0,1,0,1,0,295.856,0.203,34.69110767,135.517309, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.3,00:00:00.670,0,1,0,1,0,295.856,0.203,34.69110733,135.5173092, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.3,00:00:00.730,0,1,0,1,0,295.856,0.203,34.69110733,135.5173092, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.4,00:00:00.800,0,1,0,1,0,295.872,0.166,34.69110733,135.5173092, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.5,00:00:00.870,0,1,0,1,0,295.872,0.166,34.69110733,135.5173088, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.5,00:00:00.930,0,1,0,1,0,295.872,0.166,34.69110733,135.5173088, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.6,00:00:01.000,0,1,0,1,0,295.841,0.166,34.69110733,135.5173088, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.7,00:00:01.070,0,1,0,1,0,295.841,0.166,34.6911075,135.5173083, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.7,00:00:01.130,0,1,0,1,0,295.841,0.166,34.6911075,135.5173083, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.8,00:00:01.200,0,1,0,1,0,295.795,0.185,34.6911075,135.5173083, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.9,00:00:01.270,0,1,0,1,0,295.795,0.185,34.6911075,135.517307, T 7,0,0,0,0,0,0,0,0,0,0,
15:59.9,00:00:01.330,0,1,0,1,0,295.795,0.185,34.6911075,135.517307, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.0,00:00:01.400,0,1,0,1,0,295.674,0.185,34.6911075,135.517307, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.1,00:00:01.470,0,1,0,2,0,295.674,0.185,34.69110733,135.5173058, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.1,00:00:01.530,0,1,0,2,0,295.674,0.185,34.69110733,135.5173058, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.2,00:00:01.600,0,1,0,2,0,295.567,0.166,34.69110733,135.5173058, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.3,00:00:01.670,0,1,0,2,0,295.567,0.166,34.69110683,135.5173047, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.3,00:00:01.730,0,1,0,2,0,295.567,0.166,34.69110683,135.5173047, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.4,00:00:01.800,0,1,0,2,0,295.46,0.111,34.69110683,135.5173047, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.5,00:00:01.870,0,1,0,2,0,295.46,0.111,34.6911065,135.5173038, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.5,00:00:01.930,0,1,0,2,0,295.46,0.111,34.6911065,135.5173038, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.6,00:00:02.000,0,1,0,2,0,295.384,0.074,34.6911065,135.5173038, T 7,0,0,0,0,0,0,0,0,0,0,
16:00.7,00:00:02.070,0,1,0.559,2,0.034,295.313,0.062,34.69110617,135.5173015, T 7,3.039,0,0,0,0,0,0,0,3.039,0.608,
16:00.7,00:00:02.130,0,1,0.656,2,0.075,295.242,0.049,34.69110617,135.5173015, T 7,3.039,0,0,0,0,0,0,0,3.039,0.608,
16:00.8,00:00:02.200,0,1,0.753,2,0.122,295.171,0.037,34.69110617,135.5173015, T 7,3.039,0,0,0,0,0,0,0,3.039,0.608,
16:00.9,00:00:02.270,0,1,0.839,3,0.175,295.089,0.049,34.6911065,135.5172988, T 7,1.368,0,0,0,0,0,0,0,1.368,0.882,
16:00.9,00:00:02.330,0,1,0.924,3,0.233,295.008,0.062,34.6911065,135.5172988, T 7,1.368,0,0,0,0,0,0,0,1.368,0.882,
16:01.0,00:00:02.400,0,1,1.01,3,0.298,294.927,0.074,34.6911065,135.5172988, T 7,1.368,0,0,0,0,0,0,0,1.368,0.882,
16:01.1,00:00:02.470,0,1,0.981,3,0.364,294.881,0.074,34.6911065,135.5172973, T 7,0.427,0,0,0,0,0,0,0,0.427,0.967,
16:01.1,00:00:02.530,0,1,0.953,3,0.429,294.835,0.074,34.6911065,135.5172973, T 7,0.427,0,0,0,0,0,0,0,0.427,0.967,
16:01.2,00:00:02.600,0,1,0.924,3,0.491,294.79,0.074,34.6911065,135.5172973, T 7,0.427,0,0,0,0,0,0,0,0.427,0.967,
16:01.3,00:00:02.670,0,1,0.874,3,0.551,294.754,0.08,34.69110667,135.5172962, T 8,-0.589,0,0,0,0,0,0,0,-0.589,0.849,
16:01.3,00:00:02.730,0,1,0.824,3,0.608,294.719,0.086,34.69110667,135.5172962, T 8,-0.589,0,0,0,0,0,0,0,-0.589,0.849,
16:01.4,00:00:02.800,0,1,0.774,3,0.661,294.683,0.092,34.69110667,135.5172962, T 8,-0.589,0,0,0,0,0,0,0,-0.589,0.849,
16:01.5,00:00:02.870,0,1,0.873,3,0.716,294.587,0.092,34.69110667,135.517293, T 8,0.367,0,0,0,0,0,0,0,0.367,0.922,
