Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102122709,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,15:15:58.600,,,,,,,,,,,,,,,,,,,,,
End,15:17:22.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
15:58.6,00:00:00.000,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,,0,0,0,0,0,0,0,0,0,
15:58.7,00:00:00.070,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:58.7,00:00:00.130,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:58.8,00:00:00.200,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:58.9,00:00:00.270,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:58.9,00:00:00.330,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.0,00:00:00.400,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.1,00:00:00.470,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.1,00:00:00.530,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.2,00:00:00.600,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.3,00:00:00.670,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.3,00:00:00.730,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.4,00:00:00.800,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.5,00:00:00.870,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.5,00:00:00.930,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.6,00:00:01.000,0,1,0,1,0,288.664,0,34.6912135,135.517325, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.7,00:00:01.070,0,1,0,2,0,288.664,0,34.69121367,135.5173247, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.7,00:00:01.130,0,1,0,2,0,288.664,0,34.69121367,135.5173247, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.8,00:00:01.200,0,1,0,2,0,288.634,0.018,34.69121367,135.5173247, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.9,00:00:01.270,0,1,0,2,0,288.634,0.018,34.691214,135.5173232, T 8,0,0,0,0,0,0,0,0,0,0,
15:59.9,00:00:01.330,0,1,0,2,0,288.634,0.018,34.691214,135.5173232, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.0,00:00:01.400,0,1,0,2,0,288.497,0.055,34.691214,135.5173232, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.1,00:00:01.470,0,1,0,2,0,288.497,0.055,34.6912145,135.5173222, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.1,00:00:01.530,0,1,0,2,0,288.497,0.055,34.6912145,135.5173222, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.2,00:00:01.600,0,1,0,2,0,288.405,0.111,34.6912145,135.5173222, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.3,00:00:01.670,0,1,0,1,0,288.405,0.111,34.69121467,135.5173208, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.3,00:00:01.730,0,1,0,1,0,288.405,0.111,34.69121467,135.5173208, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.4,00:00:01.800,0,1,0,1,0,288.283,0.129,34.69121467,135.5173208, T 8,0,0,0,0,0,0,0,0,0,0,
16:00.5,00:00:01.870,0,1,0.488,2,0.028,288.227,0.123,34.6912145,135.517319, T 8,2.751,0,0,0,0,0,0,0,2.751,0.55,
16:00.5,00:00:01.930,0,1,0.613,2,0.065,288.171,0.117,34.6912145,135.517319, T 8,2.751,0,0,0,0,0,0,0,2.751,0.55,
16:00.6,00:00:02.000,0,1,0.737,2,0.11,288.116,0.111,34.6912145,135.517319, T 8,2.751,0,0,0,0,0,0,0,2.751,0.55,
16:00.7,00:00:02.070,0,1,0.93,4,0.166,288.019,0.111,34.6912145,135.5173158, T 8,2.381,0,0,0,0,0,0,0,2.381,1.026,
16:00.7,00:00:02.130,0,1,1.123,4,0.234,287.923,0.111,34.6912145,135.5173158, T 8,2.381,0,0,0,0,0,0,0,2.381,1.026,
16:00.8,00:00:02.200,0,1,1.315,4,0.315,287.826,0.111,34.6912145,135.5173158, T 8,2.381,0,0,0,0,0,0,0,2.381,1.026,
16:00.9,00:00:02.270,0,1,1.339,4,0.404,287.725,0.111,34.6912145,135.5173125, T 8,1.626,0,0,0,0,0,0,0,1.626,1.351,
16:00.9,00:00:02.330,0,1,1.363,4,0.494,287.623,0.111,34.6912145,135.5173125, T 8,1.626,0,0,0,0,0,0,0,1.626,1.351,
16:01.0,00:00:02.400,0,1,1.387,4,0.586,287.521,0.111,34.6912145,135.5173125, T 8,1.626,0,0,0,0,0,0,0,1.626,1.351,
16:01.1,00:00:02.470,0,1,1.302,3,0.675,287.44,0.117,34.69121467,135.5173098, T 8,-0.46,0,0,0,0,0,0,0,-0.46,1.259,
16:01.1,00:00:02.530,0,1,1.217,3,0.759,287.359,0.123,34.69121467,135.5173098, T 8,-0.46,0,0,0,0,0,0,0,-0.46,1.259,
16:01.2,00:00:02.600,0,1,1.131,3,0.837,287.278,0.129,34.69121467,135.5173098, T 8,-0.46,0,0,0,0,0,0,0,-0.46,1.259,
16:01.3,00:00:02.670,0,1,1.118,3,0.912,287.212,0.136,34.69121483,135.5173077, T 8,-0.742,0,0,0,0,0,0,0,-0.742,1.111,
16:01.3,00:00:02.730,0,1,1.104,3,0.986,287.146,0.142,34.69121483,135.5173077, T 8,-0.742,0,0,0,0,0,0,0,-0.742,1.111,
16:01.4,00:00:02.800,0,1,1.091,3,1.06,287.08,0.148,34.69121483,135.5173077, T 8,-0.742,0,0,0,0,0,0,0,-0.742,1.111,
16:01.5,00:00:02.870,0,1,1.257,4,1.138,286.978,0.16,34.69121517,135.5173043, T 8,1.147,0,0,0,0,0,0,0,1.147,1.34,
16:01.5,00:00:02.930,0,1,1.424,4,1.227,286.876,0.173,34.69121517,135.5173043, T 8,1.147,0,0,0,0,0,0,0,1.147,1.34,
16:01.6,00:00:03.000,0,1,1.59,4,1.328,286.775,0.185,34.69121517,135.5173043, T 8,1.147,0,0,0,0,0,0,0,1.147,1.34,
16:01.7,00:00:03.070,0,1,1.629,4,1.435,286.653,0.191,34.69121533,135.5173003, T 8,1.538,0,0,0,0,0,0,0,1.538,1.648,
16:01.7,00:00:03.130,0,1,1.667,4,1.545,286.531,0.197,34.69121533,135.5173003, T 8,1.538,0,0,0,0,0,0,0,1.538,1.648,
16:01.8,00:00:03.200,0,1,1.706,4,1.657,286.409,0.203,34.69121533,135.5173003, T 8,1.538,0,0,0,0,0,0,0,1.538,1.648,
16:01.9,00:00:03.270,0,1,1.649,4,1.769,286.313,0.216,34.69121567,135.5172972, T 8,-0.135,0,0,0,0,0,0,0,-0.135,1.621,
16:01.9,00:00:03.330,0,1,1.593,4,1.877,286.216,0.228,34.69121567,135.5172972, T 8,-0.135,0,0,0,0,0,0,0,-0.135,1.621,
16:02.0,00:00:03.400,0,1,1.536,4,1.982,286.12,0.24,34.69121567,135.5172972, T 8,-0.135,0,0,0,0,0,0,0,-0.135,1.621,
16:02.1,00:00:03.470,0,1,1.448,4,2.081,286.038,0.234,34.6912155,135.5172945, T 8,-1.087,0,0,0,0,0,0,0,-1.087,1.404,
16:02.1,00:00:03.530,0,1,1.36,4,2.175,285.957,0.228,34.6912155,135.5172945, T 8,-1.087,0,0,0,0,0,0,0,-1.087,1.404,
16:02.2,00:00:03.600,0,1,1.271,4,2.262,285.876,0.222,34.6912155,135.5172945, T 8,-1.087,0,0,0,0,0,0,0,-1.087,1.404,
16:02.3,00:00:03.670,0,1,1.506,5,2.355,285.739,0.216,34.69121533,135.51729, T 8,1.098,0,0,0,0,0,0,0,1.098,1.623,
16:02.3,00:00:03.730,0,1,1.741,5,2.463,285.602,0.21,34.69121533,135.51729, T 8,1.098,0,0,0,0,0,0,0,1.098,1.623,
16:02.4,00:00:03.800,0,1,1.975,5,2.587,285.464,0.203,34.69121533,135.51729, T 8,1.098,0,0,0,0,0,0,0,1.098,1.623,
16:02.5,00:00:03.870,0,1,2.003,5,2.72,285.327,0.203,34.69121533,135.5172855, T 8,1.968,0,0,0,0,0,0,0,1.968,2.017,
16:02.5,00:00:03.930,0,1,2.031,5,2.854,285.19,0.203,34.69121533,135.5172855, T 8,1.968,0,0,0,0,0,0,0,1.968,2.017,
16:02.6,00:00:04.000,0,1,2.058,5,2.99,285.053,0.203,34.69121533,135.5172855, T 8,1.968,0,0,0,0,0,0,0,1.968,2.017,
16:02.7,00:00:04.070,0,1,1.979,5,3.125,284.941,0.216,34.69121567,135.5172818, T 8,-0.386,0,0,0,0,0,0,0,-0.386,1.94,
16:02.7,00:00:04.130,0,1,1.9,5,3.254,284.83,0.228,34.69121567,135.5172818, T 8,-0.386,0,0,0,0,0,0,0,-0.386,1.94,
16:02.8,00:00:04.200,0,1,1.821,5,3.378,284.718,0.24,34.69121567,135.5172818, T 8,-0.386,0,0,0,0,0,0,0,-0.386,1.94,
