Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102152428,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,15:39:47.800,,,,,,,,,,,,,,,,,,,,,
End,15:41:04.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
39:47.8,00:00:00.000,0,1,0,1,0,290.676,0.055,34.6911045,135.517249, T 9,,0,0,0,0,0,0,0,0,0,
39:47.9,00:00:00.070,0,1,0,1,0,290.676,0.055,34.6911045,135.517249, T 9,0,0,0,0,0,0,0,0,0,0,
39:47.9,00:00:00.130,0,1,0,1,0,290.676,0.055,34.6911045,135.517249, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.0,00:00:00.200,0,1,0,1,0,290.676,0.055,34.6911045,135.517249, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.1,00:00:00.270,0,1,0,1,0,290.676,0.055,34.69110417,135.5172505, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.1,00:00:00.330,0,1,0,1,0,290.676,0.055,34.69110417,135.5172505, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.2,00:00:00.400,0,1,0,1,0,290.813,0.018,34.69110417,135.5172505, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.470,0,1,0,1,0,290.813,0.018,34.691104,135.517252, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.530,0,1,0,1,0,290.813,0.018,34.691104,135.517252, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.4,00:00:00.600,0,1,0,1,0,290.95,0,34.691104,135.517252, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.670,0,1,0,1,0,290.95,0,34.691104,135.5172525, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.730,0,1,0,1,0,290.95,0,34.691104,135.5172525, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.6,00:00:00.800,0,1,0,1,0,290.996,0,34.691104,135.5172525, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.7,00:00:00.870,0,1,0,1,0,290.996,0,34.69110433,135.5172527, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.7,00:00:00.930,0,1,0,1,0,290.996,0,34.69110433,135.5172527, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.8,00:00:01.000,0,1,0,1,0,291.011,0.037,34.69110433,135.5172527, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.9,00:00:01.070,0,1,0,3,0,291.011,0.037,34.6911045,135.5172515, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.9,00:00:01.130,0,1,0,3,0,291.011,0.037,34.6911045,135.5172515, T 9,0,0,0,0,0,0,0,0,0,0,
39:49.0,00:00:01.200,0,1,0,3,0,290.904,0.055,34.6911045,135.5172515, T 9,0,0,0,0,0,0,0,0,0,0,
39:49.1,00:00:01.270,0,1,0.81,2,0.056,290.879,0.068,34.69110483,135.5172507, T 9,3.894,0,0,0,0,0,0,0,3.894,0.779,
39:49.1,00:00:01.330,0,1,0.748,2,0.108,290.854,0.08,34.69110483,135.5172507, T 9,3.894,0,0,0,0,0,0,0,3.894,0.779,
39:49.2,00:00:01.400,0,1,0.686,2,0.156,290.828,0.092,34.69110483,135.5172507, T 9,3.894,0,0,0,0,0,0,0,3.894,0.779,
39:49.3,00:00:01.470,0,1,0.611,2,0.199,290.813,0.117,34.6911055,135.5172502, T 9,-1.025,0,0,0,0,0,0,0,-1.025,0.574,
39:49.3,00:00:01.530,0,1,0.537,2,0.237,290.798,0.142,34.6911055,135.5172502, T 9,-1.025,0,0,0,0,0,0,0,-1.025,0.574,
39:49.4,00:00:01.600,0,1,0.462,2,0.271,290.782,0.166,34.6911055,135.5172502, T 9,-1.025,0,0,0,0,0,0,0,-1.025,0.574,
39:49.5,00:00:01.670,0,1,0.609,3,0.306,290.732,0.166,34.6911055,135.5172485, T 9,0.541,0,0,0,0,0,0,0,0.541,0.682,
39:49.5,00:00:01.730,0,1,0.756,3,0.352,290.681,0.166,34.6911055,135.5172485, T 9,0.541,0,0,0,0,0,0,0,0.541,0.682,
39:49.6,00:00:01.800,0,1,0.902,3,0.407,290.63,0.166,34.6911055,135.5172485, T 9,0.541,0,0,0,0,0,0,0,0.541,0.682,
39:49.7,00:00:01.870,0,1,1.095,4,0.474,290.534,0.16,34.69110533,135.5172453, T 9,2.543,0,0,0,0,0,0,0,2.543,1.191,
39:49.7,00:00:01.930,0,1,1.287,4,0.553,290.437,0.154,34.69110533,135.5172453, T 9,2.543,0,0,0,0,0,0,0,2.543,1.191,
39:49.8,00:00:02.000,0,1,1.479,4,0.645,290.341,0.148,34.69110533,135.5172453, T 9,2.543,0,0,0,0,0,0,0,2.543,1.191,
39:49.9,00:00:02.070,0,1,1.559,4,0.746,290.229,0.148,34.69110533,135.5172417, T 9,2.04,0,0,0,0,0,0,0,2.04,1.599,
39:49.9,00:00:02.130,0,1,1.639,4,0.853,290.117,0.148,34.69110533,135.5172417, T 9,2.04,0,0,0,0,0,0,0,2.04,1.599,
39:50.0,00:00:02.200,0,1,1.718,4,0.965,290.005,0.148,34.69110533,135.5172417, T 9,2.04,0,0,0,0,0,0,0,2.04,1.599,
39:50.1,00:00:02.270,0,1,1.567,4,1.074,289.914,0.148,34.69110533,135.5172387, T 9,-0.536,0,0,0,0,0,0,0,-0.536,1.491,
39:50.1,00:00:02.330,0,1,1.416,4,1.174,289.823,0.148,34.69110533,135.5172387, T 9,-0.536,0,0,0,0,0,0,0,-0.536,1.491,
39:50.2,00:00:02.400,0,1,1.265,4,1.263,289.731,0.148,34.69110533,135.5172387, T 9,-0.536,0,0,0,0,0,0,0,-0.536,1.491,
39:50.3,00:00:02.470,0,1,1.259,4,1.347,289.665,0.148,34.69110533,135.5172365, T 9,-1.178,0,0,0,0,0,0,0,-1.178,1.256,
39:50.3,00:00:02.530,0,1,1.253,4,1.431,289.599,0.148,34.69110533,135.5172365, T 9,-1.178,0,0,0,0,0,0,0,-1.178,1.256,
39:50.4,00:00:02.600,0,1,1.247,4,1.514,289.533,0.148,34.69110533,135.5172365, T 9,-1.178,0,0,0,0,0,0,0,-1.178,1.256,
39:50.5,00:00:02.670,0,1,1.436,5,1.604,289.421,0.148,34.69110533,135.5172328, T 9,1.372,0,0,0,0,0,0,0,1.372,1.53,
39:50.5,00:00:02.730,0,1,1.625,5,1.706,289.31,0.148,34.69110533,135.5172328, T 9,1.372,0,0,0,0,0,0,0,1.372,1.53,
39:50.6,00:00:02.800,0,1,1.813,5,1.82,289.198,0.148,34.69110533,135.5172328, T 9,1.372,0,0,0,0,0,0,0,1.372,1.53,
39:50.7,00:00:02.870,0,1,1.897,5,1.944,289.051,0.148,34.69110533,135.517228, T 9,2.041,0,0,0,0,0,0,0,2.041,1.938,
39:50.7,00:00:02.930,0,1,1.98,5,2.073,288.903,0.148,34.69110533,135.517228, T 9,2.041,0,0,0,0,0,0,0,2.041,1.938,
39:50.8,00:00:03.000,0,1,2.063,5,2.208,288.756,0.148,34.69110533,135.517228, T 9,2.041,0,0,0,0,0,0,0,2.041,1.938,
39:50.9,00:00:03.070,0,1,1.944,4,2.342,288.634,0.148,34.69110533,135.517224, T 9,-0.27,0,0,0,0,0,0,0,-0.27,1.884,
39:50.9,00:00:03.130,0,1,1.825,4,2.467,288.512,0.148,34.69110533,135.517224, T 9,-0.27,0,0,0,0,0,0,0,-0.27,1.884,
39:51.0,00:00:03.200,0,1,1.705,4,2.585,288.39,0.148,34.69110533,135.517224, T 9,-0.27,0,0,0,0,0,0,0,-0.27,1.884,
39:51.1,00:00:03.270,0,1,1.745,5,2.7,288.273,0.148,34.69110533,135.5172202, T 9,-0.598,0,0,0,0,0,0,0,-0.598,1.765,
39:51.1,00:00:03.330,0,1,1.785,5,2.818,288.157,0.148,34.69110533,135.5172202, T 9,-0.598,0,0,0,0,0,0,0,-0.598,1.765,
39:51.2,00:00:03.400,0,1,1.824,5,2.938,288.04,0.148,34.69110533,135.5172202, T 9,-0.598,0,0,0,0,0,0,0,-0.598,1.765,
39:51.3,00:00:03.470,0,1,2.067,6,3.068,287.872,0.142,34.69110517,135.5172147, T 9,2.12,0,0,0,0,0,0,0,2.12,2.189,
39:51.3,00:00:03.530,0,1,2.31,6,3.213,287.705,0.136,34.69110517,135.5172147, T 9,2.12,0,0,0,0,0,0,0,2.12,2.189,
39:51.4,00:00:03.600,0,1,2.553,6,3.376,287.537,0.129,34.69110517,135.5172147, T 9,2.12,0,0,0,0,0,0,0,2.12,2.189,
39:51.5,00:00:03.670,0,1,2.491,6,3.544,287.369,0.136,34.69110533,135.5172092, T 9,1.358,0,0,0,0,0,0,0,1.358,2.46,
39:51.5,00:00:03.730,0,1,2.429,6,3.708,287.202,0.142,34.69110533,135.5172092, T 9,1.358,0,0,0,0,0,0,0,1.358,2.46,
39:51.6,00:00:03.800,0,1,2.367,6,3.868,287.034,0.148,34.69110533,135.5172092, T 9,1.358,0,0,0,0,0,0,0,1.358,2.46,
39:51.7,00:00:03.870,0,1,2.271,5,4.022,286.892,0.148,34.69110533,135.5172045, T 9,-1.187,0,0,0,0,0,0,0,-1.187,2.223,
39:51.7,00:00:03.930,0,1,2.175,5,4.17,286.75,0.148,34.69110533,135.5172045, T 9,-1.187,0,0,0,0,0,0,0,-1.187,2.223,
39:51.8,00:00:04.000,0,1,2.078,5,4.312,286.608,0.148,34.69110533,135.5172045, T 9,-1.187,0,0,0,0,0,0,0,-1.187,2.223,
39:51.9,00:00:04.070,0,1,2.222,6,4.456,286.445,0.148,34.69110533,135.5171992, T 9,0.355,0,0,0,0,0,0,0,0.355,2.294,
39:51.9,00:00:04.130,0,1,2.366,6,4.609,286.282,0.148,34.69110533,135.5171992, T 9,0.355,0,0,0,0,0,0,0,0.355,2.294,
39:52.0,00:00:04.200,0,1,2.509,6,4.771,286.12,0.148,34.69110533,135.5171992, T 9,0.355,0,0,0,0,0,0,0,0.355,2.294,
39:52.1,00:00:04.270,0,1,2.607,6,4.942,285.947,0.148,34.69110533,135.5171935, T 9,1.806,0,0,0,0,0,0,0,1.806,2.655,
39:52.1,00:00:04.330,0,1,2.704,6,5.119,285.775,0.148,34.69110533,135.5171935, T 9,1.806,0,0,0,0,0,0,0,1.806,2.655,
39:52.2,00:00:04.400,0,1,2.801,6,5.302,285.602,0.148,34.69110533,135.5171935, T 9,1.806,0,0,0,0,0,0,0,1.806,2.655,
39:52.3,00:00:04.470,0,1,2.638,6,5.483,285.439,0.154,34.6911055,135.5171882, T 9,-0.493,0,0,0,0,0,0,0,-0.493,2.557,
39:52.3,00:00:04.530,0,1,2.475,6,5.654,285.277,0.16,34.6911055,135.5171882, T 9,-0.493,0,0,0,0,0,0,0,-0.493,2.557,
39:52.4,00:00:04.600,0,1,2.312,6,5.813,285.114,0.166,34.6911055,135.5171882, T 9,-0.493,0,0,0,0,0,0,0,-0.493,2.557,
39:52.5,00:00:04.670,0,1,2.362,6,5.969,284.957,0.166,34.6911055,135.517183, T 9,-0.849,0,0,0,0,0,0,0,-0.849,2.387,
39:52.5,00:00:04.730,0,1,2.412,6,6.128,284.799,0.166,34.6911055,135.517183, T 9,-0.849,0,0,0,0,0,0,0,-0.849,2.387,
39:52.6,00:00:04.800,0,1,2.461,6,6.291,284.642,0.166,34.6911055,135.517183, T 9,-0.849,0,0,0,0,0,0,0,-0.849,2.387,
39:52.7,00:00:04.870,0,1,2.699,0,6.463,284.439,0.173,34.69110567,135.5171763, T 9,2.153,0,0,0,0,0,0,0,2.153,2.817,
39:52.7,00:00:04.930,0,1,2.936,0,6.65,284.236,0.179,34.69110567,135.5171763, T 9,2.153,0,0,0,0,0,0,0,2.153,2.817,
39:52.8,00:00:05.000,0,1,3.174,0,6.854,284.032,0.185,34.69110567,135.5171763, T 9,2.153,0,0,0,0,0,0,0,2.153,2.817,
39:52.9,00:00:05.070,0,1,3.02,6,7.061,283.814,0.179,34.6911055,135.5171692, T 9,0.626,0,0,0,0,0,0,0,0.626,2.943,
39:52.9,00:00:05.130,0,1,2.866,6,7.257,283.596,0.173,34.6911055,135.5171692, T 9,0.626,0,0,0,0,0,0,0,0.626,2.943,
39:53.0,00:00:05.200,0,1,2.712,6,7.443,283.377,0.166,34.6911055,135.5171692, T 9,0.626,0,0,0,0,0,0,0,0.626,2.943,
39:53.1,00:00:05.270,0,1,2.721,6,7.624,283.189,0.16,34.69110533,135.517163, T 9,-1.083,0,0,0,0,0,0,0,-1.083,2.726,
39:53.1,00:00:05.330,0,1,2.731,6,7.806,283.001,0.154,34.69110533,135.517163, T 9,-1.083,0,0,0,0,0,0,0,-1.083,2.726,
39:53.2,00:00:05.400,0,1,2.74,6,7.988,282.814,0.148,34.69110533,135.517163, T 9,-1.083,0,0,0,0,0,0,0,-1.083,2.726,
39:53.3,00:00:05.470,0,1,2.902,0,8.176,282.595,0.16,34.69110567,135.5171558, T 9,1.281,0,0,0,0,0,0,0,1.281,2.982,
39:53.3,00:00:05.530,0,1,3.063,0,8.375,282.377,0.173,34.69110567,135.5171558, T 9,1.281,0,0,0,0,0,0,0,1.281,2.982,
39:53.4,00:00:05.600,0,1,3.224,0,8.584,282.158,0.185,34.69110567,135.5171558, T 9,1.281,0,0,0,0,0,0,0,1.281,2.982,
39:53.5,00:00:05.670,0,1,3.085,6,8.795,281.965,0.197,34.691106,135.5171495, T 9,0.168,0,0,0,0,0,0,0,0.168,3.016,
39:53.5,00:00:05.730,0,1,2.947,6,8.996,281.772,0.21,34.691106,135.5171495, T 9,0.168,0,0,0,0,0,0,0,0.168,3.016,
39:53.6,00:00:05.800,0,1,2.808,6,9.188,281.579,0.222,34.691106,135.5171495, T 9,0.168,0,0,0,0,0,0,0,0.168,3.016,
39:53.7,00:00:05.870,0,1,2.827,6,9.375,281.396,0.216,34.69110583,135.5171435, T 9,-0.899,0,0,0,0,0,0,0,-0.899,2.836,
39:53.7,00:00:05.930,0,1,2.846,6,9.564,281.214,0.21,34.69110583,135.5171435, T 9,-0.899,0,0,0,0,0,0,0,-0.899,2.836,
39:53.8,00:00:06.000,0,1,2.864,6,9.755,281.031,0.203,34.69110583,135.5171435, T 9,-0.899,0,0,0,0,0,0,0,-0.899,2.836,
39:53.9,00:00:06.070,0,1,3.002,0,9.95,280.807,0.216,34.69110617,135.5171362, T 9,1.17,0,0,0,0,0,0,0,1.17,3.07,
39:53.9,00:00:06.130,0,1,3.139,0,10.155,280.584,0.228,34.69110617,135.5171362, T 9,1.17,0,0,0,0,0,0,0,1.17,3.07,
39:54.0,00:00:06.200,0,1,3.276,0,10.369,280.36,0.24,34.69110617,135.5171362, T 9,1.17,0,0,0,0,0,0,0,1.17,3.07,
39:54.1,00:00:06.270,0,1,3.128,6,10.582,280.167,0.259,34.69110667,135.5171298, T 9,-0.084,0,0,0,0,0,0,0,-0.084,3.053,
39:54.1,00:00:06.330,0,1,2.979,6,10.786,279.974,0.277,34.69110667,135.5171298, T 9,-0.084,0,0,0,0,0,0,0,-0.084,3.053,
39:54.2,00:00:06.400,0,1,2.831,6,10.979,279.781,0.296,34.69110667,135.5171298, T 9,-0.084,0,0,0,0,0,0,0,-0.084,3.053,
39:54.3,00:00:06.470,0,1,2.941,0,11.172,279.553,0.296,34.69110667,135.5171223, T 9,-0.284,0,0,0,0,0,0,0,-0.284,2.997,
39:54.3,00:00:06.530,0,1,3.052,0,11.372,279.324,0.296,34.69110667,135.5171223, T 9,-0.284,0,0,0,0,0,0,0,-0.284,2.997,
39:54.4,00:00:06.600,0,1,3.162,0,11.579,279.096,0.296,34.69110667,135.5171223, T 9,-0.284,0,0,0,0,0,0,0,-0.284,2.997,
39:54.5,00:00:06.670,0,1,3.28,0,11.794,278.847,0.302,34.69110683,135.5171142, T 9,1.708,0,0,0,0,0,0,0,1.708,3.338,
39:54.5,00:00:06.730,0,1,3.397,0,12.016,278.598,0.308,34.69110683,135.5171142, T 9,1.708,0,0,0,0,0,0,0,1.708,3.338,
39:54.6,00:00:06.800,0,1,3.514,0,12.246,278.349,0.314,34.69110683,135.5171142, T 9,1.708,0,0,0,0,0,0,0,1.708,3.338,
39:54.7,00:00:06.870,0,1,3.365,0,12.476,278.136,0.327,34.69110717,135.5171072, T 9,-0.241,0,0,0,0,0,0,0,-0.241,3.29,
39:54.7,00:00:06.930,0,1,3.215,0,12.695,277.922,0.339,34.69110717,135.5171072, T 9,-0.241,0,0,0,0,0,0,0,-0.241,3.29,
39:54.8,00:00:07.000,0,1,3.066,0,12.904,277.709,0.351,34.69110717,135.5171072, T 9,-0.241,0,0,0,0,0,0,0,-0.241,3.29,
39:54.9,00:00:07.070,0,1,3.236,0,13.115,277.46,0.345,34.691107,135.517099, T 8,0.152,0,0,0,0,0,0,0,0.152,3.32,
39:54.9,00:00:07.130,0,1,3.405,0,13.336,277.211,0.339,34.691107,135.517099, T 8,0.152,0,0,0,0,0,0,0,0.152,3.32,
