Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,15:39:48.000,,,,,,,,,,,,,,,,,,,,,
End,15:41:07.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
39:48.0,00:00:00.000,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,,0,0,0,0,0,0,0,0,0,
39:48.1,00:00:00.070,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.1,00:00:00.130,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.2,00:00:00.200,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.270,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.330,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.4,00:00:00.400,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.470,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.530,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.6,00:00:00.600,0,1,0,1,0,308.061,0.758,34.6911415,135.5172627, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.7,00:00:00.670,0,1,0,2,0,308.061,0.758,34.69114133,135.5172613, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.7,00:00:00.730,0,1,0,2,0,308.061,0.758,34.69114133,135.5172613, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.8,00:00:00.800,0,1,0,2,0,307.939,0.74,34.69114133,135.5172613, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.9,00:00:00.870,0,1,0.769,3,0.049,307.873,0.74,34.69114133,135.5172592, T 9,3.988,0,0,0,0,0,0,0,3.988,0.798,
39:48.9,00:00:00.930,0,1,0.826,3,0.103,307.807,0.74,34.69114133,135.5172592, T 9,3.988,0,0,0,0,0,0,0,3.988,0.798,
39:49.0,00:00:01.000,0,1,0.882,3,0.16,307.741,0.74,34.69114133,135.5172592, T 9,3.988,0,0,0,0,0,0,0,3.988,0.798,
39:49.1,00:00:01.070,0,1,0.799,2,0.216,307.695,0.746,34.6911415,135.5172577, T 9,-0.199,0,0,0,0,0,0,0,-0.199,0.758,
39:49.1,00:00:01.130,0,1,0.716,2,0.266,307.65,0.752,34.6911415,135.5172577, T 9,-0.199,0,0,0,0,0,0,0,-0.199,0.758,
39:49.2,00:00:01.200,0,1,0.633,2,0.311,307.604,0.758,34.6911415,135.5172577, T 9,-0.199,0,0,0,0,0,0,0,-0.199,0.758,
39:49.3,00:00:01.270,0,1,0.627,2,0.353,307.563,0.758,34.6911415,135.5172563, T 9,-0.669,0,0,0,0,0,0,0,-0.669,0.624,
39:49.3,00:00:01.330,0,1,0.621,2,0.395,307.523,0.758,34.6911415,135.5172563, T 9,-0.669,0,0,0,0,0,0,0,-0.669,0.624,
39:49.4,00:00:01.400,0,1,0.615,2,0.436,307.482,0.758,34.6911415,135.5172563, T 9,-0.669,0,0,0,0,0,0,0,-0.669,0.624,
39:49.5,00:00:01.470,0,1,0.818,3,0.484,307.365,0.758,34.6911415,135.5172525, T 9,1.478,0,0,0,0,0,0,0,1.478,0.92,
39:49.5,00:00:01.530,0,1,1.021,3,0.545,307.248,0.758,34.6911415,135.5172525, T 9,1.478,0,0,0,0,0,0,0,1.478,0.92,
39:49.6,00:00:01.600,0,1,1.224,3,0.62,307.132,0.758,34.6911415,135.5172525, T 9,1.478,0,0,0,0,0,0,0,1.478,0.92,
39:49.7,00:00:01.670,0,1,1.312,4,0.704,307.015,0.752,34.69114133,135.5172487, T 9,2.184,0,0,0,0,0,0,0,2.184,1.356,
39:49.7,00:00:01.730,0,1,1.4,4,0.795,306.898,0.746,34.69114133,135.5172487, T 9,2.184,0,0,0,0,0,0,0,2.184,1.356,
39:49.8,00:00:01.800,0,1,1.488,4,0.891,306.781,0.74,34.69114133,135.5172487, T 9,2.184,0,0,0,0,0,0,0,2.184,1.356,
39:49.9,00:00:01.870,0,1,1.433,4,0.988,306.7,0.74,34.69114133,135.517246, T 9,0.248,0,0,0,0,0,0,0,0.248,1.406,
39:49.9,00:00:01.930,0,1,1.379,4,1.082,306.619,0.74,34.69114133,135.517246, T 9,0.248,0,0,0,0,0,0,0,0.248,1.406,
39:50.0,00:00:02.000,0,1,1.324,4,1.172,306.537,0.74,34.69114133,135.517246, T 9,0.248,0,0,0,0,0,0,0,0.248,1.406,
39:50.1,00:00:02.070,0,1,1.282,3,1.259,306.461,0.733,34.69114117,135.5172435, T 9,-0.725,0,0,0,0,0,0,0,-0.725,1.261,
39:50.1,00:00:02.130,0,1,1.24,3,1.343,306.385,0.727,34.69114117,135.5172435, T 9,-0.725,0,0,0,0,0,0,0,-0.725,1.261,
39:50.2,00:00:02.200,0,1,1.198,3,1.424,306.309,0.721,34.69114117,135.5172435, T 9,-0.725,0,0,0,0,0,0,0,-0.725,1.261,
39:50.3,00:00:02.270,0,1,1.413,5,1.511,306.141,0.709,34.69114083,135.517238, T 9,1.296,0,0,0,0,0,0,0,1.296,1.52,
39:50.3,00:00:02.330,0,1,1.628,5,1.613,305.974,0.696,34.69114083,135.517238, T 9,1.296,0,0,0,0,0,0,0,1.296,1.52,
39:50.4,00:00:02.400,0,1,1.842,5,1.728,305.806,0.684,34.69114083,135.517238, T 9,1.296,0,0,0,0,0,0,0,1.296,1.52,
39:50.5,00:00:02.470,0,1,1.858,5,1.852,305.669,0.659,34.69114017,135.5172335, T 9,1.73,0,0,0,0,0,0,0,1.73,1.866,
39:50.5,00:00:02.530,0,1,1.874,5,1.976,305.532,0.635,34.69114017,135.5172335, T 9,1.73,0,0,0,0,0,0,0,1.73,1.866,
39:50.6,00:00:02.600,0,1,1.89,5,2.102,305.395,0.61,34.69114017,135.5172335, T 9,1.73,0,0,0,0,0,0,0,1.73,1.866,
39:50.7,00:00:02.670,0,1,1.799,4,2.225,305.288,0.592,34.69113967,135.51723, T 9,-0.563,0,0,0,0,0,0,0,-0.563,1.753,
39:50.7,00:00:02.730,0,1,1.708,4,2.342,305.181,0.573,34.69113967,135.51723, T 9,-0.563,0,0,0,0,0,0,0,-0.563,1.753,
39:50.8,00:00:02.800,0,1,1.617,4,2.452,305.075,0.555,34.69113967,135.51723, T 9,-0.563,0,0,0,0,0,0,0,-0.563,1.753,
39:50.9,00:00:02.870,0,1,1.734,5,2.564,304.917,0.542,34.69113933,135.5172248, T 9,0.194,0,0,0,0,0,0,0,0.194,1.792,
39:50.9,00:00:02.930,0,1,1.851,5,2.684,304.76,0.53,34.69113933,135.5172248, T 9,0.194,0,0,0,0,0,0,0,0.194,1.792,
39:51.0,00:00:03.000,0,1,1.968,5,2.811,304.602,0.518,34.69113933,135.5172248, T 9,0.194,0,0,0,0,0,0,0,0.194,1.792,
39:51.1,00:00:03.070,0,1,2.054,5,2.945,304.435,0.493,34.69113867,135.5172193, T 9,1.524,0,0,0,0,0,0,0,1.524,2.097,
39:51.1,00:00:03.130,0,1,2.14,5,3.085,304.267,0.468,34.69113867,135.5172193, T 9,1.524,0,0,0,0,0,0,0,1.524,2.097,
39:51.2,00:00:03.200,0,1,2.227,5,3.23,304.099,0.444,34.69113867,135.5172193, T 9,1.524,0,0,0,0,0,0,0,1.524,2.097,
39:51.3,00:00:03.270,0,1,2.15,5,3.376,303.972,0.401,34.6911375,135.5172152, T 9,0.076,0,0,0,0,0,0,0,0.076,2.112,
39:51.3,00:00:03.330,0,1,2.074,5,3.517,303.846,0.357,34.6911375,135.5172152, T 9,0.076,0,0,0,0,0,0,0,0.076,2.112,
39:51.4,00:00:03.400,0,1,1.998,5,3.653,303.719,0.314,34.6911375,135.5172152, T 9,0.076,0,0,0,0,0,0,0,0.076,2.112,
39:51.5,00:00:03.470,0,1,2.071,5,3.788,303.551,0.302,34.69113717,135.5172097, T 9,-0.026,0,0,0,0,0,0,0,-0.026,2.107,
39:51.5,00:00:03.530,0,1,2.144,5,3.929,303.383,0.29,34.69113717,135.5172097, T 9,-0.026,0,0,0,0,0,0,0,-0.026,2.107,
39:51.6,00:00:03.600,0,1,2.216,5,4.074,303.216,0.277,34.69113717,135.5172097, T 9,-0.026,0,0,0,0,0,0,0,-0.026,2.107,
39:51.7,00:00:03.670,0,1,2.318,6,4.225,303.028,0.265,34.69113683,135.5172035, T 9,1.308,0,0,0,0,0,0,0,1.308,2.369,
39:51.7,00:00:03.730,0,1,2.42,6,4.383,302.84,0.253,34.69113683,135.5172035, T 9,1.308,0,0,0,0,0,0,0,1.308,2.369,
39:51.8,00:00:03.800,0,1,2.521,6,4.548,302.652,0.24,34.69113683,135.5172035, T 9,1.308,0,0,0,0,0,0,0,1.308,2.369,
39:51.9,00:00:03.870,0,1,2.471,6,4.714,302.495,0.222,34.69113633,135.5171983, T 9,0.385,0,0,0,0,0,0,0,0.385,2.446,
39:51.9,00:00:03.930,0,1,2.42,6,4.877,302.337,0.203,34.69113633,135.5171983, T 9,0.385,0,0,0,0,0,0,0,0.385,2.446,
39:52.0,00:00:04.000,0,1,2.37,6,5.037,302.18,0.185,34.69113633,135.5171983, T 9,0.385,0,0,0,0,0,0,0,0.385,2.446,
39:52.1,00:00:04.070,0,1,2.404,6,5.196,302.007,0.185,34.69113633,135.5171927, T 9,-0.123,0,0,0,0,0,0,0,-0.123,2.421,
39:52.1,00:00:04.130,0,1,2.438,6,5.358,301.834,0.185,34.69113633,135.5171927, T 9,-0.123,0,0,0,0,0,0,0,-0.123,2.421,
39:52.2,00:00:04.200,0,1,2.472,6,5.521,301.662,0.185,34.69113633,135.5171927, T 9,-0.123,0,0,0,0,0,0,0,-0.123,2.421,
39:52.3,00:00:04.270,0,1,2.576,6,5.69,301.453,0.166,34.69113583,135.5171858, T 9,1.037,0,0,0,0,0,0,0,1.037,2.628,
39:52.3,00:00:04.330,0,1,2.68,6,5.865,301.245,0.148,34.69113583,135.5171858, T 9,1.037,0,0,0,0,0,0,0,1.037,2.628,
39:52.4,00:00:04.400,0,1,2.785,6,6.047,301.037,0.129,34.69113583,135.5171858, T 9,1.037,0,0,0,0,0,0,0,1.037,2.628,
39:52.5,00:00:04.470,0,1,2.721,6,6.23,300.874,0.129,34.69113583,135.5171805, T 9,0.307,0,0,0,0,0,0,0,0.307,2.69,
39:52.5,00:00:04.530,0,1,2.658,6,6.41,300.712,0.129,34.69113583,135.5171805, T 9,0.307,0,0,0,0,0,0,0,0.307,2.69,
39:52.6,00:00:04.600,0,1,2.595,6,6.585,300.549,0.129,34.69113583,135.5171805, T 9,0.307,0,0,0,0,0,0,0,0.307,2.69,
39:52.7,00:00:04.670,0,1,2.681,6,6.761,300.356,0.123,34.69113567,135.5171742, T 9,0.174,0,0,0,0,0,0,0,0.174,2.724,
39:52.7,00:00:04.730,0,1,2.768,6,6.942,300.163,0.117,34.69113567,135.5171742, T 9,0.174,0,0,0,0,0,0,0,0.174,2.724,
39:52.8,00:00:04.800,0,1,2.854,6,7.13,299.97,0.111,34.69113567,135.5171742, T 9,0.174,0,0,0,0,0,0,0,0.174,2.724,
39:52.9,00:00:04.870,0,1,2.895,6,7.321,299.767,0.074,34.69113467,135.5171675, T 9,0.953,0,0,0,0,0,0,0,0.953,2.915,
39:52.9,00:00:04.930,0,1,2.935,6,7.516,299.564,0.037,34.69113467,135.5171675, T 9,0.953,0,0,0,0,0,0,0,0.953,2.915,
39:53.0,00:00:05.000,0,1,2.976,6,7.713,299.361,0,34.69113467,135.5171675, T 9,0.953,0,0,0,0,0,0,0,0.953,2.915,
39:53.1,00:00:05.070,0,1,2.947,6,7.91,299.163,0.006,34.69113483,135.517161, T 9,0.089,0,0,0,0,0,0,0,0.089,2.933,
39:53.1,00:00:05.130,0,1,2.918,6,8.106,298.965,0.012,34.69113483,135.517161, T 9,0.089,0,0,0,0,0,0,0,0.089,2.933,
39:53.2,00:00:05.200,0,1,2.89,6,8.299,298.767,0.018,34.69113483,135.517161, T 9,0.089,0,0,0,0,0,0,0,0.089,2.933,
39:53.3,00:00:05.270,0,1,3.045,0,8.497,298.508,0.062,34.691136,135.5171525, T 9,0.95,0,0,0,0,0,0,0,0.95,3.123,
39:53.3,00:00:05.330,0,1,3.201,0,8.705,298.248,0.105,34.691136,135.5171525, T 9,0.95,0,0,0,0,0,0,0,0.95,3.123,
39:53.4,00:00:05.400,0,1,3.356,0,8.924,297.989,0.148,34.691136,135.5171525, T 9,0.95,0,0,0,0,0,0,0,0.95,3.123,
39:53.5,00:00:05.470,0,1,3.377,0,9.148,297.751,0.129,34.6911355,135.5171447, T 9,1.326,0,0,0,0,0,0,0,1.326,3.388,
39:53.5,00:00:05.530,0,1,3.399,0,9.374,297.512,0.111,34.6911355,135.5171447, T 9,1.326,0,0,0,0,0,0,0,1.326,3.388,
39:53.6,00:00:05.600,0,1,3.42,0,9.602,297.273,0.092,34.6911355,135.5171447, T 9,1.326,0,0,0,0,0,0,0,1.326,3.388,
39:53.7,00:00:05.670,0,1,3.373,0,9.828,297.055,0.117,34.69113617,135.5171375, T 9,-0.194,0,0,0,0,0,0,0,-0.194,3.349,
39:53.7,00:00:05.730,0,1,3.326,0,10.051,296.837,0.142,34.69113617,135.5171375, T 9,-0.194,0,0,0,0,0,0,0,-0.194,3.349,
39:53.8,00:00:05.800,0,1,3.279,0,10.271,296.618,0.166,34.69113617,135.5171375, T 9,-0.194,0,0,0,0,0,0,0,-0.194,3.349,
39:53.9,00:00:05.870,0,1,3.435,0,10.495,296.334,0.185,34.69113667,135.5171282, T 9,0.823,0,0,0,0,0,0,0,0.823,3.514,
39:53.9,00:00:05.930,0,1,3.592,0,10.73,296.049,0.203,34.69113667,135.5171282, T 9,0.823,0,0,0,0,0,0,0,0.823,3.514,
39:54.0,00:00:06.000,0,1,3.749,0,10.974,295.765,0.222,34.69113667,135.5171282, T 9,0.823,0,0,0,0,0,0,0,0.823,3.514,
39:54.1,00:00:06.070,0,1,3.657,0,11.221,295.541,0.222,34.69113667,135.5171208, T 9,0.485,0,0,0,0,0,0,0,0.485,3.611,
39:54.1,00:00:06.130,0,1,3.565,0,11.462,295.318,0.222,34.69113667,135.5171208, T 9,0.485,0,0,0,0,0,0,0,0.485,3.611,
39:54.2,00:00:06.200,0,1,3.473,0,11.696,295.094,0.222,34.69113667,135.5171208, T 9,0.485,0,0,0,0,0,0,0,0.485,3.611,
39:54.3,00:00:06.270,0,1,3.545,0,11.93,294.825,0.24,34.69113717,135.517112, T 9,-0.152,0,0,0,0,0,0,0,-0.152,3.581,
39:54.3,00:00:06.330,0,1,3.617,0,12.169,294.556,0.259,34.69113717,135.517112, T 9,-0.152,0,0,0,0,0,0,0,-0.152,3.581,
39:54.4,00:00:06.400,0,1,3.689,0,12.413,294.287,0.277,34.69113717,135.517112, T 9,-0.152,0,0,0,0,0,0,0,-0.152,3.581,
39:54.5,00:00:06.470,0,1,3.756,0,12.661,294.013,0.29,34.6911375,135.517103, T 9,1.048,0,0,0,0,0,0,0,1.048,3.79,
39:54.5,00:00:06.530,0,1,3.824,0,12.913,293.738,0.302,34.6911375,135.517103, T 9,1.048,0,0,0,0,0,0,0,1.048,3.79,
39:54.6,00:00:06.600,0,1,3.892,0,13.171,293.464,0.314,34.6911375,135.517103, T 9,1.048,0,0,0,0,0,0,0,1.048,3.79,
39:54.7,00:00:06.670,0,1,3.737,0,13.425,293.246,0.345,34.69113833,135.5170958, T 9,-0.649,0,0,0,0,0,0,0,-0.649,3.66,
39:54.7,00:00:06.730,0,1,3.583,0,13.669,293.027,0.376,34.69113833,135.5170958, T 9,-0.649,0,0,0,0,0,0,0,-0.649,3.66,
39:54.8,00:00:06.800,0,1,3.429,0,13.903,292.809,0.407,34.69113833,135.5170958, T 9,-0.649,0,0,0,0,0,0,0,-0.649,3.66,
39:54.9,00:00:06.870,0,1,3.518,0,14.134,292.55,0.431,34.691139,135.5170873, T 9,-0.485,0,0,0,0,0,0,0,-0.485,3.563,
39:54.9,00:00:06.930,0,1,3.608,0,14.372,292.291,0.456,34.691139,135.5170873, T 9,-0.485,0,0,0,0,0,0,0,-0.485,3.563,
39:55.0,00:00:07.000,0,1,3.698,0,14.615,292.032,0.481,34.691139,135.5170873, T 9,-0.485,0,0,0,0,0,0,0,-0.485,3.563,
39:55.1,00:00:07.070,0,1,3.753,0,14.864,291.752,0.481,34.691139,135.5170782, T 9,1.088,0,0,0,0,0,0,0,1.088,3.781,
39:55.1,00:00:07.130,0,1,3.809,0,15.116,291.473,0.481,34.691139,135.5170782, T 9,1.088,0,0,0,0,0,0,0,1.088,3.781,
39:55.2,00:00:07.200,0,1,3.864,0,15.371,291.194,0.481,34.691139,135.5170782, T 9,1.088,0,0,0,0,0,0,0,1.088,3.781,
39:55.3,00:00:07.270,0,1,3.776,0,15.626,290.955,0.481,34.691139,135.5170703, T 9,-0.246,0,0,0,0,0,0,0,-0.246,3.732,
39:55.3,00:00:07.330,0,1,3.688,0,15.875,290.716,0.481,34.691139,135.5170703, T 9,-0.246,0,0,0,0,0,0,0,-0.246,3.732,
39:55.4,00:00:07.400,0,1,3.6,0,16.118,290.478,0.481,34.691139,135.5170703, T 9,-0.246,0,0,0,0,0,0,0,-0.246,3.732,
39:55.5,00:00:07.470,0,1,3.758,0,16.363,290.183,0.512,34.69113983,135.5170607, T 9,0.526,0,0,0,0,0,0,0,0.526,3.837,
39:55.5,00:00:07.530,0,1,3.916,0,16.619,289.888,0.542,34.69113983,135.5170607, T 9,0.526,0,0,0,0,0,0,0,0.526,3.837,
39:55.6,00:00:07.600,0,1,4.074,0,16.885,289.594,0.573,34.69113983,135.5170607, T 9,0.526,0,0,0,0,0,0,0,0.526,3.837,
39:55.7,00:00:07.670,0,1,4.035,0,17.156,289.335,0.585,34.69114017,135.5170522, T 9,0.893,0,0,0,0,0,0,0,0.893,4.015,
39:55.7,00:00:07.730,0,1,3.996,0,17.423,289.076,0.598,34.69114017,135.5170522, T 9,0.893,0,0,0,0,0,0,0,0.893,4.015,
