Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102152607,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,15:39:48.000,,,,,,,,,,,,,,,,,,,,,
End,15:41:03.400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
39:48.1,00:00:00.070,0,1,0,1,0,286.622,0.518,34.691281,135.5172805, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.1,00:00:00.130,0,1,0,1,0,286.622,0.518,34.691281,135.5172805, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.2,00:00:00.200,0,1,0,1,0,286.607,0.555,34.691281,135.5172805, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.270,0,1,0,1,0,286.607,0.555,34.69128117,135.5172798, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.3,00:00:00.330,0,1,0,1,0,286.607,0.555,34.69128117,135.5172798, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.4,00:00:00.400,0,1,0,1,0,286.546,0.573,34.69128117,135.5172798, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.470,0,1,0,2,0,286.546,0.573,34.691281,135.5172777, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.5,00:00:00.530,0,1,0,2,0,286.546,0.573,34.691281,135.5172777, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.6,00:00:00.600,0,1,0,2,0,286.348,0.555,34.691281,135.5172777, T 9,0,0,0,0,0,0,0,0,0,0,
39:48.7,00:00:00.670,0,1,0.685,3,0.041,286.241,0.536,34.6912805,135.5172742, T 9,3.758,0,0,0,0,0,0,0,3.758,0.752,
39:48.7,00:00:00.730,0,1,0.818,3,0.091,286.135,0.518,34.6912805,135.5172742, T 9,3.758,0,0,0,0,0,0,0,3.758,0.752,
39:48.8,00:00:00.800,0,1,0.95,3,0.15,286.028,0.499,34.6912805,135.5172742, T 9,3.758,0,0,0,0,0,0,0,3.758,0.752,
39:48.9,00:00:00.870,0,1,0.888,2,0.212,285.972,0.475,34.69127983,135.5172723, T 9,0.53,0,0,0,0,0,0,0,0.53,0.858,
39:48.9,00:00:00.930,0,1,0.827,2,0.269,285.916,0.45,34.69127983,135.5172723, T 9,0.53,0,0,0,0,0,0,0,0.53,0.858,
39:49.0,00:00:01.000,0,1,0.765,2,0.322,285.86,0.425,34.69127983,135.5172723, T 9,0.53,0,0,0,0,0,0,0,0.53,0.858,
39:49.1,00:00:01.070,0,1,0.672,2,0.37,285.825,0.425,34.69127983,135.5172712, T 9,-1.161,0,0,0,0,0,0,0,-1.161,0.625,
39:49.1,00:00:01.130,0,1,0.579,2,0.411,285.789,0.425,34.69127983,135.5172712, T 9,-1.161,0,0,0,0,0,0,0,-1.161,0.625,
39:49.2,00:00:01.200,0,1,0.486,2,0.447,285.754,0.425,34.69127983,135.5172712, T 9,-1.161,0,0,0,0,0,0,0,-1.161,0.625,
39:49.3,00:00:01.270,0,1,0.559,2,0.482,285.688,0.407,34.69127933,135.517269, T 9,-0.15,0,0,0,0,0,0,0,-0.15,0.595,
39:49.3,00:00:01.330,0,1,0.632,2,0.521,285.622,0.388,34.69127933,135.517269, T 9,-0.15,0,0,0,0,0,0,0,-0.15,0.595,
39:49.4,00:00:01.400,0,1,0.705,2,0.566,285.556,0.37,34.69127933,135.517269, T 9,-0.15,0,0,0,0,0,0,0,-0.15,0.595,
39:49.5,00:00:01.470,0,1,0.858,3,0.618,285.434,0.345,34.69127867,135.517265, T 9,1.7,0,0,0,0,0,0,0,1.7,0.935,
39:49.5,00:00:01.530,0,1,1.012,3,0.68,285.312,0.32,34.69127867,135.517265, T 9,1.7,0,0,0,0,0,0,0,1.7,0.935,
39:49.6,00:00:01.600,0,1,1.166,3,0.753,285.19,0.296,34.69127867,135.517265, T 9,1.7,0,0,0,0,0,0,0,1.7,0.935,
39:49.7,00:00:01.670,0,1,1.261,4,0.834,285.048,0.271,34.691278,135.5172603, T 9,1.87,0,0,0,0,0,0,0,1.87,1.309,
39:49.7,00:00:01.730,0,1,1.357,4,0.921,284.905,0.247,34.691278,135.5172603, T 9,1.87,0,0,0,0,0,0,0,1.87,1.309,
39:49.8,00:00:01.800,0,1,1.453,4,1.015,284.763,0.222,34.691278,135.5172603, T 9,1.87,0,0,0,0,0,0,0,1.87,1.309,
39:49.9,00:00:01.870,0,1,1.332,3,1.108,284.692,0.222,34.691278,135.517258, T 9,-0.192,0,0,0,0,0,0,0,-0.192,1.271,
39:49.9,00:00:01.930,0,1,1.21,3,1.192,284.621,0.222,34.691278,135.517258, T 9,-0.192,0,0,0,0,0,0,0,-0.192,1.271,
39:50.0,00:00:02.000,0,1,1.089,3,1.269,284.55,0.222,34.691278,135.517258, T 9,-0.192,0,0,0,0,0,0,0,-0.192,1.271,
39:50.1,00:00:02.070,0,1,1.136,4,1.343,284.443,0.222,34.691278,135.5172545, T 9,-0.554,0,0,0,0,0,0,0,-0.554,1.16,
39:50.1,00:00:02.130,0,1,1.184,4,1.421,284.337,0.222,34.691278,135.5172545, T 9,-0.554,0,0,0,0,0,0,0,-0.554,1.16,
39:50.2,00:00:02.200,0,1,1.231,4,1.501,284.23,0.222,34.691278,135.5172545, T 9,-0.554,0,0,0,0,0,0,0,-0.554,1.16,
39:50.3,00:00:02.270,0,1,1.442,5,1.59,284.083,0.216,34.69127783,135.5172497, T 9,1.934,0,0,0,0,0,0,0,1.934,1.547,
39:50.3,00:00:02.330,0,1,1.652,5,1.693,283.935,0.21,34.69127783,135.5172497, T 9,1.934,0,0,0,0,0,0,0,1.934,1.547,
39:50.4,00:00:02.400,0,1,1.863,5,1.81,283.788,0.203,34.69127783,135.5172497, T 9,1.934,0,0,0,0,0,0,0,1.934,1.547,
39:50.5,00:00:02.470,0,1,1.882,5,1.935,283.636,0.197,34.69127767,135.5172447, T 9,1.722,0,0,0,0,0,0,0,1.722,1.891,
39:50.5,00:00:02.530,0,1,1.901,5,2.061,283.483,0.191,34.69127767,135.5172447, T 9,1.722,0,0,0,0,0,0,0,1.722,1.891,
39:50.6,00:00:02.600,0,1,1.92,5,2.189,283.331,0.185,34.69127767,135.5172447, T 9,1.722,0,0,0,0,0,0,0,1.722,1.891,
39:50.7,00:00:02.670,0,1,1.781,4,2.312,283.204,0.154,34.69127683,135.5172405, T 9,-0.899,0,0,0,0,0,0,0,-0.899,1.712,
39:50.7,00:00:02.730,0,1,1.642,4,2.426,283.077,0.123,34.69127683,135.5172405, T 9,-0.899,0,0,0,0,0,0,0,-0.899,1.712,
39:50.8,00:00:02.800,0,1,1.503,4,2.531,282.95,0.092,34.69127683,135.5172405, T 9,-0.899,0,0,0,0,0,0,0,-0.899,1.712,
39:50.9,00:00:02.870,0,1,1.606,5,2.635,282.808,0.062,34.691276,135.5172358, T 9,-0.271,0,0,0,0,0,0,0,-0.271,1.657,
39:50.9,00:00:02.930,0,1,1.709,5,2.745,282.666,0.031,34.691276,135.5172358, T 9,-0.271,0,0,0,0,0,0,0,-0.271,1.657,
39:51.0,00:00:03.000,0,1,1.811,5,2.862,282.523,0,34.691276,135.5172358, T 9,-0.271,0,0,0,0,0,0,0,-0.271,1.657,
39:51.1,00:00:03.070,0,1,1.991,6,2.989,282.361,0.012,34.69127633,135.5172305, T 9,2.118,0,0,0,0,0,0,0,2.118,2.081,
39:51.1,00:00:03.130,0,1,2.171,6,3.128,282.198,0.025,34.69127633,135.5172305, T 9,2.118,0,0,0,0,0,0,0,2.118,2.081,
39:51.2,00:00:03.200,0,1,2.35,6,3.279,282.036,0.037,34.69127633,135.5172305, T 9,2.118,0,0,0,0,0,0,0,2.118,2.081,
39:51.3,00:00:03.270,0,1,2.267,5,3.433,281.914,0.043,34.6912765,135.5172265, T 9,0.725,0,0,0,0,0,0,0,0.725,2.226,
39:51.3,00:00:03.330,0,1,2.185,5,3.581,281.792,0.049,34.6912765,135.5172265, T 9,0.725,0,0,0,0,0,0,0,0.725,2.226,
39:51.4,00:00:03.400,0,1,2.102,5,3.724,281.67,0.055,34.6912765,135.5172265, T 9,0.725,0,0,0,0,0,0,0,0.725,2.226,
39:51.5,00:00:03.470,0,1,1.987,4,3.86,281.569,0.068,34.69127683,135.5172232, T 9,-1.484,0,0,0,0,0,0,0,-1.484,1.929,
39:51.5,00:00:03.530,0,1,1.872,4,3.989,281.467,0.08,34.69127683,135.5172232, T 9,-1.484,0,0,0,0,0,0,0,-1.484,1.929,
39:51.6,00:00:03.600,0,1,1.757,4,4.11,281.365,0.092,34.69127683,135.5172232, T 9,-1.484,0,0,0,0,0,0,0,-1.484,1.929,
39:51.7,00:00:03.670,0,1,2.009,6,4.235,281.218,0.111,34.69127733,135.5172183, T 9,1.028,0,0,0,0,0,0,0,1.028,2.135,
39:51.7,00:00:03.730,0,1,2.261,6,4.378,281.071,0.129,34.69127733,135.5172183, T 9,1.028,0,0,0,0,0,0,0,1.028,2.135,
39:51.8,00:00:03.800,0,1,2.513,6,4.537,280.924,0.148,34.69127733,135.5172183, T 9,1.028,0,0,0,0,0,0,0,1.028,2.135,
39:51.9,00:00:03.870,0,1,2.528,6,4.705,280.771,0.16,34.69127767,135.5172133, T 9,2.005,0,0,0,0,0,0,0,2.005,2.536,
39:51.9,00:00:03.930,0,1,2.543,6,4.874,280.619,0.173,34.69127767,135.5172133, T 9,2.005,0,0,0,0,0,0,0,2.005,2.536,
39:52.0,00:00:04.000,0,1,2.559,6,5.044,280.466,0.185,34.69127767,135.5172133, T 9,2.005,0,0,0,0,0,0,0,2.005,2.536,
39:52.1,00:00:04.070,0,1,2.43,5,5.21,280.334,0.216,34.6912785,135.517209, T 9,-0.848,0,0,0,0,0,0,0,-0.848,2.366,
39:52.1,00:00:04.130,0,1,2.302,5,5.368,280.202,0.247,34.6912785,135.517209, T 9,-0.848,0,0,0,0,0,0,0,-0.848,2.366,
39:52.2,00:00:04.200,0,1,2.174,5,5.517,280.07,0.277,34.6912785,135.517209, T 9,-0.848,0,0,0,0,0,0,0,-0.848,2.366,
39:52.3,00:00:04.270,0,1,2.208,6,5.663,279.928,0.302,34.69127917,135.5172043, T 9,-0.702,0,0,0,0,0,0,0,-0.702,2.226,
39:52.3,00:00:04.330,0,1,2.243,6,5.811,279.786,0.327,34.69127917,135.5172043, T 9,-0.702,0,0,0,0,0,0,0,-0.702,2.226,
39:52.4,00:00:04.400,0,1,2.278,6,5.962,279.644,0.351,34.69127917,135.5172043, T 9,-0.702,0,0,0,0,0,0,0,-0.702,2.226,
39:52.5,00:00:04.470,0,1,2.481,6,6.121,279.486,0.382,34.69128,135.5171992, T 9,1.781,0,0,0,0,0,0,0,1.781,2.582,
39:52.5,00:00:04.530,0,1,2.683,6,6.293,279.329,0.413,34.69128,135.5171992, T 9,1.781,0,0,0,0,0,0,0,1.781,2.582,
39:52.6,00:00:04.600,0,1,2.886,6,6.479,279.171,0.444,34.69128,135.5171992, T 9,1.781,0,0,0,0,0,0,0,1.781,2.582,
39:52.7,00:00:04.670,0,1,2.822,6,6.669,279.004,0.456,34.69128033,135.5171937, T 9,1.042,0,0,0,0,0,0,0,1.042,2.79,
