Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102125652,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,16:03:35.800,,,,,,,,,,,,,,,,,,,,,
End,16:04:54.600,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
03:35.8,00:00:00.000,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,,0,0,0,0,0,0,0,0,0,
03:35.9,00:00:00.070,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:35.9,00:00:00.130,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.0,00:00:00.200,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.1,00:00:00.270,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.1,00:00:00.330,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.2,00:00:00.400,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.3,00:00:00.470,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.3,00:00:00.530,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.4,00:00:00.600,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.5,00:00:00.670,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.5,00:00:00.730,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.6,00:00:00.800,0,1,0,1,0,319.702,1.683,34.69115717,135.5173013, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.7,00:00:00.870,0,1,0,3,0,319.702,1.683,34.691156,135.5172987, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.7,00:00:00.930,0,1,0,3,0,319.702,1.683,34.691156,135.5172987, T 7,0,0,0,0,0,0,0,0,0,0,
03:36.8,00:00:01.000,0,1,0,3,0,319.458,1.553,34.691156,135.5172987, T 7,0,0,0,0,0,0,0,0,0,0,
