Player,: SPI ProX2＝  8,,,,,,,,,,,,,,,,,,,,,
Session,: 20251102152607,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,16:03:33.000,,,,,,,,,,,,,,,,,,,,,
End,16:04:58.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
03:33.0,00:00:00.000,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,,0,0,0,0,0,0,0,0,0,
03:33.1,00:00:00.070,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.1,00:00:00.130,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.2,00:00:00.200,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.3,00:00:00.270,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.3,00:00:00.330,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.4,00:00:00.400,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.5,00:00:00.470,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.5,00:00:00.530,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.6,00:00:00.600,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.7,00:00:00.670,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.7,00:00:00.730,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.8,00:00:00.800,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.9,00:00:00.870,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:33.9,00:00:00.930,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.0,00:00:01.000,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.1,00:00:01.070,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.1,00:00:01.130,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.2,00:00:01.200,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.3,00:00:01.270,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.3,00:00:01.330,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.4,00:00:01.400,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.5,00:00:01.470,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.5,00:00:01.530,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.6,00:00:01.600,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.7,00:00:01.670,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.7,00:00:01.730,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.8,00:00:01.800,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
03:34.9,00:00:01.870,0,1,0,1,0,283.041,3.513,34.69139667,135.5172953, T 10,0,0,0,0,0,0,0,0,0,0,
