Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T13:03:09.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T13:04:28.600000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
03:09.800,00:00.000,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,,0,0,0,0,0,0,0,0,0,
03:09.870,00:00.070,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:09.930,00:00.130,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.000,00:00.200,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.070,00:00.270,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.130,00:00.330,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.200,00:00.400,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.270,00:00.470,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.330,00:00.530,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.400,00:00.600,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.470,00:00.670,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.530,00:00.730,0,1,0.000,1,0,59.326,270.363,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.600,00:00.800,0,1,0.000,1,0,59.326,270.234,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
03:10.670,00:00.870,0,1,0.818,1,0.051,59.305,270.153,35.0203,135.8626, T 8,2.893,0,0,0,0,0,0,0,2.893,2.083,
03:10.730,00:00.930,0,1,0.918,1,0.109,59.285,270.073,35.0203,135.8626, T 8,2.893,0,0,0,0,0,0,0,2.893,2.083,
03:10.800,00:01.000,0,1,1.019,1,0.174,59.265,269.993,35.0203,135.8626, T 8,2.893,0,0,0,0,0,0,0,2.893,2.083,
