Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T13:18:09.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T13:19:34.400000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
18:09.800,00:00.000,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,,0,0,0,0,0,0,0,0,0,
18:09.870,00:00.070,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:09.930,00:00.130,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.000,00:00.200,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.070,00:00.270,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.130,00:00.330,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.200,00:00.400,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.270,00:00.470,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.330,00:00.530,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.400,00:00.600,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.470,00:00.670,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.530,00:00.730,0,1,0.000,1,0,59.189,284.822,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.600,00:00.800,0,1,0.000,1,0,59.098,284.582,35.0204,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
18:10.670,00:00.870,0,1,0.869,1,0.059,59.057,284.471,35.0204,135.8627, T 9,2.864,0,0,0,0,0,0,0,2.864,2.062,
18:10.730,00:00.930,0,1,0.849,1,0.116,59.017,284.36,35.0204,135.8627, T 9,2.864,0,0,0,0,0,0,0,2.864,2.062,
18:10.800,00:01.000,0,1,0.830,1,0.172,58.977,284.249,35.0204,135.8627, T 9,2.864,0,0,0,0,0,0,0,2.864,2.062,
18:10.870,00:01.070,0,1,0.000,1,0.172,58.977,284.249,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,1.031,
18:10.930,00:01.130,0,1,0.000,1,0.172,58.977,284.249,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,1.031,
18:11.000,00:01.200,0,1,0.000,1,0.172,58.87,283.953,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,1.031,
18:11.070,00:01.270,0,1,0.506,1,0.204,58.85,283.861,35.0203,135.8626, T 9,1.737,0,0,0,0,0,0,0,1.737,2.282,
18:11.130,00:01.330,0,1,0.566,1,0.239,58.83,283.768,35.0203,135.8626, T 9,1.737,0,0,0,0,0,0,0,1.737,2.282,
18:11.200,00:01.400,0,1,0.626,1,0.279,58.81,283.676,35.0203,135.8626, T 9,1.737,0,0,0,0,0,0,0,1.737,2.282,
18:11.270,00:01.470,0,1,0.877,1,0.329,58.779,283.547,35.0203,135.8626, T 9,0.913,0,0,0,0,0,0,0,0.913,2.939,
18:11.330,00:01.530,0,1,1.127,1,0.396,58.749,283.417,35.0203,135.8626, T 9,0.913,0,0,0,0,0,0,0,0.913,2.939,
18:11.400,00:01.600,0,1,1.378,1,0.479,58.719,283.288,35.0203,135.8626, T 9,0.913,0,0,0,0,0,0,0,0.913,2.939,
18:11.470,00:01.670,0,1,1.453,1,0.574,58.683,283.146,35.0203,135.8626, T 9,1.928,0,0,0,0,0,0,0,1.928,4.328,
18:11.530,00:01.730,0,1,1.528,1,0.673,58.648,283.004,35.0203,135.8626, T 9,1.928,0,0,0,0,0,0,0,1.928,4.328,
18:11.600,00:01.800,0,1,1.603,1,0.777,58.612,282.862,35.0203,135.8626, T 9,1.928,0,0,0,0,0,0,0,1.928,4.328,
18:11.670,00:01.870,0,1,1.463,1,0.88,58.577,282.733,35.0203,135.8626, T 9,0.929,0,0,0,0,0,0,0,0.929,4.997,
18:11.730,00:01.930,0,1,1.323,1,0.972,58.541,282.604,35.0203,135.8626, T 9,0.929,0,0,0,0,0,0,0,0.929,4.997,
18:11.800,00:02.000,0,1,1.184,1,1.056,58.506,282.474,35.0203,135.8626, T 9,0.929,0,0,0,0,0,0,0,0.929,4.997,
