Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T13:35:49.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T13:37:04.800000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
35:49.800,00:00.000,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,,0,0,0,0,0,0,0,0,0,
35:49.870,00:00.070,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:49.930,00:00.130,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.000,00:00.200,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.070,00:00.270,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.130,00:00.330,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.200,00:00.400,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.270,00:00.470,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.330,00:00.530,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.400,00:00.600,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.470,00:00.670,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.530,00:00.730,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.600,00:00.800,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.670,00:00.870,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.730,00:00.930,0,1,0.000,1,0,59.098,273.95,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.800,00:01.000,0,1,0.000,1,0,58.992,273.747,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
35:50.870,00:01.070,0,1,1.123,1,0.073,58.951,273.63,35.0203,135.8626, T 8,3.842,0,0,0,0,0,0,0,3.842,2.766,
35:50.930,00:01.130,0,1,1.182,1,0.15,58.911,273.513,35.0203,135.8626, T 8,3.842,0,0,0,0,0,0,0,3.842,2.766,
35:51.000,00:01.200,0,1,1.241,1,0.231,58.87,273.395,35.0203,135.8626, T 8,3.842,0,0,0,0,0,0,0,3.842,2.766,
35:51.070,00:01.270,0,1,1.069,1,0.308,58.825,273.297,35.0203,135.8626, T 8,1.207,0,0,0,0,0,0,0,1.207,3.635,
35:51.130,00:01.330,0,1,0.896,1,0.373,58.779,273.198,35.0203,135.8626, T 8,1.207,0,0,0,0,0,0,0,1.207,3.635,
35:51.200,00:01.400,0,1,0.724,1,0.427,58.734,273.1,35.0203,135.8626, T 8,1.207,0,0,0,0,0,0,0,1.207,3.635,
35:51.270,00:01.470,0,1,0.704,1,0.475,58.698,273.019,35.0203,135.8626, T 8,-0.667,0,0,0,0,0,0,0,-0.667,3.155,
35:51.330,00:01.530,0,1,0.684,1,0.521,58.663,272.939,35.0203,135.8626, T 8,-0.667,0,0,0,0,0,0,0,-0.667,3.155,
35:51.400,00:01.600,0,1,0.664,1,0.566,58.627,272.859,35.0203,135.8626, T 8,-0.667,0,0,0,0,0,0,0,-0.667,3.155,
35:51.470,00:01.670,0,1,0.999,2,0.621,58.577,272.736,35.0203,135.8626, T 9,0.713,0,0,0,0,0,0,0,0.713,3.669,
35:51.530,00:01.730,0,1,1.334,2,0.699,58.526,272.613,35.0203,135.8626, T 9,0.713,0,0,0,0,0,0,0,0.713,3.669,
35:51.600,00:01.800,0,1,1.669,2,0.799,58.476,272.489,35.0203,135.8626, T 9,0.713,0,0,0,0,0,0,0,0.713,3.669,
35:51.670,00:01.870,0,1,1.792,2,0.915,58.415,272.335,35.0203,135.8626, T 9,2.188,0,0,0,0,0,0,0,2.188,5.244,
35:51.730,00:01.930,0,1,1.914,2,1.038,58.354,272.181,35.0203,135.8626, T 9,2.188,0,0,0,0,0,0,0,2.188,5.244,
35:51.800,00:02.000,0,1,2.037,2,1.17,58.294,272.027,35.0203,135.8626, T 9,2.188,0,0,0,0,0,0,0,2.188,5.244,
35:51.870,00:02.070,0,1,1.833,1,1.299,58.248,271.885,35.0203,135.8626, T 9,1.265,0,0,0,0,0,0,0,1.265,6.155,
35:51.930,00:02.130,0,1,1.628,1,1.414,58.203,271.744,35.0203,135.8626, T 9,1.265,0,0,0,0,0,0,0,1.265,6.155,
35:52.000,00:02.200,0,1,1.423,1,1.516,58.157,271.602,35.0203,135.8626, T 9,1.265,0,0,0,0,0,0,0,1.265,6.155,
35:52.070,00:02.270,0,1,1.454,1,1.612,58.117,271.472,35.0203,135.8626, T 9,-0.253,0,0,0,0,0,0,0,-0.253,5.973,
35:52.130,00:02.330,0,1,1.486,1,1.71,58.076,271.343,35.0203,135.8626, T 9,-0.253,0,0,0,0,0,0,0,-0.253,5.973,
35:52.200,00:02.400,0,1,1.517,1,1.81,58.036,271.214,35.0203,135.8626, T 9,-0.253,0,0,0,0,0,0,0,-0.253,5.973,
35:52.270,00:02.470,0,1,1.849,2,1.922,57.99,271.035,35.0203,135.8626, T 9,0.791,0,0,0,0,0,0,0,0.791,6.542,
35:52.330,00:02.530,0,1,2.180,2,2.056,57.945,270.856,35.0203,135.8626, T 9,0.791,0,0,0,0,0,0,0,0.791,6.542,
35:52.400,00:02.600,0,1,2.512,2,2.213,57.899,270.677,35.0203,135.8626, T 9,0.791,0,0,0,0,0,0,0,0.791,6.542,
35:52.470,00:02.670,0,1,2.403,2,2.377,57.848,270.499,35.0203,135.8626, T 9,1.271,0,1,0,0,0,0,0,1.271,7.457,
35:52.530,00:02.730,0,1,2.294,2,2.533,57.798,270.32,35.0203,135.8626, T 9,1.271,0,0,0,0,0,0,0,1.271,7.457,
35:52.600,00:02.800,0,1,2.185,2,2.682,57.747,270.141,35.0203,135.8626, T 9,1.271,0,0,0,0,0,0,0,1.271,7.457,
35:52.670,00:02.870,0,1,2.049,2,2.824,57.702,269.987,35.0203,135.8626, T 9,0.434,0,0,0,0,0,0,0,0.434,7.77,
