Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T13:51:47.600000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T13:53:05.400000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
51:47.600,00:00.000,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,,0,0,0,0,0,0,0,0,0,
51:47.670,00:00.070,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:47.730,00:00.130,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:47.800,00:00.200,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:47.870,00:00.270,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:47.930,00:00.330,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.000,00:00.400,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.070,00:00.470,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.130,00:00.530,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.200,00:00.600,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.270,00:00.670,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.330,00:00.730,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.400,00:00.800,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.470,00:00.870,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.530,00:00.930,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.600,00:01.000,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.670,00:01.070,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.730,00:01.130,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.800,00:01.200,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.870,00:01.270,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:48.930,00:01.330,0,1,0.000,1,0,55.577,281.291,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:49.000,00:01.400,0,1,0.000,1,0,55.562,281.161,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
51:49.070,00:01.470,0,1,0.868,1,0.053,55.552,281.081,35.0203,135.8626, T 8,3.146,0,0,0,0,0,0,0,3.146,2.265,
51:49.130,00:01.530,0,1,1.019,1,0.116,55.542,281.001,35.0203,135.8626, T 8,3.146,0,0,0,0,0,0,0,3.146,2.265,
51:49.200,00:01.600,0,1,1.170,1,0.189,55.531,280.921,35.0203,135.8626, T 8,3.146,0,0,0,0,0,0,0,3.146,2.265,
51:49.270,00:01.670,0,1,1.148,1,0.266,55.516,280.835,35.0203,135.8626, T 8,1.838,0,0,0,0,0,0,0,1.838,3.589,
51:49.330,00:01.730,0,1,1.125,1,0.342,55.501,280.748,35.0203,135.8626, T 8,1.838,0,0,0,0,0,0,0,1.838,3.589,
51:49.400,00:01.800,0,1,1.103,1,0.416,55.486,280.662,35.0203,135.8626, T 8,1.838,0,0,0,0,0,0,0,1.838,3.589,
51:49.470,00:01.870,0,1,0.966,1,0.485,55.471,280.6,35.0203,135.8626, T 8,-0.042,0,0,0,0,0,0,0,-0.042,3.558,
51:49.530,00:01.930,0,1,0.829,1,0.545,55.456,280.539,35.0203,135.8626, T 8,-0.042,0,0,0,0,0,0,0,-0.042,3.558,
