Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:06:59.200000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:08:16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
06:59.200,00:00.000,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,,0,0,0,0,0,0,0,0,0,
06:59.270,00:00.070,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.330,00:00.130,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.400,00:00.200,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.470,00:00.270,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.530,00:00.330,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.600,00:00.400,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.670,00:00.470,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.730,00:00.530,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.800,00:00.600,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
06:59.870,00:00.670,0,1,0.000,1,0,54.09,272.378,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
