Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:19:52.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:21:13.800000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
19:52.800,00:00.000,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,,0,0,0,0,0,0,0,0,0,
19:52.870,00:00.070,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:52.930,00:00.130,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.000,00:00.200,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.070,00:00.270,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.130,00:00.330,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.200,00:00.400,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.270,00:00.470,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.330,00:00.530,0,1,0.000,1,0,56.245,274.486,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.400,00:00.600,0,1,0.000,1,0,56.23,274.394,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0,
19:53.470,00:00.670,0,1,0.861,1,0.059,56.209,274.32,35.0203,135.8626, T 8,2.765,0,0,0,0,0,0,0,2.765,1.991,
19:53.530,00:00.730,0,1,0.799,1,0.115,56.189,274.246,35.0203,135.8626, T 8,2.765,0,0,0,0,0,0,0,2.765,1.991,
19:53.600,00:00.800,0,1,0.737,1,0.166,56.169,274.172,35.0203,135.8626, T 8,2.765,0,0,0,0,0,0,0,2.765,1.991,
19:53.670,00:00.870,0,1,0.000,1,0.166,56.169,274.172,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0.995,
19:53.730,00:00.930,0,1,0.000,1,0.166,56.169,274.172,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0.995,
19:53.800,00:01.000,0,1,0.000,1,0.166,56.154,274.043,35.0203,135.8626, T 8,0,0,0,0,0,0,0,0,0,0.995,
19:53.870,00:01.070,0,1,0.560,1,0.195,56.144,273.962,35.0203,135.8626, T 8,2.102,0,0,0,0,0,0,0,2.102,2.509,
19:53.930,00:01.130,0,1,0.794,1,0.241,56.133,273.882,35.0203,135.8626, T 8,2.102,0,0,0,0,0,0,0,2.102,2.509,
19:54.000,00:01.200,0,1,1.027,1,0.301,56.123,273.802,35.0203,135.8626, T 8,2.102,0,0,0,0,0,0,0,2.102,2.509,
19:54.070,00:01.270,0,1,1.256,2,0.377,56.103,273.691,35.0203,135.8626, T 8,1.626,0,0,0,0,0,0,0,1.626,3.679,
19:54.130,00:01.330,0,1,1.484,2,0.469,56.083,273.58,35.0203,135.8626, T 8,1.626,0,0,0,0,0,0,0,1.626,3.679,
19:54.200,00:01.400,0,1,1.712,2,0.575,56.063,273.469,35.0203,135.8626, T 8,1.626,0,0,0,0,0,0,0,1.626,3.679,
19:54.270,00:01.470,0,1,1.723,2,0.69,56.042,273.346,35.0203,135.8626, T 8,2.364,0,0,0,0,0,0,0,2.364,5.381,
19:54.330,00:01.530,0,1,1.734,2,0.805,56.022,273.223,35.0203,135.8626, T 8,2.364,0,0,0,0,0,0,0,2.364,5.381,
