Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:32:52,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:34:27.600000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
32:52.000,00:00.000,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,,0,0,0,0,0,0,0,0,0,
32:52.070,00:00.070,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.130,00:00.130,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.200,00:00.200,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.270,00:00.270,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.330,00:00.330,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.400,00:00.400,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.470,00:00.470,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.530,00:00.530,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.600,00:00.600,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.670,00:00.670,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.730,00:00.730,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.800,00:00.800,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.870,00:00.870,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:52.930,00:00.930,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:53.000,00:01.000,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 8,0,0,0,0,0,0,0,0,0,0,
32:53.070,00:01.070,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.130,00:01.130,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.200,00:01.200,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.270,00:01.270,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.330,00:01.330,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.400,00:01.400,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.470,00:01.470,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.530,00:01.530,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.600,00:01.600,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.670,00:01.670,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.730,00:01.730,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.800,00:01.800,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.870,00:01.870,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:53.930,00:01.930,0,1,0.000,1,0,61.116,292.181,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:54.000,00:02.000,0,1,0.000,1,0,60.995,292.052,35.0203,135.8627, T 9,0,0,0,0,0,0,0,0,0,0,
32:54.070,00:02.070,0,1,0.722,1,0.045,60.944,291.978,35.0203,135.8627, T 9,2.557,0,0,0,0,0,0,0,2.557,1.841,
32:54.130,00:02.130,0,1,0.812,1,0.096,60.894,291.904,35.0203,135.8627, T 9,2.557,0,0,0,0,0,0,0,2.557,1.841,
32:54.200,00:02.200,0,1,0.902,1,0.153,60.843,291.83,35.0203,135.8627, T 9,2.557,0,0,0,0,0,0,0,2.557,1.841,
32:54.270,00:02.270,0,1,0.885,1,0.213,60.803,291.75,35.0203,135.8626, T 9,1.418,0,0,0,0,0,0,0,1.418,2.862,
32:54.330,00:02.330,0,1,0.868,1,0.271,60.762,291.67,35.0203,135.8626, T 9,1.418,0,0,0,0,0,0,0,1.418,2.862,
