Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:49:19.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:50:51.600000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
49:19.800,00:00.000,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,,0,0,0,0,0,0,0,0,0,
49:19.870,00:00.070,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:19.930,00:00.130,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.000,00:00.200,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.070,00:00.270,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.130,00:00.330,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.200,00:00.400,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.270,00:00.470,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.330,00:00.530,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.400,00:00.600,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.470,00:00.670,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.530,00:00.730,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.600,00:00.800,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.670,00:00.870,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.730,00:00.930,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.800,00:01.000,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.870,00:01.070,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
49:20.930,00:01.130,0,1,0.000,1,0,63.074,302.406,35.0204,135.8626, T 11,0,0,0,0,0,0,0,0,0,0,
