Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123109,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:49:22,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:50:40.600000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
49:22.000,00:00.000,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,,0,0,0,0,0,0,0,0,0,
49:22.070,00:00.070,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.130,00:00.130,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.200,00:00.200,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.270,00:00.270,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.330,00:00.330,0,1,0.000,1,0,58.582,271.343,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.400,00:00.400,0,1,0.000,1,0,58.582,271.251,35.0203,135.8628, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.470,00:00.470,0,1,0.779,1,0.048,58.562,271.189,35.0203,135.8628, T 11,2.783,0,0,0,0,0,0,0,2.783,2.004,
49:22.530,00:00.530,0,1,0.891,1,0.104,58.541,271.127,35.0203,135.8628, T 11,2.783,0,0,0,0,0,0,0,2.783,2.004,
49:22.600,00:00.600,0,1,1.003,1,0.167,58.521,271.066,35.0203,135.8628, T 11,2.783,0,0,0,0,0,0,0,2.783,2.004,
49:22.670,00:00.670,0,1,0.911,1,0.231,58.501,271.023,35.0203,135.8628, T 11,1.212,0,0,0,0,0,0,0,1.212,2.876,
49:22.730,00:00.730,0,1,0.819,1,0.288,58.481,270.979,35.0203,135.8628, T 11,1.212,0,0,0,0,0,0,0,1.212,2.876,
49:22.800,00:00.800,0,1,0.727,1,0.34,58.461,270.936,35.0203,135.8628, T 11,1.212,0,0,0,0,0,0,0,1.212,2.876,
49:22.870,00:00.870,0,1,0.595,1,0.384,58.461,270.899,35.0203,135.8628, T 11,-0.561,0,0,0,0,0,0,0,-0.561,2.472,
49:22.930,00:00.930,0,1,0.463,1,0.419,58.461,270.862,35.0203,135.8628, T 11,-0.561,0,0,0,0,0,0,0,-0.561,2.472,
49:23.000,00:01.000,0,1,0.331,1,0.446,58.461,270.825,35.0203,135.8628, T 11,-0.561,0,0,0,0,0,0,0,-0.561,2.472,
49:23.070,00:01.070,0,1,0.557,1,0.475,58.455,270.77,35.0203,135.8628, T 11,0.01,0,0,0,0,0,0,0,0.01,2.48,
49:23.130,00:01.130,0,1,0.783,1,0.52,58.45,270.714,35.0203,135.8628, T 11,0.01,0,0,0,0,0,0,0,0.01,2.48,
49:23.200,00:01.200,0,1,1.009,1,0.58,58.445,270.659,35.0203,135.8628, T 11,0.01,0,0,0,0,0,0,0,0.01,2.48,
49:23.270,00:01.270,0,1,1.299,2,0.657,58.435,270.548,35.0203,135.8628, T 11,1.923,0,0,0,0,0,0,0,1.923,3.865,
49:23.330,00:01.330,0,1,1.590,2,0.753,58.425,270.437,35.0203,135.8628, T 11,1.923,0,0,0,0,0,0,0,1.923,3.865,
49:23.400,00:01.400,0,1,1.881,2,0.869,58.415,270.326,35.0203,135.8628, T 11,1.923,0,0,0,0,0,0,0,1.923,3.865,
49:23.470,00:01.470,0,1,1.816,2,0.992,58.39,270.227,35.0203,135.8628, T 11,2.26,0,0,0,0,0,0,0,2.26,5.492,
49:23.530,00:01.530,0,1,1.751,2,1.111,58.364,270.129,35.0203,135.8628, T 11,2.26,0,0,0,0,0,0,0,2.26,5.492,
49:23.600,00:01.600,0,1,1.687,2,1.225,58.339,270.03,35.0203,135.8628, T 11,2.26,0,0,0,0,0,0,0,2.26,5.492,
49:23.670,00:01.670,0,1,1.479,1,1.331,58.319,269.962,35.0203,135.8628, T 11,0.091,0,0,0,0,0,0,0,0.091,5.557,
49:23.730,00:01.730,0,1,1.271,1,1.423,58.299,269.895,35.0203,135.8628, T 11,0.091,0,0,0,0,0,0,0,0.091,5.557,
49:23.800,00:01.800,0,1,1.063,1,1.5,58.278,269.827,35.0203,135.8628, T 11,0.091,0,0,0,0,0,0,0,0.091,5.557,
49:23.870,00:01.870,0,1,1.234,1,1.577,58.268,269.722,35.0203,135.8628, T 11,-0.511,0,0,0,0,0,0,0,-0.511,5.189,
49:23.930,00:01.930,0,1,1.404,1,1.665,58.258,269.617,35.0203,135.8628, T 11,-0.511,0,0,0,0,0,0,0,-0.511,5.189,
49:24.000,00:02.000,0,1,1.574,1,1.764,58.248,269.512,35.0203,135.8628, T 11,-0.511,0,0,0,0,0,0,0,-0.511,5.189,
49:24.070,00:02.070,0,1,1.788,2,1.876,58.218,269.389,35.0203,135.8628, T 11,0.881,0,0,0,0,0,0,0,0.881,5.824,
49:24.130,00:02.130,0,1,2.002,2,2.003,58.187,269.266,35.0203,135.8628, T 11,0.881,0,0,0,0,0,0,0,0.881,5.824,
49:24.200,00:02.200,0,1,2.216,2,2.143,58.157,269.143,35.0203,135.8628, T 11,0.881,0,0,0,0,0,0,0,0.881,5.824,
49:24.270,00:02.270,0,1,2.089,2,2.287,58.127,269.038,35.0203,135.8628, T 11,1.286,0,0,0,0,0,0,0,1.286,6.75,
49:24.330,00:02.330,0,1,1.962,2,2.422,58.096,268.933,35.0203,135.8628, T 11,1.286,0,0,0,0,0,0,0,1.286,6.75,
49:24.400,00:02.400,0,1,1.835,2,2.548,58.066,268.828,35.0203,135.8628, T 11,1.286,0,0,0,0,0,0,0,1.286,6.75,
49:24.470,00:02.470,0,1,1.751,1,2.668,58.046,268.717,35.0203,135.8628, T 11,0.014,0,0,0,0,0,0,0,0.014,6.76,
49:24.530,00:02.530,0,1,1.667,1,2.782,58.025,268.606,35.0203,135.8628, T 11,0.014,0,0,0,0,0,0,0,0.014,6.76,
49:24.600,00:02.600,0,1,1.583,1,2.89,58.005,268.496,35.0203,135.8628, T 11,0.014,0,0,0,0,0,0,0,0.014,6.76,
49:24.670,00:02.670,0,1,1.831,2,3.004,57.98,268.348,35.0203,135.8628, T 11,0.189,0,0,0,0,0,0,0,0.189,6.896,
49:24.730,00:02.730,0,1,2.080,2,3.134,57.955,268.2,35.0203,135.8628, T 11,0.189,0,0,0,0,0,0,0,0.189,6.896,
49:24.800,00:02.800,0,1,2.329,2,3.281,57.929,268.052,35.0203,135.8628, T 11,0.189,0,0,0,0,0,0,0,0.189,6.896,
49:24.870,00:02.870,0,1,2.426,2,3.44,57.889,267.892,35.0203,135.8628, T 11,1.306,0,0,0,0,0,0,0,1.306,7.836,
49:24.930,00:02.930,0,1,2.522,2,3.605,57.848,267.731,35.0203,135.8628, T 11,1.306,0,0,0,0,0,0,0,1.306,7.836,
49:25.000,00:03.000,0,1,2.619,2,3.776,57.808,267.571,35.0203,135.8628, T 11,1.306,0,0,0,0,0,0,0,1.306,7.836,
49:25.070,00:03.070,0,1,2.421,2,3.944,57.773,267.454,35.0203,135.8628, T 11,0.738,0,0,0,0,0,0,0,0.738,8.367,
