Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123156,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:49:21.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:50:40.600000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
49:21.800,00:00.000,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,,0,0,0,0,0,0,0,0,0,
49:21.870,00:00.070,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:21.930,00:00.130,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.000,00:00.200,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.070,00:00.270,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.130,00:00.330,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.200,00:00.400,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.270,00:00.470,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 10,0,0,0,0,0,0,0,0,0,0,
49:22.330,00:00.530,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 10,0,0,0,0,0,0,0,0,0,0,
49:22.400,00:00.600,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 10,0,0,0,0,0,0,0,0,0,0,
49:22.470,00:00.670,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.530,00:00.730,0,1,0.000,1,0,60.919,268.348,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.600,00:00.800,0,1,0.000,1,0,60.828,268.181,35.0203,135.863, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.670,00:00.870,0,1,0.938,1,0.062,60.788,268.095,35.0203,135.863, T 11,3.148,0,0,0,0,0,0,0,3.148,2.267,
49:22.730,00:00.930,0,1,0.951,1,0.125,60.747,268.009,35.0203,135.863, T 11,3.148,0,0,0,0,0,0,0,3.148,2.267,
49:22.800,00:01.000,0,1,0.964,1,0.189,60.707,267.922,35.0203,135.863, T 11,3.148,0,0,0,0,0,0,0,3.148,2.267,
49:22.870,00:01.070,0,1,0.849,1,0.249,60.671,267.855,35.0203,135.863, T 11,1.029,0,0,0,0,0,0,0,1.029,3.008,
49:22.930,00:01.130,0,1,0.733,1,0.302,60.636,267.787,35.0203,135.863, T 11,1.029,0,0,0,0,0,0,0,1.029,3.008,
49:23.000,00:01.200,0,1,0.617,1,0.347,60.6,267.719,35.0203,135.863, T 11,1.029,0,0,0,0,0,0,0,1.029,3.008,
49:23.070,00:01.270,0,1,0.549,1,0.386,60.575,267.651,35.0203,135.863, T 11,-0.857,0,0,0,0,0,0,0,-0.857,2.391,
49:23.130,00:01.330,0,1,0.480,1,0.42,60.55,267.583,35.0203,135.863, T 11,-0.857,0,0,0,0,0,0,0,-0.857,2.391,
49:23.200,00:01.400,0,1,0.411,1,0.45,60.525,267.516,35.0203,135.863, T 11,-0.857,0,0,0,0,0,0,0,-0.857,2.391,
49:23.270,00:01.470,0,1,0.657,1,0.485,60.494,267.423,35.0203,135.863, T 11,0.308,0,0,0,0,0,0,0,0.308,2.613,
49:23.330,00:01.530,0,1,0.903,1,0.537,60.464,267.331,35.0203,135.863, T 11,0.308,0,0,0,0,0,0,0,0.308,2.613,
49:23.400,00:01.600,0,1,1.149,1,0.606,60.434,267.238,35.0203,135.863, T 11,0.308,0,0,0,0,0,0,0,0.308,2.613,
49:23.470,00:01.670,0,1,1.384,2,0.69,60.388,267.115,35.0203,135.863, T 11,2.059,0,0,0,0,0,0,0,2.059,4.095,
49:23.530,00:01.730,0,1,1.618,2,0.79,60.342,266.992,35.0203,135.863, T 11,2.059,0,0,0,0,0,0,0,2.059,4.095,
49:23.600,00:01.800,0,1,1.853,2,0.906,60.297,266.868,35.0203,135.863, T 11,2.059,0,0,0,0,0,0,0,2.059,4.095,
49:23.670,00:01.870,0,1,1.761,1,1.026,60.262,266.745,35.0203,135.863, T 11,1.941,0,0,0,0,0,0,0,1.941,5.493,
49:23.730,00:01.930,0,1,1.668,1,1.141,60.226,266.622,35.0203,135.863, T 11,1.941,0,0,0,0,0,0,0,1.941,5.493,
