Player,: SPI-ProX2 6,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123303,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T14:49:22.200000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T14:50:47,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
49:22.200,00:00.000,0,1,0.026,1,0,66.231,262.283,35.0202,135.8631, T 11,,0,0,0,0,0,0,0,0,0,
49:22.270,00:00.070,0,1,0.000,1,0,66.231,262.283,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.330,00:00.130,0,1,0.000,1,0,66.231,262.283,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.400,00:00.200,0,1,0.000,1,0,66.231,262.283,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.470,00:00.270,0,1,0.000,1,0,66.231,262.283,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.530,00:00.330,0,1,0.000,1,0,66.231,262.283,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.600,00:00.400,0,1,0.000,1,0,66.216,262.227,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.670,00:00.470,0,1,0.000,1,0,66.216,262.227,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.730,00:00.530,0,1,0.000,1,0,66.216,262.227,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
49:22.800,00:00.600,0,1,0.000,1,0,66.17,262.135,35.0202,135.8631, T 11,0,0,0,0,0,0,0,0,0,0,
