Player,: SPI ProX2  9,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123042,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:09:06,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:10:34.800000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:06.000,00:00.000,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,,0,0,0,0,0,0,0,0,0,
09:06.070,00:00.070,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.130,00:00.130,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.200,00:00.200,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.270,00:00.270,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.330,00:00.330,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.400,00:00.400,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.470,00:00.470,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.530,00:00.530,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.600,00:00.600,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.670,00:00.670,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.730,00:00.730,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.800,00:00.800,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.870,00:00.870,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.930,00:00.930,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.000,00:01.000,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.070,00:01.070,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.130,00:01.130,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.200,00:01.200,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.270,00:01.270,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.330,00:01.330,0,1,0.000,1,0,62.892,291.146,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.400,00:01.400,0,1,0.000,1,0,62.831,291.017,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.470,00:01.470,0,1,0.000,1,0,62.831,291.017,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.530,00:01.530,0,1,0.000,1,0,62.831,291.017,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.600,00:01.600,0,1,0.000,1,0,62.725,290.832,35.0203,135.8626, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.670,00:01.670,0,1,0.861,1,0.057,62.685,290.77,35.0203,135.8626, T 9,3.725,0,0,0,0,0,0,0,3.725,2.682,
09:07.730,00:01.730,0,1,0.860,1,0.115,62.644,290.708,35.0203,135.8626, T 9,3.725,0,0,0,0,0,0,0,3.725,2.682,
09:07.800,00:01.800,0,1,0.859,1,0.172,62.604,290.647,35.0203,135.8626, T 9,3.725,0,0,0,0,0,0,0,3.725,2.682,
09:07.870,00:01.870,0,1,0.738,1,0.225,62.573,290.585,35.0203,135.8626, T 9,-0.028,0,0,0,0,0,0,0,-0.028,2.661,
09:07.930,00:01.930,0,1,0.617,1,0.271,62.543,290.523,35.0203,135.8626, T 9,-0.028,0,0,0,0,0,0,0,-0.028,2.661,
09:08.000,00:02.000,0,1,0.496,1,0.308,62.513,290.462,35.0203,135.8626, T 9,-0.028,0,0,0,0,0,0,0,-0.028,2.661,
09:08.070,00:02.070,0,1,0.540,1,0.342,62.487,290.394,35.0203,135.8626, T 9,-0.392,0,0,0,0,0,0,0,-0.392,2.379,
09:08.130,00:02.130,0,1,0.584,1,0.38,62.462,290.326,35.0203,135.8626, T 9,-0.392,0,0,0,0,0,0,0,-0.392,2.379,
09:08.200,00:02.200,0,1,0.627,1,0.42,62.437,290.258,35.0203,135.8626, T 9,-0.392,0,0,0,0,0,0,0,-0.392,2.379,
09:08.270,00:02.270,0,1,0.893,1,0.471,62.412,290.166,35.0203,135.8626, T 9,0.944,0,0,0,0,0,0,0,0.944,3.059,
09:08.330,00:02.330,0,1,1.159,1,0.539,62.386,290.074,35.0203,135.8626, T 9,0.944,0,0,0,0,0,0,0,0.944,3.059,
09:08.400,00:02.400,0,1,1.426,1,0.625,62.361,289.981,35.0203,135.8626, T 9,0.944,0,0,0,0,0,0,0,0.944,3.059,
09:08.470,00:02.470,0,1,1.539,2,0.724,62.32,289.882,35.0203,135.8626, T 9,2.119,0,0,0,0,0,0,0,2.119,4.584,
09:08.530,00:02.530,0,1,1.654,2,0.831,62.28,289.784,35.0203,135.8626, T 9,2.119,0,0,0,0,0,0,0,2.119,4.584,
09:08.600,00:02.600,0,1,1.768,2,0.945,62.24,289.685,35.0203,135.8626, T 9,2.119,0,0,0,0,0,0,0,2.119,4.584,
09:08.670,00:02.670,0,1,1.636,1,1.058,62.194,289.599,35.0203,135.8626, T 9,1.245,0,0,0,0,0,0,0,1.245,5.481,
