Player,: SPI-ProX2  1,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123109,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:09:06.200000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:10:34.200000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:06.200,00:00.000,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,,0,0,0,0,0,0,0,0,0,
09:06.270,00:00.070,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.330,00:00.130,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.400,00:00.200,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.470,00:00.270,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.530,00:00.330,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.600,00:00.400,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.670,00:00.470,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.730,00:00.530,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.800,00:00.600,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.870,00:00.670,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.930,00:00.730,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.000,00:00.800,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.070,00:00.870,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.130,00:00.930,0,1,0.000,1,0,61.724,283.713,35.0203,135.8628, T 9,0,0,0,0,0,0,0,0,0,0,
