Player,: SPI-ProX2 5,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123156,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:09:07.200000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:10:29,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:07.200,00:00.000,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,,0,0,0,0,0,0,0,0,0,
09:07.270,00:00.070,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.330,00:00.130,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.400,00:00.200,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.470,00:00.270,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.530,00:00.330,0,1,0.000,1,0,63.742,270.178,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.600,00:00.400,0,1,0.000,1,0,63.727,270.104,35.0202,135.863, T 9,0,0,0,0,0,0,0,0,0,0,
09:07.670,00:00.470,0,1,0.764,1,0.049,63.707,270.036,35.0202,135.863, T 9,2.647,0,0,0,0,0,0,0,2.647,1.906,
09:07.730,00:00.530,0,1,0.824,1,0.102,63.686,269.969,35.0202,135.863, T 9,2.647,0,0,0,0,0,0,0,2.647,1.906,
09:07.800,00:00.600,0,1,0.885,1,0.159,63.666,269.901,35.0202,135.863, T 9,2.647,0,0,0,0,0,0,0,2.647,1.906,
09:07.870,00:00.670,0,1,0.823,1,0.216,63.656,269.851,35.0202,135.863, T 9,1.163,0,0,0,0,0,0,0,1.163,2.743,
09:07.930,00:00.730,0,1,0.760,1,0.269,63.646,269.802,35.0202,135.863, T 9,1.163,0,0,0,0,0,0,0,1.163,2.743,
09:08.000,00:00.800,0,1,0.698,1,0.317,63.636,269.753,35.0202,135.863, T 9,1.163,0,0,0,0,0,0,0,1.163,2.743,
09:08.070,00:00.870,0,1,0.586,1,0.36,63.631,269.722,35.0202,135.863, T 9,-0.568,0,0,0,0,0,0,0,-0.568,2.334,
09:08.130,00:00.930,0,1,0.474,1,0.395,63.626,269.691,35.0202,135.863, T 9,-0.568,0,0,0,0,0,0,0,-0.568,2.334,
09:08.200,00:01.000,0,1,0.362,1,0.423,63.621,269.66,35.0202,135.863, T 9,-0.568,0,0,0,0,0,0,0,-0.568,2.334,
09:08.270,00:01.070,0,1,0.641,1,0.456,63.606,269.586,35.0202,135.863, T 9,0.526,0,0,0,0,0,0,0,0.526,2.713,
09:08.330,00:01.130,0,1,0.921,1,0.509,63.59,269.512,35.0202,135.863, T 9,0.526,0,0,0,0,0,0,0,0.526,2.713,
09:08.400,00:01.200,0,1,1.201,1,0.579,63.575,269.439,35.0202,135.863, T 9,0.526,0,0,0,0,0,0,0,0.526,2.713,
09:08.470,00:01.270,0,1,1.324,1,0.663,63.555,269.358,35.0202,135.863, T 9,1.454,0,0,0,0,0,0,0,1.454,3.76,
09:08.530,00:01.330,0,1,1.447,1,0.756,63.535,269.278,35.0202,135.863, T 9,1.454,0,0,0,0,0,0,0,1.454,3.76,
09:08.600,00:01.400,0,1,1.570,1,0.856,63.514,269.198,35.0202,135.863, T 9,1.454,0,0,0,0,0,0,0,1.454,3.76,
09:08.670,00:01.470,0,1,1.553,1,0.961,63.494,269.1,35.0202,135.863, T 9,1.929,0,0,0,0,0,0,0,1.929,5.149,
09:08.730,00:01.530,0,1,1.536,1,1.064,63.474,269.001,35.0202,135.863, T 9,1.929,0,0,0,0,0,0,0,1.929,5.149,
09:08.800,00:01.600,0,1,1.519,1,1.165,63.454,268.902,35.0202,135.863, T 9,1.929,0,0,0,0,0,0,0,1.929,5.149,
09:08.870,00:01.670,0,1,1.416,1,1.263,63.434,268.816,35.0202,135.863, T 9,0.015,0,0,0,0,0,0,0,0.015,5.16,
09:08.930,00:01.730,0,1,1.313,1,1.354,63.413,268.73,35.0202,135.863, T 9,0.015,0,0,0,0,0,0,0,0.015,5.16,
09:09.000,00:01.800,0,1,1.211,1,1.438,63.393,268.643,35.0202,135.863, T 9,0.015,0,0,0,0,0,0,0,0.015,5.16,
09:09.070,00:01.870,0,1,1.300,1,1.522,63.373,268.545,35.0202,135.863, T 9,-0.153,0,0,0,0,0,0,0,-0.153,5.05,
09:09.130,00:01.930,0,1,1.389,1,1.612,63.353,268.446,35.0202,135.863, T 9,-0.153,0,0,0,0,0,0,0,-0.153,5.05,
09:09.200,00:02.000,0,1,1.479,1,1.707,63.332,268.348,35.0202,135.863, T 9,-0.153,0,0,0,0,0,0,0,-0.153,5.05,
09:09.270,00:02.070,0,1,1.643,2,1.811,63.302,268.206,35.0202,135.863, T 9,0.755,0,0,0,0,0,0,0,0.755,5.594,
09:09.330,00:02.130,0,1,1.808,2,1.926,63.272,268.064,35.0202,135.863, T 9,0.755,0,0,0,0,0,0,0,0.755,5.594,
09:09.400,00:02.200,0,1,1.973,2,2.052,63.241,267.922,35.0202,135.863, T 9,0.755,0,0,0,0,0,0,0,0.755,5.594,
09:09.470,00:02.270,0,1,1.891,2,2.181,63.216,267.799,35.0202,135.863, T 9,0.864,0,0,0,0,0,0,0,0.864,6.216,
09:09.530,00:02.330,0,1,1.810,2,2.304,63.191,267.676,35.0202,135.863, T 9,0.864,0,0,0,0,0,0,0,0.864,6.216,
09:09.600,00:02.400,0,1,1.729,2,2.422,63.165,267.553,35.0202,135.863, T 9,0.864,0,0,0,0,0,0,0,0.864,6.216,
09:09.670,00:02.470,0,1,1.764,2,2.539,63.135,267.435,35.0202,135.863, T 9,0.594,0,0,0,0,0,0,0,0.594,6.644,
09:09.730,00:02.530,0,1,1.800,2,2.658,63.105,267.318,35.0202,135.863, T 9,0.594,0,0,0,0,0,0,0,0.594,6.644,
09:09.800,00:02.600,0,1,1.835,2,2.779,63.074,267.201,35.0202,135.863, T 9,0.594,0,0,0,0,0,0,0,0.594,6.644,
09:09.870,00:02.670,0,1,1.988,2,2.906,63.044,267.047,35.0202,135.863, T 9,0.534,0,0,0,0,0,0,0,0.534,7.028,
09:09.930,00:02.730,0,1,2.140,2,3.044,63.014,266.893,35.0202,135.863, T 9,0.534,0,0,0,0,0,0,0,0.534,7.028,
09:10.000,00:02.800,0,1,2.293,2,3.192,62.983,266.739,35.0202,135.863, T 9,0.534,0,0,0,0,0,0,0,0.534,7.028,
09:10.070,00:02.870,0,1,2.241,2,3.343,62.948,266.603,35.0202,135.863, T 8,0.679,0,0,0,0,0,0,0,0.679,7.517,
09:10.130,00:02.930,0,1,2.189,2,3.49,62.912,266.468,35.0202,135.863, T 8,0.679,0,0,0,0,0,0,0,0.679,7.517,
09:10.200,00:03.000,0,1,2.136,2,3.635,62.877,266.332,35.0202,135.863, T 8,0.679,0,0,0,0,0,0,0,0.679,7.517,
09:10.270,00:03.070,0,1,2.106,2,3.776,62.842,266.203,35.0202,135.863, T 8,0.351,0,0,0,0,0,0,0,0.351,7.77,
09:10.330,00:03.130,0,1,2.076,2,3.915,62.806,266.073,35.0202,135.863, T 8,0.351,0,0,0,0,0,0,0,0.351,7.77,
09:10.400,00:03.200,0,1,2.046,2,4.053,62.771,265.944,35.0202,135.863, T 8,0.351,0,0,0,0,0,0,0,0.351,7.77,
09:10.470,00:03.270,0,1,2.236,2,4.196,62.725,265.765,35.0202,135.863, T 8,0.542,0,0,0,0,0,0,0,0.542,8.16,
09:10.530,00:03.330,0,1,2.427,2,4.351,62.68,265.586,35.0202,135.863, T 8,0.542,0,0,0,0,0,0,0,0.542,8.16,
09:10.600,00:03.400,0,1,2.618,2,4.519,62.634,265.408,35.0202,135.863, T 8,0.542,0,0,0,0,0,0,0,0.542,8.16,
09:10.670,00:03.470,0,1,2.550,2,4.691,62.594,265.26,35.0202,135.863, T 9,0.46,0,0,0,0,0,0,0,0.46,8.491,
09:10.730,00:03.530,0,1,2.481,2,4.859,62.553,265.112,35.0202,135.863, T 9,0.46,0,0,0,0,0,0,0,0.46,8.491,
09:10.800,00:03.600,0,1,2.413,2,5.022,62.513,264.964,35.0202,135.863, T 9,0.46,0,0,0,0,0,0,0,0.46,8.491,
09:10.870,00:03.670,0,1,2.372,2,5.182,62.467,264.81,35.0202,135.863, T 9,0.408,0,0,0,0,0,0,0,0.408,8.785,
09:10.930,00:03.730,0,1,2.331,2,5.338,62.422,264.656,35.0202,135.863, T 9,0.408,0,0,0,0,0,0,0,0.408,8.785,
09:11.000,00:03.800,0,1,2.290,2,5.493,62.376,264.502,35.0202,135.863, T 9,0.408,0,0,0,0,0,0,0,0.408,8.785,
09:11.070,00:03.870,0,1,2.465,3,5.651,62.331,264.317,35.0202,135.8629, T 9,0.328,0,0,0,0,0,0,0,0.328,9.021,
09:11.130,00:03.930,0,1,2.640,3,5.821,62.285,264.132,35.0202,135.8629, T 9,0.328,0,0,0,0,0,0,0,0.328,9.021,
09:11.200,00:04.000,0,1,2.814,3,6.003,62.24,263.947,35.0202,135.8629, T 9,0.328,0,0,0,0,0,0,0,0.328,9.021,
09:11.270,00:04.070,0,1,2.773,2,6.189,62.194,263.774,35.0202,135.8629, T 9,0.464,0,0,0,0,0,0,0,0.464,9.355,
09:11.330,00:04.130,0,1,2.732,2,6.373,62.149,263.602,35.0202,135.8629, T 9,0.464,0,0,0,0,0,0,0,0.464,9.355,
09:11.400,00:04.200,0,1,2.691,2,6.554,62.103,263.429,35.0202,135.8629, T 9,0.464,0,0,0,0,0,0,0,0.464,9.355,
09:11.470,00:04.270,0,1,2.652,2,6.732,62.063,263.263,35.0202,135.8629, T 9,0.472,0,0,0,0,0,0,0,0.472,9.695,
