Player,: SPI ProX2  10,,,,,,,,,,,,,,,,,,,,,
Session,: 20251116123439,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,2025-11-16T15:09:05.800000,,,,,,,,,,,,,,,,,,,,,
End,2025-11-16T15:10:26.800000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (m/s),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (m/s)
09:05.800,00:00.000,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,,0,0,0,0,0,0,0,0,0,
09:05.870,00:00.070,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:05.930,00:00.130,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.000,00:00.200,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.070,00:00.270,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.130,00:00.330,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.200,00:00.400,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.270,00:00.470,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.330,00:00.530,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.400,00:00.600,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 9,0,0,0,0,0,0,0,0,0,0,
09:06.470,00:00.670,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
09:06.530,00:00.730,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
09:06.600,00:00.800,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
09:06.670,00:00.870,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
09:06.730,00:00.930,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
09:06.800,00:01.000,0,1,0.000,1,0,60.418,269.882,35.0202,135.8633, T 8,0,0,0,0,0,0,0,0,0,0,
